time_s,face_found,center_speed_face_heights_s,scale_change_s,face_flow_px_sample,blur_laplacian_var,motion_score,motion_score_window
0.0,1,0.2761411742005488,0.22046366500861556,6.284043788909912,100.38331152598066,8.0,2.426190576356313
0.23356666666666667,1,0.2761411742005488,0.22046366500861556,6.284043788909912,98.87614344587914,8.0,2.6374864953507484
0.46713333333333334,1,0.2787732761892906,0.08905800349129529,7.520055770874023,100.31463945310618,8.0,2.651273217779666
0.7007,1,0.19196449470677204,0.06700714269975037,5.229641914367676,105.37113030280597,8.0,2.6650599402085833
0.9342666666666667,1,0.04129928011112231,0.0033587965537813158,0.5687166452407837,108.25979493089842,1.861427366859494,3.060285493044488
1.1678333333333333,1,0.03061437227278812,0.005268769415443907,2.9303009510040283,111.32507036064996,3.879747438611923,3.4555110458803924
1.4014,1,0.10910938685421802,0.023986715196473263,2.4035964012145996,110.32816405796005,7.081318862739812,3.4723353543183824
1.6349666666666667,1,0.035518780509723166,0.009377927823762474,1.4938561916351318,109.64364923681562,4.06394621777279,3.4555110458803924
1.8685333333333334,1,0.02111662929202748,0.00968450995545707,0.7474154829978943,111.82837560355101,1.7389503972357279,3.4723353543183824
2.1021,1,0.08045839678190547,0.0071391987657874415,2.510453701019287,110.02742189306568,5.8747888351839945,3.4891596627563723
2.3356666666666666,1,0.016495347625306127,0.03422740727999158,0.5655557513237,110.4643175850574,2.0253146335395598,3.4970886638570438
2.5692333333333335,1,0.09855349209454328,0.051263724207319075,2.705150604248047,108.47662902010696,8.0,3.4891596627563723
2.8028,1,0.21323854355956084,0.021658975503921898,7.017754554748535,103.56585116916231,6.996097264762076,3.4970886638570438
3.036366666666667,1,0.2592424922378013,0.036420890543315154,8.380498886108398,97.08350466035441,7.536550302915055,3.505017664957715
3.2699333333333334,1,0.37540665720928923,0.1010801878344853,12.120163917541504,91.11547405310735,8.0,3.6922826468772056
3.5035000000000003,1,0.26435576916119674,0.009481245941200502,7.516084671020508,71.55586084645589,6.550254640521596,3.521131232920587
3.7370666666666668,1,0.08482735611985207,0.020431393717417756,2.2769598960876465,67.33822973615857,6.530301749739546,3.7003394308586413
3.9706333333333332,1,0.06750634702794908,0.020084255459854056,2.8601765632629395,71.22038524305556,5.848103945667364,3.521131232920587
4.2042,1,0.10645170733544385,0.00016478437941328092,3.4154467582702637,73.05742759721545,6.209166784205745,3.7003394308586413
4.437766666666667,1,0.09311055080097912,0.04293677940235606,2.134949207305908,75.9196077470944,7.674413981142169,3.8795476287966957
4.671333333333333,1,0.05751126116044353,0.007740872319594052,1.4175413846969604,76.80462651841907,4.67212280125062,3.8796475337043095
4.9049000000000005,1,0.023631093037360634,0.002862202862332806,0.5024025440216064,75.95351242939513,1.0022427155106581,3.879747438611923
5.138466666666667,1,0.05043793301269196,0.00485815821555048,1.0869406461715698,76.63021285398506,3.505017664957715,3.8914679035896063
5.372033333333333,1,0.0219570308665471,0.0012122558195886497,0.5042576789855957,78.99221361624635,0.8815531667983301,3.9031883685672897
5.6056,1,0.017962699991388536,0.0016365126668202155,0.6030459403991699,76.84237623426651,0.9782135805586375,3.8914679035896063
