variant,case,Nplanned,Noutput,Nref,Nvalid,Nwithin5,Nwithin10,hr_output_coverage_pct,paired_reference_coverage_pct,MAE_bpm,RMSE_bpm,Bias_bpm,MAPE_pct,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct,P95_abs_error_bpm,Max_abs_error_bpm,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,fps,waveform_frames,waveform_finite_frames,waveform_coverage_pct,waveform_new_seconds,waveform_lost_seconds,target_P5_95_met,delta_MAE_bpm,delta_RMSE_bpm,delta_P5_pp,delta_R5_pp,delta_hr_coverage_pp,delta_waveform_coverage_pp,common_output_windows,new_output_windows,lost_output_windows
motion_full_spectrum,data1,42,37,42,37,0,10,88.0952380952381,88.0952380952381,13.097297297297297,13.722106843200729,-13.097297297297297,12.137484816783646,0.0,27.027027027027028,0.0,23.80952380952381,20.359999999999996,20.900000000000006,-21.231295524439908,-4.963299070154687,30.00003000003,1555,1380,88.7459807073955,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0
motion_full_spectrum,data2,37,33,37,33,29,32,89.1891891891892,89.1891891891892,3.0151515151515142,3.8112671876631223,1.2212121212121207,3.7968857391937623,87.87878787878788,96.96969696969697,78.37837837837837,86.48648648648648,8.519999999999994,10.299999999999997,-5.964727270363201,8.407151512787443,30.00003000003,1393,1260,90.45226130653266,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0
motion_full_spectrum,data3,65,59,65,59,11,19,90.76923076923077,90.76923076923077,32.87118644067797,39.71790784255675,-32.20677966101695,31.333178347588884,18.64406779661017,32.20338983050848,16.923076923076923,29.23076923076923,59.53,60.8,-78.15404400157442,13.740484679540515,30.00003000003,2221,2040,91.85051778478163,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,59,0,0
motion_full_spectrum,data4,50,46,50,46,45,46,92.0,92.0,2.556521739130435,2.891742366298125,-0.09130434782608701,3.318757300560302,97.82608695652173,100.0,90.0,92.0,4.650000000000002,5.799999999999997,-5.818891945319164,5.63628324966699,180.00180001800018,10693,9900,92.58393341438324,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,46,0,0
motion_full_spectrum,data5,53,49,53,49,28,40,92.45283018867924,92.45283018867924,19.436734693877554,38.6412701020818,19.436734693877554,21.866885648639347,57.142857142857146,81.63265306122449,52.83018867924528,75.47169811320755,95.5,95.8,-46.69977010238958,85.57323949014469,30.00003000003,1866,1740,93.2475884244373,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,49,0,0
motion_full_spectrum,data6,62,36,62,36,0,0,58.064516129032256,58.064516129032256,26.002777777777776,27.781553632261502,-26.002777777777776,22.442260870913515,0.0,0.0,0.0,0.0,47.875,51.30000000000001,-45.44571166932592,-6.559843886229636,30.00003000003,2148,1620,75.41899441340783,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,36,0,0
