window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,estimated_bpm,accepted,error_bpm,abs_error_bpm,status,V25_bpm,V25_accepted,common,new,lost,V26_harmonic_bpm,V26_harmonic_accepted,V26_conservative_bpm,V26_conservative_accepted
0,4.999995,0.0,9.99999,103.4,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False
1,5.999994,0.999999,10.999989,103.1,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False
2,6.999993,1.999998,11.999988,102.7,True,,False,,,gap_or_filter_edge,,False,False,False,False,58.0,True,,False
3,7.999992,2.999997,12.999987,102.2,True,,False,,,gap_or_filter_edge,,False,False,False,False,59.0,True,,False
4,8.999991,3.999996,13.999986,101.6,True,55.0,True,-46.599999999999994,46.599999999999994,candidate_only,55.0,True,True,False,False,61.0,True,55.0,True
5,9.99999,4.999995,14.999985,101.1,True,54.0,True,-47.099999999999994,47.099999999999994,candidate_only,54.0,True,True,False,False,62.0,True,54.0,True
6,10.999989,5.999994,15.999984,100.7,True,53.0,True,-47.7,47.7,candidate_only,53.0,True,True,False,False,63.0,True,53.0,True
7,11.999988,6.999993,16.999983,100.4,True,53.0,True,-47.400000000000006,47.400000000000006,candidate_only,53.0,True,True,False,False,63.0,True,53.0,True
8,12.999987,7.999992,17.999982,100.1,True,53.0,True,-47.099999999999994,47.099999999999994,candidate_only,53.0,True,True,False,False,63.0,True,53.0,True
9,13.999986,8.999991,18.999981,100.0,True,53.0,True,-47.0,47.0,candidate_only,53.0,True,True,False,False,63.0,True,53.0,True
10,14.999985,9.99999,19.99998,100.0,True,53.0,True,-47.0,47.0,candidate_only,53.0,True,True,False,False,63.0,True,53.0,True
11,15.999984,10.999989,20.999979,100.2,True,52.0,True,-48.2,48.2,candidate_only,52.0,True,True,False,False,63.0,True,52.0,True
12,16.999983,11.999988,21.999978,100.4,True,52.0,True,-48.400000000000006,48.400000000000006,candidate_only,52.0,True,True,False,False,62.0,True,52.0,True
13,17.999982,12.999987,22.999977,100.7,True,52.0,True,-48.7,48.7,candidate_only,52.0,True,True,False,False,61.0,True,52.0,True
14,18.999981,13.999986,23.999976,101.1,True,53.0,True,-48.099999999999994,48.099999999999994,candidate_only,53.0,True,True,False,False,60.0,True,53.0,True
15,19.99998,14.999985,24.999975,101.6,True,56.0,True,-45.599999999999994,45.599999999999994,candidate_only,56.0,True,True,False,False,60.0,True,56.0,True
16,20.999979,15.999984,25.999974,102.2,True,58.0,True,-44.2,44.2,candidate_only,58.0,True,True,False,False,60.0,True,58.0,True
17,21.999978,16.999983,26.999973,103.0,True,60.0,True,-43.0,43.0,candidate_only,60.0,True,True,False,False,59.0,True,60.0,True
18,22.999977,17.999982,27.999972,104.0,True,61.0,True,-43.0,43.0,candidate_only,61.0,True,True,False,False,58.0,True,61.0,True
19,23.999976,18.999981,28.999971,104.9,True,62.0,True,-42.900000000000006,42.900000000000006,candidate_only,62.0,True,True,False,False,57.0,True,62.0,True
20,24.999975,19.99998,29.99997,105.8,True,62.0,True,-43.8,43.8,candidate_only,62.0,True,True,False,False,56.0,True,62.0,True
