time_s,forehead,left_cheek,right_cheek
0.0,,,
0.0333332999999999,,,
0.0666665999999999,,,
0.0999998999999999,,,
0.1333331999999999,,,
0.1666665,,,
0.1999997999999999,,,
0.2333331,,,
0.2666663999999999,,,
0.2999997,,,
0.333333,,,
0.3666663,,,
0.3999995999999999,,,
0.4333328999999999,,,
0.4666662,,,
0.4999995,,,
0.5333327999999999,,,
0.5666661,,,
0.5999994,,,
0.6333327,,,
0.666666,,,
0.6999993,,,
0.7333326,,,
0.7666659,,,
0.7999991999999999,,,
0.8333324999999999,,,
0.8666657999999999,,,
0.8999990999999999,,,
0.9333324,,,
0.9666657,,,
0.999999,,,
1.0333323,,,
1.0666656,,,
1.0999989,,,
1.1333322,,,
1.1666655,,,
1.1999988,,,
1.2333321,,,
1.2666654,,,
1.2999987,,,
1.333332,,,
1.3666653,,,
1.3999986,,,
1.4333319,,,
1.4666652,,,
1.4999985,,,
1.5333318,,,
1.5666650999999998,,,
1.5999983999999998,-0.0004686398372450314,0.004097478761892105,0.0006366927223809531
1.6333316999999998,0.0003055056432371985,0.0024832200546749334,0.0009517500146044491
1.6666649999999998,-0.0009589883077587716,0.0036872690503349606,0.002030543449591771
1.6999983,-0.0017851019007084088,-0.0005014041423873441,0.0006481986438126534
1.7333316,-0.00237572147706425,0.000906012716694036,-0.0014185928135590376
1.7666649,0.0003071190068968674,-0.0016362863051511758,-0.000930948441131077
1.7999982,0.0008471372249496296,0.0005631148687324254,-0.0013250266774851392
1.8333315,0.00209844196493785,0.0005247825560940203,0.00037296628904654773
1.8666648,-0.001163081014349681,0.0011001657027187991,-0.0002145160693035296
1.8999981,-0.001135739620035661,-0.0005770451884726108,-0.0013109681720290672
1.9333314,-0.0025281101521801765,0.001504794226809731,-0.0017133656849432528
1.9666647,-0.0004260175306335912,0.002639906078756485,-0.002205915495460606
1.999998,0.0015355977201901908,0.002766496047440792,-3.393490747281673e-05
2.0333313,-0.0019780382615422376,0.004408044485912832,-0.00364565345143525
2.0666646,-0.001729999725472784,0.0007204593326018017,-0.002160093506259981
2.0999979,0.0010682388301447082,-0.0004192249872677512,-0.0017279236204568778
2.1333312,-0.002428270008882574,0.0008746261357597757,-0.0024046158092297662
2.1666645,-0.0013353802894252539,0.0017032473624136362,0.003291398325082665
2.1999978,0.0008675136683140969,0.005694831265019712,0.0005178041905263856
2.2333311,0.00025202660230066553,0.0021193070066270556,-0.0006691631860759779
2.2666644,0.0008391216463216475,0.003614487148855982,0.003783881979749858
2.2999977,-0.0010893520981699106,0.0017344778990668651,-0.00026128976808440906
2.333331,0.0002995232462476606,0.004712494940650257,-0.0011917009782466082
2.3666643,-0.0009215456983267269,0.0037512007491986984,-0.0009804516250000164
2.3999976,-0.003616268592141292,0.00114944295292388,0.00131366270705352
2.4333309,-0.0016125429850589925,0.00267098596154702,0.0018344584607257793
2.4666642,-0.0006186679756917178,0.006323202907740434,0.0022324458179654137
2.4999975,-0.0016364532449925399,0.001395243901342629,0.002045143637463679
2.5333308,0.0009978723983196211,0.002449112740830787,0.003635148676115873
2.5666641,-0.0013688830067069592,0.002433455587403788,-0.0007856502236015988
2.5999974,-0.005171087883658594,0.002699569603739599,0.0007062520384992837
2.6333307,-0.0020317019981031595,-0.0010565481507341839,-0.000659748909067644
2.666664,-0.0004336451662881652,7.60157988067946e-05,-0.0002482365000437813
2.6999973,-0.0009360098613834863,0.00032023527921135747,0.00038713227580791654
2.7333306,-0.0020458317876456203,0.001971540084791736,-0.0022254300019468607
2.7666639,0.002953989145538272,0.0006431174711298586,0.0015484047689472095
2.7999972,-0.003360281792741106,0.0022264559313524886,-0.002289464634140195
2.8333305,-0.0029131690304751963,-0.0012914681243656255,-0.0020636295745849386
2.8666638,-0.001278847001928828,0.0004440855099443904,3.6990080415029436e-05
2.8999971,-0.0022091865005790723,-0.0004109463651792121,-0.0006586349080146903
2.9333304,-0.005318637522362606,-0.0011155846020600244,0.001544609235367582
2.9666637,-0.0027868268686756835,0.0007184514033087607,0.0020337125553120845
2.999997,-0.0016067919187865956,-0.0005402407886401107,0.0013086713161928028
3.0333303,-0.0006606857737341516,-0.0010835438120136826,0.000405283974563464
3.0666636,-0.004644600670413095,0.0021598467627706504,0.000304137791556372
3.0999969,-0.0007872977421728969,0.0014686791363314597,0.0017476959911990123
3.1333302,-0.0016032905246025917,-0.0018605287388259797,0.0011693116711938732
3.1666635,-0.004502761977528109,-0.0002574411058909286,-0.000353497046029415
3.1999968,-0.005201967418277874,0.0015629489184540348,7.270398449701464e-05
3.2333301,-0.0005108352922476948,0.004771815568962485,0.0019651116172003788
3.2666634,-0.003676587299534016,0.0035497113972598896,0.003562594550840178
3.2999967,-0.0004237998210679237,0.00033629856030058204,-0.0028330761737918758
3.33333,-7.073619449622041e-05,0.0009316324772904003,0.002286315423243805
3.3666633,0.0006801905788668403,0.0022507507904770416,-0.0015787700930825262
3.3999966,-0.0014014269253979166,-0.0020853616322842644,-0.0008188101683684629
3.4333299,-0.00020599380782920936,0.003473648262049674,0.0015821310244336978
3.4666632,-0.0007315713378613156,-0.0023026530453274293,0.0022910695738357616
3.4999965,-0.002711854064828341,-0.0041035323022116125,-0.0051336361874530605
3.5333298,-0.004695018685773751,-0.0008367077247188291,0.00028827423426505856
3.5666631,-0.0029394982688148988,-0.0021410419189584586,-0.0006672437414621249
3.5999964,-0.0026865987460186315,0.002792291189781375,2.637302370568379e-05
3.6333297,0.00046060259559319917,-0.0028183138680383983,-0.0008979923083573893
3.666663,-0.0025059530407985997,0.0001648326079490385,-0.00155065955831238
3.6999963,-0.002122725502613853,0.00010953960674925899,-0.0006436577647491674
3.7333296,-0.0020101713748565796,-0.0036480074729372085,-0.00043250766145070795
3.7666629,-0.0034918858854343844,-0.005218588041890095,-0.005210406342333602
3.7999962,-0.000896136671577829,-0.005645378918791763,-0.0036548340531057646
3.8333295,-0.0027491494141416613,-0.005203935846252422,-0.004353944233494892
3.8666628,-0.003710294211594206,-0.0019987115118341777,-0.0022195279791028975
3.8999961,-0.002726238365294664,0.0023144487084123143,-0.0017175477637071139
3.9333294,-0.003460408279323041,-0.001922946552898399,4.947858548601941e-06
3.9666627,-0.0016086662144104613,0.00015463714492987193,0.00045489545698033495
3.999996,-0.0025906985275211923,0.00020559407174763032,-0.00022947734813476457
4.0333293,-0.0025593325809612436,0.0022146457369182967,-0.0028886752032199355
4.0666626,-0.002738729488140248,-0.0001328819051242434,-0.0006863602968993684
4.0999959,-0.004700530304513974,-0.0023969299908436666,0.001403403699837557
4.1333292,-0.0003969025386393631,-0.0017684873969434295,-0.003082149079351228
4.1666625,-0.001859118744510321,0.0012442867252145115,0.0003899373322838193
4.1999958,-0.0013334250848804085,-0.00017454567871692285,-0.00011703048967687257
4.2333291,-0.001047839229133885,0.000286061627458669,-0.0027664144060386866
4.2666624,-0.0006190167928113361,0.0016448538608093751,-0.0017085519520294691
4.2999957,-0.00012099402046847558,0.0012487200220620866,-0.0024670555726744496
4.333329,-0.003359725779478234,0.002355682077052542,-0.0013470258411068456
4.3666623,-0.0027995799402059426,0.0019553669454041396,0.0016362006943070086
4.3999956,-0.0024684275927529375,-0.001200819933555186,-0.0006172559726015858
4.433328899999999,-0.0018569137526929557,-0.00029979045999352274,-0.001114619396462923
4.4666622,0.0008731672392462415,-0.0014595004532174257,-0.00039054547022774385
4.4999955,-0.001409937460800568,0.0017674750604879238,-0.0024372588723580923
4.5333288,-0.004828135659522405,0.00020267534930030768,-0.0026486447279862844
4.566662099999999,-0.003264656003379096,-0.001111894645950932,-0.0033397246698730646
4.5999954,-0.002106369064570233,-0.0022119799671866153,-0.0017711388233992726
4.6333287,-0.0019377722989274036,-0.0027109672458358394,-0.002353237971781136
4.666662,-0.0018194293322365213,-0.0013890491709717774,0.001978903993080412
4.699995299999999,-0.0007210419958371172,0.0009541098842435914,-0.0008880882131967931
4.7333286,-0.0021748188941393383,-0.004322522466879298,-0.0025604984962616477
4.7666619,-0.00306638716441003,-0.0004129721453259963,0.0005234087741785211
4.7999952,-0.0012686293633651004,0.001447923212532278,0.0023692516814839883
4.8333285,-0.0027725031932796795,0.0025193589472825824,0.001358920163167728
4.8666618,-0.0008738691354766882,0.0010757600082703415,0.0035205534556444467
4.8999951,-0.002746581864012696,0.0010885688006108233,0.0021719464126989637
4.9333284,-0.0008020583682673242,0.0017791454728754332,0.004321746301999879
4.9666617,-0.0024400483066112713,-0.0009564074198828332,0.0015076291788912646
4.999995,0.00016414737660324502,0.0015829178911276956,0.0025206340436577665
5.0333283,0.000510138741137079,-0.0012947228896522545,0.001636418574472082
5.0666616,0.0012017264951161809,0.0009149186577989787,0.0026832969450234605
5.0999949,0.0019439665585062292,0.003526383209700145,0.003238879990080105
5.133328199999999,0.0008653570198978514,0.003933713225440295,0.001291754876228522
5.1666615,-0.00045636677336380327,0.0035962127659744623,0.0013599610749928347
5.1999948,0.0012763130151264672,0.006162654477072949,0.0033940814155474265
5.2333281,0.001277426747392155,-0.0005598172450880328,0.000944813649906142
5.266661399999999,0.001996774095439674,0.0032111560726265274,-0.0013782000935280841
5.2999947,0.0007928619549869304,0.001962133772513184,-0.0018702985054782667
5.333328,0.0005763076427155863,0.0019430553681068841,-0.0020695048181276236
5.3666613,-0.0012756800790189823,0.00027712591958569755,-0.00021513441087987317
5.399994599999999,0.00018073379644784494,0.004994366481097381,-0.0016710772330061504
5.4333279,0.0004758326734043369,0.0011809832714892816,-0.0016109331170875924
5.4666612,0.0034471537212571496,0.0010638041249869264,0.000325094122761411
5.4999945,-0.0004740046480422452,0.002768890147053248,-0.0027045312173369367
5.5333278,0.00041026210999892403,0.0021499184908268824,-0.0016950558741200394
5.5666611,0.0034932121871198286,0.003101332636768865,-0.0020358311497129158
5.5999944,0.001493254419161713,0.0006464562870840363,-0.0024330274426967056
5.6333277,0.0005542431299056158,0.00015311041731360005,-0.002984186815365663
5.666661,-0.0014000360531013433,-0.0008482871151759054,-0.0019497995018315385
5.699994299999999,0.0013820573096621,0.0006939736922178391,-0.000889973285250336
5.7333276,-9.601529556693775e-06,0.004193405748641188,-0.0010436647102093823
5.7666609,-0.0003949288617823626,0.0029168474407515427,-0.0035476941982581192
5.7999942,0.003057152895600105,-0.000759370070127502,-0.0026871937968001875
5.833327499999999,0.0032987297247676394,0.005754261976497703,-0.004447930233172961
5.8666608,0.000837108361071388,-0.0004317636116030728,0.0005148271742169922
5.8999941,0.0030087572599981965,0.003396746138167605,-0.0019782933301872698
5.9333274,0.0030264134193428577,0.002312230887255515,-0.0018953841102901069
5.966660699999999,-0.00026795368264846556,0.004860227464329104,-0.002698063628456859
5.999994,0.005633611512827704,0.0011389614960739054,-0.005442720812077955
6.0333273,0.0035125722759189863,0.0018841146828368375,0.0006352321766308162
6.0666606,0.0015911887828968041,0.004612361546188883,-0.0007474536686524228
6.099993899999999,0.0022062836575497532,0.001995231013326238,-0.0016930081976844567
6.1333272,0.004025705148155206,-0.0009302365077297967,9.99655441262454e-05
6.1666605,0.0022959389695540846,0.0001984285634190671,0.0006691129448650871
6.1999938,0.0018894846681091918,0.0018187929190329063,0.0005072184216268621
6.2333271,0.000170621481453453,0.003306544282654827,-0.00018617965217494238
6.266660399999999,0.002204604183557371,-0.0018677425317247904,-0.002622996945833074
6.2999937,0.0022234975267392443,0.0005866064829581448,0.00010180353317373447
6.333327,0.000624041789530482,0.0004681340768492891,-0.0011105708594159299
6.3666603,-0.0007096855668660449,-0.000503608828046556,0.0009431508570893398
6.399993599999999,0.0029061642077777244,0.002173529024141065,-0.0016098443760301376
6.4333269,0.0002527030818831309,0.0017058922674176593,-0.0004962209267241049
6.4666602,0.0009439915136294076,0.0008228447871216652,-0.0003922002566914967
6.4999935,0.00115730338243382,-0.0010524164097954264,-0.0021146674984928917
6.533326799999999,0.0014521171520239635,0.00021254681647035387,-0.0026443067403322815
6.5666601,-0.0015037406133051358,-0.0013140109288760755,-0.0035550502506250118
6.5999934,0.00023160402683664212,-0.0011678941799318015,-0.0016153943910273971
6.6333267,0.0024284804720233494,0.003445545623466822,-0.004353796213337596
6.666659999999999,-0.0014721657458830976,-3.884721269166208e-05,-0.004030605486030032
6.6999933,0.001799648709881225,0.0009953934357686948,0.0012879961182213936
6.7333266,0.0017683812190114716,-0.0006881377213523608,0.0016305557371492072
6.7666599,0.0030222420820268485,0.0010557519256489591,-0.002993581359580764
6.799993199999999,0.0021312886741590206,-0.00014691573894963397,-0.001848121623678629
6.8333265,0.0014961438702072328,0.001486941748050214,-0.001442800340502287
6.8666598,0.0020455490125377215,0.00238467229851328,-0.001504397838669238
6.8999931,-0.0005885335426784755,0.0018350359733140145,0.0024076316441859497
6.9333264,0.0018340642792579014,0.004131354648521139,0.002595686012956347
6.966659699999999,0.002876665693438432,0.00660297888431138,0.0025736463273592553
6.999993,0.0021361913086697815,0.0023599479569046265,0.002984862969051317
7.0333263,0.0037497251407975773,-0.001369911849871422,0.0011864454586697224
7.0666596,0.004853870766379744,0.0002751775179101423,-0.00022184186889097172
7.099992899999999,0.004258103816381784,0.006033338425902531,0.00260408755287001
7.1333262,0.004133066768317227,-0.0006612081357734448,0.0010607358422631153
7.1666595,0.006049256812398488,0.0025643264461313814,-0.0008115941482706186
7.1999928,0.00226674742294437,0.0009463123050211099,-0.000674150119497478
7.233326099999999,0.00413542617301625,0.002513284446804322,0.0007423389306041323
7.2666594,0.0034011666163154333,0.0022559923642932332,-0.002428430617122037
7.2999927,0.003514517150979878,0.0009600385869282962,-0.0015522728276376905
7.333326,0.0022422848826053974,0.00033941504273079745,-0.0027094212586079485
7.366659299999999,-0.0005829945345402765,-4.1049718435318675e-05,-0.00017260942285463824
7.3999926,0.0014447805867252115,-0.0016277377591194502,0.0007774698453545349
7.4333259,0.0002966351047292131,-0.0011319333311689001,-0.0026493559046225496
7.4666592,0.001989576517693867,-0.001869843123510319,-0.0030213250998284416
7.499992499999999,0.0022926832776555064,-0.0009118449160221396,-0.002948057095424796
7.533325799999999,0.0027803521780296846,-0.0015600150814487996,-0.00220994536475305
7.5666591,-0.0026571896065534333,0.0017385418905727606,-0.003215172800146956
7.5999924,0.002057266305703737,0.001030695164486512,-0.00016599378556223692
7.633325699999999,0.0010808286100493902,0.003982751656663654,-0.0016959815371920951
7.666658999999999,-0.0009499829755329221,0.001775732348972155,-0.0015440235522861958
7.6999923,0.003734245296619962,0.001536754026605618,-0.0016502449438034793
7.7333256,0.00013400223933506157,-0.002237517058993476,-0.0005280653723511533
7.766658899999999,0.0012791170509524573,0.005579074620622282,0.0007841768849812117
7.799992199999999,-0.0012162758464055595,0.0001539229680945059,0.0012732277027593638
7.8333255,0.0006180635366292257,-0.0005645675596278414,0.0008168406980659641
7.8666588,0.001095208905256188,0.0019236257224546052,-0.0026064641546305325
7.899992099999999,0.004315790025922672,0.001687738262165824,0.0016161140078765892
7.933325399999999,0.0011017100579271983,0.0008151316946339846,0.001934156388009982
7.9666587,0.0020530830610206406,0.004649343371176796,-0.0014211208846197424
7.999992,0.0004136039826483223,0.0007803955104814847,0.000671234370636434
8.0333253,0.001573121569422858,-0.0012049328496203087,0.00070147172721113
8.0666586,0.0012964385204533406,0.0003605950883323508,0.0010956741558737992
8.0999919,0.0033071867471759064,0.0035436587998722018,-0.0014861370918747832
8.1333252,-0.0007808610962877684,-0.00024485653075582113,0.0007196115418905062
8.166658499999999,-0.00016585784599372835,0.0010881876097117325,0.0006448438606004646
8.1999918,0.0005624050507108437,0.0014546053088669141,-0.004385696316021731
8.2333251,0.0015894175895427923,0.0006998513972361355,-0.0034134296567637046
8.266658399999999,-0.0020676066315764245,0.005799792381135393,-0.0024363626648126616
8.2999917,0.002857560103201889,-0.0011422799712140748,-0.00242649190294465
8.333325,0.0016609366564851683,0.0016646965277217392,-0.0024457338187045888
8.3666583,-4.411479247422301e-05,0.0003766016252703154,-0.004729227264548074
8.3999916,0.0028061894965953366,-0.0020386790178931365,-0.0029389441996468084
8.433324899999999,-0.001346201553626589,0.0015715057796412864,-0.002491469228491484
8.4666582,-0.0004501568637085441,-4.040759045240486e-05,-0.002455261854105114
8.4999915,0.0019577756520120174,-0.00017875569979979296,-0.004308555872859853
8.533324799999999,-7.326048944065154e-05,-0.0026011270000699483,-0.0006536285736368505
8.5666581,0.0015908839595610742,0.00016205636331370914,-0.0017380226300801561
8.5999914,0.0046542726245233056,-0.00010823193507909648,4.0891806237090475e-05
8.6333247,0.0015120515844220406,0.001639440786273835,0.003589156623000092
8.666658,-4.9535771407052676e-06,-0.00027514865613454363,0.001664077262843842
8.699991299999999,0.00633798659664748,-0.0011485329391613076,0.004563297858579267
8.7333246,0.002560686213087981,0.0031473303269028818,0.0008657476176329917
8.7666579,0.0037082121228240545,0.004573904521249665,0.0019637887632847767
