window_index,time_s,window_start_s,window_end_s,old_accepted,old_bpm,candidate_bpm,candidate_generated,candidate_proposal_supported,contributing_rois,contributing_roi_names,old_window_finite,candidate_window_finite,motion_available,motion_status,motion_speed_face_per_s,motion_strength,motion_reliability,old_motion_risk,candidate_motion_risk,motion_risk_decrease,route_eligible,reason
0,4.999995,0.0,9.99999,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,False,old_hr_not_accepted
1,5.999994,0.999999,10.999989,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,False,old_hr_not_accepted
2,6.999993,1.999998,11.999988,False,,57.0,True,True,2,"[""left_cheek"", ""right_cheek""]",False,True,False,not_evaluated,,,,,,,False,old_hr_not_accepted
3,7.999992,2.999997,12.999986999999999,False,,57.0,True,True,2,"[""forehead"", ""right_cheek""]",False,True,False,not_evaluated,,,,,,,False,old_hr_not_accepted
4,8.999991,3.999996,13.999986,True,55.0,57.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,0.0939151307632856,0.12366861163694703,1.0,0.033600963289789995,0.02649240231270357,0.0071085609770864255,False,old_motion_risk_below_threshold
5,9.99999,4.999995,14.999984999999999,True,54.0,58.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,0.15052281561104788,0.2660625270842924,1.0,0.050528747516398534,0.03999370506828873,0.0105350424481098,False,old_motion_risk_below_threshold
6,10.999989,5.999994,15.999984,True,53.0,58.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.2196658403070726,0.43568161525450294,1.0,0.10952105729427897,0.08826351128197335,0.021257546012305617,False,old_motion_risk_below_threshold
7,11.999988,6.999993,16.999983,True,53.0,59.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.2566680507247015,0.5131583114450665,1.0,0.19524897625414336,0.1449252756076906,0.05032370064645275,False,old_motion_risk_below_threshold
8,12.999986999999999,7.999992,17.999982,True,53.0,61.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.2907205101557601,0.5748831873253684,1.0,0.24839878468623108,0.14888059624974515,0.09951818843648594,False,old_motion_risk_below_threshold
9,13.999986,8.999991,18.999981,True,53.0,62.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.31563889670259127,0.6145019151824448,1.0,0.2734977836832508,0.12268352083326496,0.15081426284998584,False,old_motion_risk_below_threshold
10,14.999984999999999,9.99999,19.99998,True,53.0,63.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.33372876776508414,0.6405461430112394,1.0,0.28622725135810395,0.09083283056101617,0.1953944207970878,False,old_motion_risk_below_threshold
11,15.999984,10.999989,20.999979,True,52.0,63.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.34961248203365847,0.6616663435041461,1.0,0.30397994719448,0.07928437469029764,0.22469557250418237,False,old_motion_risk_below_threshold
12,16.999983,11.999988,21.999978,True,52.0,62.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.3733952271955772,0.6904775988327919,1.0,0.3032666153297366,0.07939147392961406,0.22387514140012255,False,old_motion_risk_below_threshold
13,17.999982,12.999986999999999,22.999976999999998,True,52.0,61.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.3845951832587336,0.7029657632673144,1.0,0.28289574064056416,0.06158942787342024,0.2213063127671439,False,old_motion_risk_below_threshold
14,18.999981,13.999986,23.999976,True,53.0,59.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.3983828250664084,0.7174616076637588,1.0,0.23011395087716902,0.05897017143369806,0.17114377944347095,False,old_motion_risk_below_threshold
15,19.99998,14.999984999999999,24.999975,True,56.0,59.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.3920457233905121,0.7109156170878713,1.0,0.12436392804606934,0.051714380431427315,0.07264954761464203,False,old_motion_risk_below_threshold
16,20.999979,15.999984,25.999973999999998,True,58.0,59.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.3698166875087371,0.6863463542264914,1.0,0.0916689803323849,0.07261088177465469,0.019058098557730205,False,old_motion_risk_below_threshold
17,21.999978,16.999983,26.999972999999997,True,60.0,58.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.3486296399218891,0.6604047583138183,1.0,0.06748251195505585,0.09920977191353837,-0.03172725995848252,False,old_motion_risk_below_threshold
18,22.999976999999998,17.999982,27.999972,True,61.0,57.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,0.3351848034310771,0.642548411820611,1.0,0.03947308401616779,0.09468481450484223,-0.05521173048867444,False,old_motion_risk_below_threshold
19,23.999976,18.999981,28.999971,True,62.0,57.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,0.32142334133527656,0.6230692802395161,1.0,0.014544523922351504,0.059644341612476545,-0.04509981769012504,False,old_motion_risk_below_threshold
20,24.999975,19.99998,29.999969999999998,True,62.0,55.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.3372713967504459,0.6453940848919345,1.0,0.009132261836828248,0.05568177067795188,-0.04654950884112363,False,old_motion_risk_below_threshold
21,25.999973999999998,20.999979,30.999969,True,56.0,54.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.3401949925644457,0.6493346983660981,1.0,0.016320417252442498,0.042495575201098736,-0.026175157948656238,False,old_motion_risk_below_threshold
22,26.999972999999997,21.999978,31.999968,True,54.0,54.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.35742068599147264,0.6714841056938622,1.0,0.05571769466480225,0.05571769466480225,0.0,False,old_motion_risk_below_threshold
23,27.999972,22.999976999999998,32.999967,True,53.0,54.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.3784795216866858,0.696228492039751,1.0,0.12289412955971087,0.09928639383672844,0.02360773572298243,False,old_motion_risk_below_threshold
24,28.999971,23.999976,33.999966,True,53.0,54.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.36212735636535004,0.6772298112366721,1.0,0.16601836928736358,0.1410918034510805,0.024926565836283082,False,old_motion_risk_below_threshold
