case,variant,estimator,before,after,reference_kind,shift_s,Ncommon_output,Nadded_output,Nlost_output,scope,version,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
data1,fusion,local_peak,trimmed_gap15,tracking_screened_gap10,estimated_alignment_Polar_device_HR,-5,36,2,0,common_after,tracking_screened_gap10,42,36,42,36,85.71428571428571,85.71428571428571,41.65833333333334,45.80766250797397,-23.680555555555557,39.76812664465597,-101.62608377908126,54.26497266797014,80.625,81.7,0,5,0.0,13.88888888888889,0.0,11.904761904761905
data1,fusion,local_peak,trimmed_gap15,tracking_screened_gap10,estimated_alignment_Polar_device_HR,-5,36,2,0,added_after,tracking_screened_gap10,42,2,42,2,4.761904761904762,4.761904761904762,82.69090909090909,82.69247619847111,82.69090909090909,0.7199632681172103,81.27978108539935,84.10203709641883,83.14909090909092,83.2,0,0,0.0,0.0,0.0,0.0
data1,fusion,local_peak,trimmed_gap15,tracking_screened_gap10,estimated_alignment_Polar_device_HR,-5,36,2,0,lost_before,trimmed_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,trimmed_gap15,tracking_screened_gap10,estimated_alignment_Polar_device_HR,-5,36,2,0,common_before,trimmed_gap15,42,36,42,36,85.71428571428571,85.71428571428571,11.375000000000002,11.8740028821137,-11.375000000000002,3.4543864454177267,-18.145597433018747,-4.604402566981258,18.525000000000006,19.299999999999997,0,12,0.0,33.333333333333336,0.0,28.571428571428573
data1,fusion,offline_ridge,trimmed_gap15,tracking_screened_gap10,estimated_alignment_Polar_device_HR,-5,36,2,0,common_after,tracking_screened_gap10,42,36,42,36,85.71428571428571,85.71428571428571,33.652777777777786,36.66185953336852,-33.652777777777786,14.752210219123313,-62.56710980725948,-4.738445748296094,51.775000000000006,54.3,0,6,0.0,16.666666666666668,0.0,14.285714285714286
data1,fusion,offline_ridge,trimmed_gap15,tracking_screened_gap10,estimated_alignment_Polar_device_HR,-5,36,2,0,added_after,tracking_screened_gap10,42,2,42,2,4.761904761904762,4.761904761904762,9.809090909090905,9.809095121744816,-9.809090909090905,0.012856486930662856,-9.834289623475005,-9.783892194706805,9.817272727272723,9.818181818181813,0,2,0.0,100.0,0.0,4.761904761904762
data1,fusion,offline_ridge,trimmed_gap15,tracking_screened_gap10,estimated_alignment_Polar_device_HR,-5,36,2,0,lost_before,trimmed_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,trimmed_gap15,tracking_screened_gap15,estimated_alignment_Polar_device_HR,-5,36,2,0,common_before,trimmed_gap15,42,36,42,36,85.71428571428571,85.71428571428571,19.852777777777778,29.82360642175926,-1.597222222222223,30.203249457264988,-60.7955911584616,57.601146714017155,81.625,83.7,0,9,0.0,25.0,0.0,21.428571428571427
data1,fusion,local_peak,trimmed_gap15,tracking_screened_gap15,estimated_alignment_Polar_device_HR,-5,36,2,0,common_after,tracking_screened_gap15,42,36,42,36,85.71428571428571,85.71428571428571,41.65833333333334,45.80766250797397,-23.680555555555557,39.76812664465597,-101.62608377908126,54.26497266797014,80.625,81.7,0,5,0.0,13.88888888888889,0.0,11.904761904761905
data1,fusion,local_peak,trimmed_gap15,tracking_screened_gap15,estimated_alignment_Polar_device_HR,-5,36,2,0,added_after,tracking_screened_gap15,42,2,42,2,4.761904761904762,4.761904761904762,82.69090909090909,82.69247619847111,82.69090909090909,0.7199632681172103,81.27978108539935,84.10203709641883,83.14909090909092,83.2,0,0,0.0,0.0,0.0,0.0
data1,fusion,local_peak,trimmed_gap15,tracking_screened_gap15,estimated_alignment_Polar_device_HR,-5,36,2,0,lost_before,trimmed_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,trimmed_gap15,tracking_screened_gap15,estimated_alignment_Polar_device_HR,-5,36,2,0,common_before,trimmed_gap15,42,36,42,36,85.71428571428571,85.71428571428571,11.375000000000002,11.8740028821137,-11.375000000000002,3.4543864454177267,-18.145597433018747,-4.604402566981258,18.525000000000006,19.299999999999997,0,12,0.0,33.333333333333336,0.0,28.571428571428573
data1,fusion,offline_ridge,trimmed_gap15,tracking_screened_gap15,estimated_alignment_Polar_device_HR,-5,36,2,0,common_after,tracking_screened_gap15,42,36,42,36,85.71428571428571,85.71428571428571,33.652777777777786,36.66185953336852,-33.652777777777786,14.752210219123313,-62.56710980725948,-4.738445748296094,51.775000000000006,54.3,0,6,0.0,16.666666666666668,0.0,14.285714285714286
data1,fusion,offline_ridge,trimmed_gap15,tracking_screened_gap15,estimated_alignment_Polar_device_HR,-5,36,2,0,added_after,tracking_screened_gap15,42,2,42,2,4.761904761904762,4.761904761904762,9.809090909090905,9.809095121744816,-9.809090909090905,0.012856486930662856,-9.834289623475005,-9.783892194706805,9.817272727272723,9.818181818181813,0,2,0.0,100.0,0.0,4.761904761904762
data1,fusion,offline_ridge,trimmed_gap15,tracking_screened_gap15,estimated_alignment_Polar_device_HR,-5,36,2,0,lost_before,trimmed_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,tracking_only_gap10,tracking_only_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_before,tracking_only_gap10,42,38,42,38,90.47619047619048,90.47619047619048,41.81794258373207,47.137704552911956,-15.976794258373205,44.94284627506203,-104.06477295749478,72.11118444074837,82.25954545454546,83.2,0,6,0.0,15.789473684210526,0.0,14.285714285714286
data1,fusion,local_peak,tracking_only_gap10,tracking_only_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_after,tracking_only_gap15,42,38,42,38,90.47619047619048,90.47619047619048,41.81794258373207,47.137704552911956,-15.976794258373205,44.94284627506203,-104.06477295749478,72.11118444074837,82.25954545454546,83.2,0,6,0.0,15.789473684210526,0.0,14.285714285714286
data1,fusion,local_peak,tracking_only_gap10,tracking_only_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,added_after,tracking_only_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,tracking_only_gap10,tracking_only_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,lost_before,tracking_only_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,tracking_only_gap10,tracking_only_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_before,tracking_only_gap10,42,38,42,38,90.47619047619048,90.47619047619048,24.792583732057416,29.62064833427008,-24.792583732057416,16.425921164669685,-56.987389214809994,7.402221750695162,51.625,53.3,0,11,0.0,28.94736842105263,0.0,26.19047619047619
data1,fusion,offline_ridge,tracking_only_gap10,tracking_only_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,common_after,tracking_only_gap15,42,38,42,38,90.47619047619048,90.47619047619048,24.792583732057416,29.62064833427008,-24.792583732057416,16.425921164669685,-56.987389214809994,7.402221750695162,51.625,53.3,0,11,0.0,28.94736842105263,0.0,26.19047619047619
data1,fusion,offline_ridge,tracking_only_gap10,tracking_only_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,added_after,tracking_only_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,tracking_only_gap10,tracking_only_gap15,estimated_alignment_Polar_device_HR,-5,38,0,0,lost_before,tracking_only_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
