case,version,variant,estimator,branch,shift_s,reference_kind,scope,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
user0907,tracking_screened_gap10,chrom,offline_ridge,tracking_screened_gap10/chrom/offline_ridge,0,none,strict_common_all_versions_same_variant,42,14,0,0,33.333333333333336,,,,,,,,,,0,0,,,,
user0907,tracking_screened_gap15,chrom,local_peak,tracking_screened_gap15/chrom/local_peak,0,none,strict_common_all_versions_same_variant,42,14,0,0,33.333333333333336,,,,,,,,,,0,0,,,,
user0907,tracking_screened_gap15,chrom,offline_ridge,tracking_screened_gap15/chrom/offline_ridge,0,none,strict_common_all_versions_same_variant,42,14,0,0,33.333333333333336,,,,,,,,,,0,0,,,,
ubfc,trimmed_gap10,fusion,local_peak,trimmed_gap10/fusion/local_peak,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.765783131216183,3.5002721919318986,-0.7253926583732963,3.4679057315419337,-7.522487892195486,6.071702575448893,6.096196329379086,7.343965517241372,31,40,77.5,100.0,70.45454545454545,90.9090909090909
ubfc,trimmed_gap10,fusion,offline_ridge,trimmed_gap10/fusion/offline_ridge,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.5608837981643235,3.176009202248615,-0.6503926583732962,3.1483041984294027,-6.821068887294926,5.520283570548333,5.575299361283598,6.343965517241372,36,40,90.0,100.0,81.81818181818181,90.9090909090909
ubfc,trimmed_gap15,fusion,local_peak,trimmed_gap15/fusion/local_peak,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.765783131216183,3.5002721919318986,-0.7253926583732963,3.4679057315419337,-7.522487892195486,6.071702575448893,6.096196329379086,7.343965517241372,31,40,77.5,100.0,70.45454545454545,90.9090909090909
ubfc,trimmed_gap15,fusion,offline_ridge,trimmed_gap15/fusion/offline_ridge,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.5608837981643235,3.176009202248615,-0.6503926583732962,3.1483041984294027,-6.821068887294926,5.520283570548333,5.575299361283598,6.343965517241372,36,40,90.0,100.0,81.81818181818181,90.9090909090909
ubfc,tracking_only_gap10,fusion,local_peak,tracking_only_gap10/fusion/local_peak,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.7266959720347423,3.5109805260637343,-0.7003926583732962,3.4842406196893014,-7.529504272964327,6.128718956217734,6.583091082944972,7.343965517241372,32,40,80.0,100.0,72.72727272727273,90.9090909090909
ubfc,tracking_only_gap10,fusion,offline_ridge,tracking_only_gap10/fusion/offline_ridge,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.5892021372646696,3.1982829230346255,-0.6503926583732962,3.171346562777399,-6.866231921416999,5.565446604670406,5.575299361283598,6.343965517241372,36,40,90.0,100.0,81.81818181818181,90.9090909090909
ubfc,tracking_only_gap15,fusion,local_peak,tracking_only_gap15/fusion/local_peak,0,paired_UBFC_device_HR,strict_common_all_versions_same_variant,44,40,44,40,90.9090909090909,90.9090909090909,2.7266959720347423,3.5109805260637343,-0.7003926583732962,3.4842406196893014,-7.529504272964327,6.128718956217734,6.583091082944972,7.343965517241372,32,40,80.0,100.0,72.72727272727273,90.9090909090909
