case,variant,estimator,before,after,Ncommon_output,Nadded_output,Nlost_output,own_delta_MAE_bpm,common_delta_MAE_bpm,own_delta_RMSE_bpm,common_delta_RMSE_bpm,own_delta_Bias_bpm,common_delta_Bias_bpm,own_delta_P5_valid_pct,common_delta_P5_valid_pct,own_delta_R5_all_reference_pct,common_delta_R5_all_reference_pct,own_delta_C_out_pct,common_delta_C_out_pct
user0904,chrom,local_peak,tracking_only_gap10,tracking_only_gap15,36,0,0,,,,,,,,,,,0.0,0.0
user0904,chrom,offline_ridge,tracking_only_gap10,tracking_only_gap15,36,0,0,,,,,,,,,,,0.0,0.0
user0904,chrom,local_peak,tracking_only_gap10,tracking_screened_gap10,34,0,2,,,,,,,,,,,-5.128205128205124,0.0
user0904,chrom,offline_ridge,tracking_only_gap10,tracking_screened_gap10,34,0,2,,,,,,,,,,,-5.128205128205124,0.0
user0904,chrom,local_peak,tracking_only_gap10,tracking_screened_gap15,34,0,2,,,,,,,,,,,-5.128205128205124,0.0
user0904,chrom,offline_ridge,tracking_only_gap10,tracking_screened_gap15,34,0,2,,,,,,,,,,,-5.128205128205124,0.0
user0904,chrom,local_peak,tracking_only_gap15,tracking_screened_gap10,34,0,2,,,,,,,,,,,-5.128205128205124,0.0
user0904,chrom,offline_ridge,tracking_only_gap15,tracking_screened_gap10,34,0,2,,,,,,,,,,,-5.128205128205124,0.0
user0904,chrom,local_peak,tracking_only_gap15,tracking_screened_gap15,34,0,2,,,,,,,,,,,-5.128205128205124,0.0
user0904,chrom,offline_ridge,tracking_only_gap15,tracking_screened_gap15,34,0,2,,,,,,,,,,,-5.128205128205124,0.0
user0904,chrom,local_peak,tracking_screened_gap10,tracking_screened_gap15,34,0,0,,,,,,,,,,,0.0,0.0
user0904,chrom,offline_ridge,tracking_screened_gap10,tracking_screened_gap15,34,0,0,,,,,,,,,,,0.0,0.0
user0907,fusion,local_peak,trimmed_gap10,trimmed_gap15,13,12,0,,,,,,,,,,,28.571428571428573,0.0
user0907,fusion,offline_ridge,trimmed_gap10,trimmed_gap15,13,12,0,,,,,,,,,,,28.571428571428573,0.0
user0907,fusion,local_peak,trimmed_gap10,tracking_only_gap10,3,1,10,,,,,,,,,,,-21.42857142857143,0.0
user0907,fusion,offline_ridge,trimmed_gap10,tracking_only_gap10,3,1,10,,,,,,,,,,,-21.42857142857143,0.0
user0907,fusion,local_peak,trimmed_gap10,tracking_only_gap15,6,9,7,,,,,,,,,,,4.761904761904763,0.0
user0907,fusion,offline_ridge,trimmed_gap10,tracking_only_gap15,6,9,7,,,,,,,,,,,4.761904761904763,0.0
user0907,fusion,local_peak,trimmed_gap10,tracking_screened_gap10,9,1,4,,,,,,,,,,,-7.142857142857142,0.0
user0907,fusion,offline_ridge,trimmed_gap10,tracking_screened_gap10,9,1,4,,,,,,,,,,,-7.142857142857142,0.0
user0907,fusion,local_peak,trimmed_gap10,tracking_screened_gap15,7,2,6,,,,,,,,,,,-9.523809523809526,0.0
user0907,fusion,offline_ridge,trimmed_gap10,tracking_screened_gap15,7,2,6,,,,,,,,,,,-9.523809523809526,0.0
user0907,fusion,local_peak,trimmed_gap15,tracking_only_gap10,4,0,21,,,,,,,,,,,-50.0,0.0
user0907,fusion,offline_ridge,trimmed_gap15,tracking_only_gap10,4,0,21,,,,,,,,,,,-50.0,0.0
user0907,fusion,local_peak,trimmed_gap15,tracking_only_gap15,15,0,10,,,,,,,,,,,-23.80952380952381,0.0
user0907,fusion,offline_ridge,trimmed_gap15,tracking_only_gap15,15,0,10,,,,,,,,,,,-23.80952380952381,0.0
user0907,fusion,local_peak,trimmed_gap15,tracking_screened_gap10,10,0,15,,,,,,,,,,,-35.714285714285715,0.0
user0907,fusion,offline_ridge,trimmed_gap15,tracking_screened_gap10,10,0,15,,,,,,,,,,,-35.714285714285715,0.0
user0907,fusion,local_peak,trimmed_gap15,tracking_screened_gap15,9,0,16,,,,,,,,,,,-38.0952380952381,0.0
user0907,fusion,offline_ridge,trimmed_gap15,tracking_screened_gap15,9,0,16,,,,,,,,,,,-38.0952380952381,0.0
user0907,fusion,local_peak,tracking_only_gap10,tracking_only_gap15,4,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,fusion,offline_ridge,tracking_only_gap10,tracking_only_gap15,4,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,fusion,local_peak,tracking_only_gap10,tracking_screened_gap10,4,6,0,,,,,,,,,,,14.285714285714286,0.0
user0907,fusion,offline_ridge,tracking_only_gap10,tracking_screened_gap10,4,6,0,,,,,,,,,,,14.285714285714286,0.0
user0907,fusion,local_peak,tracking_only_gap10,tracking_screened_gap15,3,6,1,,,,,,,,,,,11.904761904761903,0.0
user0907,fusion,offline_ridge,tracking_only_gap10,tracking_screened_gap15,3,6,1,,,,,,,,,,,11.904761904761903,0.0
user0907,fusion,local_peak,tracking_only_gap15,tracking_screened_gap10,4,6,11,,,,,,,,,,,-11.904761904761905,0.0
user0907,fusion,offline_ridge,tracking_only_gap15,tracking_screened_gap10,4,6,11,,,,,,,,,,,-11.904761904761905,0.0
user0907,fusion,local_peak,tracking_only_gap15,tracking_screened_gap15,4,5,11,,,,,,,,,,,-14.285714285714288,0.0
user0907,fusion,offline_ridge,tracking_only_gap15,tracking_screened_gap15,4,5,11,,,,,,,,,,,-14.285714285714288,0.0
user0907,fusion,local_peak,tracking_screened_gap10,tracking_screened_gap15,7,2,3,,,,,,,,,,,-2.380952380952383,0.0
user0907,fusion,offline_ridge,tracking_screened_gap10,tracking_screened_gap15,7,2,3,,,,,,,,,,,-2.380952380952383,0.0
