case,variant,before,after,shift_s,Npaired_snr,mean_paired_delta_snr_db,median_paired_delta_snr_db,positive_delta_pct
data1,fusion,trimmed_gap10,trimmed_gap15,-5,36,4.877579821519854e-14,3.907985046680551e-14,0.0
data1,fusion,trimmed_gap10,tracking_only_gap10,-5,36,-0.34953711465886195,-0.6556947656066976,44.44444444444444
data1,fusion,trimmed_gap10,tracking_only_gap15,-5,36,-0.34953711465885434,-0.6556947656066976,44.44444444444444
data1,fusion,trimmed_gap10,tracking_screened_gap10,-5,36,-0.6747603596814111,-1.1477199121024233,41.66666666666667
data1,fusion,trimmed_gap10,tracking_screened_gap15,-5,36,-0.6747603596814093,-1.1477199121024486,41.66666666666667
data1,fusion,trimmed_gap15,tracking_only_gap10,-5,36,-0.3495371146589108,-0.65569476560675,44.44444444444444
data1,fusion,trimmed_gap15,tracking_only_gap15,-5,36,-0.3495371146589031,-0.65569476560675,44.44444444444444
data1,fusion,trimmed_gap15,tracking_screened_gap10,-5,36,-0.6747603596814599,-1.1477199121024704,41.66666666666667
data1,fusion,trimmed_gap15,tracking_screened_gap15,-5,36,-0.6747603596814579,-1.1477199121024957,41.66666666666667
data1,fusion,tracking_only_gap10,tracking_only_gap15,-5,38,2.325625072635854e-15,-3.552713678800501e-15,0.0
data1,fusion,tracking_only_gap10,tracking_screened_gap10,-5,38,-0.23474415469025958,0.0049513615282661405,50.0
data1,fusion,tracking_only_gap10,tracking_screened_gap15,-5,38,-0.2347441546902528,0.004951361528284348,50.0
data1,fusion,tracking_only_gap15,tracking_screened_gap10,-5,38,-0.2347441546902619,0.004951361528299891,50.0
data1,fusion,tracking_only_gap15,tracking_screened_gap15,-5,38,-0.23474415469025514,0.004951361528318099,50.0
data1,fusion,tracking_screened_gap10,tracking_screened_gap15,-5,38,6.754830612982532e-15,2.6645352591003757e-15,0.0
data1,pos,trimmed_gap10,trimmed_gap15,-5,38,-1.8932224209397405e-14,-3.9968028886505635e-15,0.0
data1,pos,trimmed_gap10,tracking_only_gap10,-5,38,-0.42439226219187526,-0.8513378321592806,36.84210526315789
data1,pos,trimmed_gap10,tracking_only_gap15,-5,38,-0.4243922621918632,-0.8513378321593383,36.84210526315789
data1,pos,trimmed_gap10,tracking_screened_gap10,-5,38,-0.17973812916412316,-0.432822271124397,42.10526315789473
data1,pos,trimmed_gap10,tracking_screened_gap15,-5,38,-0.17973812916413134,-0.4328222711244165,42.10526315789473
data1,pos,trimmed_gap15,tracking_only_gap10,-5,38,-0.4243922621918566,-0.8513378321592979,36.84210526315789
data1,pos,trimmed_gap15,tracking_only_gap15,-5,38,-0.42439226219184434,-0.8513378321593557,36.84210526315789
data1,pos,trimmed_gap15,tracking_screened_gap10,-5,38,-0.17973812916410434,-0.4328222711244134,42.10526315789473
data1,pos,trimmed_gap15,tracking_screened_gap15,-5,38,-0.1797381291641125,-0.43282227112443294,42.10526315789473
data1,pos,tracking_only_gap10,tracking_only_gap15,-5,38,1.2341005410570162e-14,7.993605777301127e-15,0.0
data1,pos,tracking_only_gap10,tracking_screened_gap10,-5,38,0.2446541330277523,0.5381638253937941,68.42105263157895
data1,pos,tracking_only_gap10,tracking_screened_gap15,-5,38,0.24465413302774416,0.5381638253937542,68.42105263157895
data1,pos,tracking_only_gap15,tracking_screened_gap10,-5,38,0.24465413302774,0.538163825393716,68.42105263157895
