case,version,roi,source,frames,count,all_video_frames_pct
user0907,tracking_screened_gap15,left_cheek,baseline_reset,1557,60,3.8535645472061657
user0907,tracking_screened_gap15,right_cheek,tracked_ratio,1557,1248,80.15414258188825
user0907,tracking_screened_gap15,right_cheek,missing,1557,142,9.12010276172126
user0907,tracking_screened_gap15,right_cheek,baseline_ratio_fallback,1557,107,6.872190109184329
user0907,tracking_screened_gap15,right_cheek,baseline_reset,1557,60,3.8535645472061657
ubfc,tracking_only_gap10,forehead,tracked_ratio,1547,1546,99.93535875888817
ubfc,tracking_only_gap10,forehead,baseline_reset,1547,1,0.06464124111182935
ubfc,tracking_only_gap10,left_cheek,tracked_ratio,1547,1546,99.93535875888817
ubfc,tracking_only_gap10,left_cheek,baseline_reset,1547,1,0.06464124111182935
ubfc,tracking_only_gap10,right_cheek,tracked_ratio,1547,1546,99.93535875888817
ubfc,tracking_only_gap10,right_cheek,baseline_reset,1547,1,0.06464124111182935
ubfc,tracking_only_gap15,forehead,tracked_ratio,1547,1546,99.93535875888817
ubfc,tracking_only_gap15,forehead,baseline_reset,1547,1,0.06464124111182935
ubfc,tracking_only_gap15,left_cheek,tracked_ratio,1547,1546,99.93535875888817
ubfc,tracking_only_gap15,left_cheek,baseline_reset,1547,1,0.06464124111182935
ubfc,tracking_only_gap15,right_cheek,tracked_ratio,1547,1546,99.93535875888817
ubfc,tracking_only_gap15,right_cheek,baseline_reset,1547,1,0.06464124111182935
ubfc,tracking_screened_gap10,forehead,tracked_ratio,1547,1546,99.93535875888817
ubfc,tracking_screened_gap10,forehead,baseline_reset,1547,1,0.06464124111182935
ubfc,tracking_screened_gap10,left_cheek,tracked_ratio,1547,1546,99.93535875888817
ubfc,tracking_screened_gap10,left_cheek,baseline_reset,1547,1,0.06464124111182935
ubfc,tracking_screened_gap10,right_cheek,tracked_ratio,1547,1546,99.93535875888817
ubfc,tracking_screened_gap10,right_cheek,baseline_reset,1547,1,0.06464124111182935
ubfc,tracking_screened_gap15,forehead,tracked_ratio,1547,1546,99.93535875888817
ubfc,tracking_screened_gap15,forehead,baseline_reset,1547,1,0.06464124111182935
ubfc,tracking_screened_gap15,left_cheek,tracked_ratio,1547,1546,99.93535875888817
ubfc,tracking_screened_gap15,left_cheek,baseline_reset,1547,1,0.06464124111182935
ubfc,tracking_screened_gap15,right_cheek,tracked_ratio,1547,1546,99.93535875888817
ubfc,tracking_screened_gap15,right_cheek,baseline_reset,1547,1,0.06464124111182935
kaggle_full,tracking_only_gap10,forehead,tracked_ratio,12867,12859,99.93782544493666
kaggle_full,tracking_only_gap10,forehead,baseline_ratio_fallback,12867,7,0.05440273568042279
kaggle_full,tracking_only_gap10,forehead,baseline_reset,12867,1,0.007771819382917541
kaggle_full,tracking_only_gap10,left_cheek,tracked_ratio,12867,12857,99.92228180617083
kaggle_full,tracking_only_gap10,left_cheek,baseline_ratio_fallback,12867,9,0.06994637444625787
kaggle_full,tracking_only_gap10,left_cheek,baseline_reset,12867,1,0.007771819382917541
kaggle_full,tracking_only_gap10,right_cheek,tracked_ratio,12867,12859,99.93782544493666
kaggle_full,tracking_only_gap10,right_cheek,baseline_ratio_fallback,12867,7,0.05440273568042279
kaggle_full,tracking_only_gap10,right_cheek,baseline_reset,12867,1,0.007771819382917541
kaggle_full,tracking_only_gap15,forehead,tracked_ratio,12867,12859,99.93782544493666
kaggle_full,tracking_only_gap15,forehead,baseline_ratio_fallback,12867,7,0.05440273568042279
kaggle_full,tracking_only_gap15,forehead,baseline_reset,12867,1,0.007771819382917541
kaggle_full,tracking_only_gap15,left_cheek,tracked_ratio,12867,12857,99.92228180617083
