case,version,variant,scope,shift_s,reference_kind,Nref,Nplanned,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_s,longest_missing_run_s,longest_internal_missing_run_s,finite_runs,observed_finite_samples,observed_all_samples_pct,interpolated_samples,interpolated_all_samples_pct,interpolated_covered_samples_pct,snr_mean_db,snr_median_db,peak_concentration_median_accepted,r_wave,morphology_reference_status,waveform_generated_count,waveform_generated_but_HR_rejected_count,neighbor_covered_count,accepted_neighbor_covered_count
data1,tracking_only_gap10,pos,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.55748906841107,-12.023354426905453,0.27524769496461,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_only_gap10,pos,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.55748906841107,-12.023354426905453,0.27524769496461,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_only_gap15,pos,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.557489068411057,-12.02335442690549,0.27524769496461016,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_only_gap15,pos,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.557489068411057,-12.02335442690549,0.27524769496461016,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_screened_gap10,pos,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.312834935383318,-11.000921925137078,0.2705853902805714,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_screened_gap10,pos,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.312834935383318,-11.000921925137078,0.2705853902805714,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_screened_gap15,pos,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.312834935383325,-11.000921925137106,0.2705853902805735,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_screened_gap15,pos,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.312834935383325,-11.000921925137106,0.2705853902805735,,no_qualified_synchronized_waveform_truth,,,,
data1,trimmed_gap10,chrom,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-10.445145994505763,-10.790470858946637,0.4357437585194536,,no_qualified_synchronized_waveform_truth,,,,
data1,trimmed_gap10,chrom,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-10.445145994505763,-10.790470858946637,0.4357437585194536,,no_qualified_synchronized_waveform_truth,,,,
