time_s,raw_network,crop_observed,bbox_interpolated,crop_valid
0.0,,False,False,False
0.0333332999999999,,False,False,False
0.0666665999999999,,False,False,False
0.0999998999999999,,False,False,False
0.1333331999999999,,False,False,False
0.1666665,,False,False,False
0.1999997999999999,,False,False,False
0.2333331,,False,False,False
0.2666663999999999,,False,False,False
0.2999997,,False,False,False
0.333333,,False,False,False
0.3666663,,False,False,False
0.3999995999999999,,False,False,False
0.4333328999999999,,False,False,False
0.4666662,,False,False,False
0.4999995,,False,False,False
0.5333327999999999,,False,False,False
0.5666661,,False,False,False
0.5999994,,False,False,False
0.6333327,,False,False,False
0.666666,,False,False,False
0.6999993,,False,False,False
0.7333326,,False,False,False
0.7666659,,False,False,False
0.7999991999999999,,False,False,False
0.8333324999999999,,False,False,False
0.8666657999999999,,False,False,False
0.8999990999999999,,False,False,False
0.9333324,0.8089077472686768,True,False,True
0.9666657,0.8089077472686768,True,False,True
0.999999,-0.1658925861120224,True,False,True
1.0333323,-0.1658925861120224,True,False,True
1.0666656,-1.421946406364441,True,False,True
1.0999989,-1.421946406364441,True,False,True
1.1333322,-1.458269476890564,True,False,True
1.1666655,-1.458269476890564,True,False,True
1.1999988,-0.3463408946990967,True,False,True
1.2333321,-0.3463408946990967,True,False,True
1.2666654,0.22141438722610474,True,False,True
1.2999987,0.22141438722610474,True,False,True
1.333332,-0.6103718876838684,True,False,True
1.3666653,-0.6103718876838684,True,False,True
1.3999986,-0.964799165725708,True,False,True
1.4333319,-0.964799165725708,True,False,True
1.4666652,-0.9487954378128052,True,False,True
1.4999985,-0.9487954378128052,True,False,True
1.5333318,0.11553730070590973,True,False,True
1.5666650999999998,0.11553730070590973,True,False,True
1.5999983999999998,0.7884719371795654,True,False,True
1.6333316999999998,0.7884719371795654,True,False,True
1.6666649999999998,-0.2892504632472992,True,False,True
1.6999983,-0.2892504632472992,True,False,True
1.7333316,-0.8187206983566284,True,False,True
1.7666649,-0.8187206983566284,True,False,True
1.7999982,0.2657814025878906,True,False,True
1.8333315,0.2657814025878906,True,False,True
1.8666648,1.9583055973052979,True,False,True
1.8999981,1.9583055973052979,True,False,True
1.9333314,0.4564582407474518,True,False,True
1.9666647,0.4564582407474518,True,False,True
1.999998,-0.583082914352417,True,False,True
2.0333313,-0.583082914352417,True,False,True
2.0666646,-1.4561200141906738,True,False,True
2.0999979,-1.4561200141906738,True,False,True
2.1333312,-1.514343023300171,True,False,True
2.1666645,-1.514343023300171,True,False,True
2.1999978,-1.0253751277923584,True,False,True
2.2333311,-1.0253751277923584,True,False,True
2.2666644,0.015263212844729424,True,False,True
2.2999977,0.015263212844729424,True,False,True
2.333331,-0.7911108732223511,True,False,True
2.3666643,-0.7911108732223511,True,False,True
2.3999976,-1.7166086435317993,True,False,True
2.4333309,-1.7166086435317993,True,False,True
2.4666642,-0.6867944598197937,True,False,True
2.4999975,-0.6867944598197937,True,False,True
2.5333308,1.8874738216400146,True,False,True
2.5666641,1.8874738216400146,True,False,True
2.5999974,1.6864526271820068,True,False,True
2.6333307,1.6864526271820068,True,False,True
2.666664,0.1119178906083107,True,False,True
2.6999973,0.1119178906083107,True,False,True
2.7333306,-1.1824952363967896,True,False,True
2.7666639,-1.1824952363967896,True,False,True
2.7999972,-0.928153932094574,True,False,True
2.8333305,-0.928153932094574,True,False,True
2.8666638,1.3243839740753174,True,False,True
2.8999971,1.3243839740753174,True,False,True
2.9333304,1.4384880065917969,True,False,True
2.9666637,1.4384880065917969,True,False,True
2.999997,0.0735398456454277,True,False,True
3.0333303,0.0735398456454277,True,False,True
