window_index,time_s,window_start_s,window_end_s,requested_eligible,eligible,protected_window,reason,editable_samples_in_window,modified_samples_in_window,effective_changed_window,initial_eligible,withdrawn_by_runtime_guard,mode,old_bpm,candidate_bpm,old_accepted,candidate_accepted,old_window_finite,candidate_window_finite,disagreement_bpm,physical_roi_support_count,physical_roi_support_names,raw_consensus_roi_count,raw_consensus_roi_names,motion_available,motion_status,old_direct_motion_risk,candidate_direct_motion_risk,direct_motion_risk_decrease,direct_motion_pass,raw_consensus_pass,proposal_eligible,roi_evidence_json
0,4.99995,0.0,9.9999,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
1,5.99994,0.9999899999999999,10.99989,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
2,6.99993,1.9999799999999999,11.99988,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,74.0,74.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
3,7.9999199999999995,2.99997,12.99987,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,74.0,74.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
4,8.99991,3.9999599999999997,13.99986,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,74.0,74.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
5,9.9999,4.99995,14.99985,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,74.0,74.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
6,10.99989,5.99994,15.999839999999999,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,74.0,74.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
7,11.99988,6.99993,16.99983,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,74.0,74.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
8,12.99987,7.9999199999999995,17.99982,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,74.0,74.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
9,13.99986,8.99991,18.99981,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,75.0,74.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
10,14.99985,9.9999,19.9998,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,76.0,75.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
11,15.999839999999999,10.99989,20.99979,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,77.0,76.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
12,16.99983,11.99988,21.99978,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,78.0,78.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
13,17.99982,12.99987,22.999769999999998,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,79.0,80.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
14,18.99981,13.99986,23.99976,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,79.0,81.0,True,True,True,True,2.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
15,19.9998,14.99985,24.99975,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,79.0,81.0,True,True,True,True,2.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
16,20.99979,15.999839999999999,25.99974,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,78.0,79.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
17,21.99978,16.99983,26.99973,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,77.0,78.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
18,22.999769999999998,17.99982,27.99972,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,76.0,76.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
19,23.99976,18.99981,28.99971,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,75.0,75.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
20,24.99975,19.9998,29.9997,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,75.0,75.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
21,25.99974,20.99979,30.99969,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,75.0,75.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
22,26.99973,21.99978,31.999679999999998,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,75.0,75.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
23,27.99972,22.999769999999998,32.99967,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,75.0,75.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
24,28.99971,23.99976,33.99966,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,75.0,76.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
25,29.9997,24.99975,34.99965,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,76.0,77.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
26,30.99969,25.99974,35.99964,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,77.0,78.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
27,31.999679999999998,26.99973,36.999629999999996,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,78.0,79.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
28,32.99967,27.99972,37.99962,False,False,True,not_eligible,0,0,False,False,False,raw_consensus,79.0,79.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,{}
