time_s,observed_fraction,interpolated_fraction,spectral_peak_bpm,peak_concentration,accepted,status,ridge_bpm,legacy_ridge_bpm,evidence_local_bpm,evidence_score,evidence_runner_up_margin,evidence_selected_relative_power,evidence_selected_peak_bpm,evidence_selected_periodic_support,evidence_selected_motion_overlap,evidence_candidate_count,evidence_candidates_json,evidence_reacquired,evidence_tracker_state,evidence_motion_available,raw_spectral_peak_bpm,window_index,window_start_s,window_end_s,profile,analysis_window_s,hr_source,hr_passes_original_gates,strict_accepted,quality_tier
12.999986999999999,1.0,0.0,45.0,0.6024051434008623,True,candidate_only,46.0,57.0,45.0,1.1313830792055695,2.101396505587027,0.9959670209165788,45.0,0.7720868275464946,0.0026740866469277904,2,"[{""bpm"":45.0,""relative_power"":1.0,""peak_concentration"":0.6024051434008623,""prominence"":1.0,""period_correlation"":0.772549631158503,""split_period_correlation"":0.7706984167104696,""periodic_support"":0.7720868275464946,""harmonic2_relative_power"":0.09365192554511999,""harmonic3_relative_power"":0.00015833952423343977,""harmonic_support"":0.3104301772130851,""motion_profile"":0.0026740866469277904,""motion_strength"":0.9938166963690481,""motion_reliability"":1.0,""motion_overlap"":0.0026740866469277904,""motion_available"":true,""evidence_score"":1.1563830792055694,""supported_bpm"":[42.0,43.0,44.0,45.0,46.0,47.0,48.0],""supported_relative_power"":[0.9200004256112678,0.9613884912704783,0.9885488921666103,1.0,0.9959670209165788,0.9763945433808402,0.9417680086811401]},{""bpm"":90.0,""relative_power"":0.09365192554511999,""peak_concentration"":0.07643851306187077,""prominence"":0.09094480086927341,""period_correlation"":-0.33009568072553847,""split_period_correlation"":-0.19268097757115188,""periodic_support"":0.0,""harmonic2_relative_power"":1.5907897630609845e-07,""harmonic3_relative_power"":4.8085895424126404e-09,""harmonic_support"":0.00012948495172758056,""motion_profile"":0.09302664808392626,""motion_strength"":0.9938166963690481,""motion_reliability"":1.0,""motion_overlap"":0.09302664808392626,""motion_available"":true,""evidence_score"":-0.9450134263814578,""supported_bpm"":[87.0,88.0,89.0,90.0,91.0,92.0,93.0],""supported_relative_power"":[0.091713303755297,0.09273221547475496,0.09337210685309816,0.09365192554511999,0.09353884099804322,0.0929674176016298,0.09186072539145515]}]",False,tracked,True,45.0,10,9.99999,15.999984,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
13.999986,1.0,0.0,45.0,0.7621384579757072,True,candidate_only,46.0,53.0,45.0,0.9540780252199154,,0.9869486287518074,45.0,0.8432561903661813,0.000978609285364567,1,"[{""bpm"":45.0,""relative_power"":1.0,""peak_concentration"":0.7621384579757072,""prominence"":1.0,""period_correlation"":0.8706808688565685,""split_period_correlation"":0.76098215489502,""periodic_support"":0.8432561903661813,""harmonic2_relative_power"":0.0024629237880338948,""harmonic3_relative_power"":7.802564825805131e-05,""harmonic_support"":0.0527194774238217,""motion_profile"":0.000978609285364567,""motion_strength"":0.9939604289617092,""motion_reliability"":1.0,""motion_overlap"":0.000978609285364567,""motion_available"":true,""evidence_score"":0.9790780252199154,""supported_bpm"":[42.0,43.0,44.0,45.0,46.0,47.0,48.0],""supported_relative_power"":[0.9122705618060124,0.9619623104349646,0.9919204750883779,1.0,0.9869486287518074,0.9535764677288167,0.901820192379625]}]",False,tracked,True,45.0,11,10.999989,16.999983,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
14.999984999999999,1.0,0.0,46.0,0.8327644440081893,True,candidate_only,46.0,51.0,46.0,1.044141807537522,,1.0,46.0,0.9459419185445339,0.0008313702893912688,1,"[{""bpm"":46.0,""relative_power"":1.0,""peak_concentration"":0.8327644440081893,""prominence"":1.0,""period_correlation"":0.9466810111465441,""split_period_correlation"":0.9437246407385029,""periodic_support"":0.9459419185445339,""harmonic2_relative_power"":1.9054506822302582e-05,""harmonic3_relative_power"":6.389178208481054e-07,""harmonic_support"":0.004644910000273734,""motion_profile"":0.0008313702893912688,""motion_strength"":0.994039085378856,""motion_reliability"":1.0,""motion_overlap"":0.0008313702893912688,""motion_available"":true,""evidence_score"":1.044141807537522,""supported_bpm"":[43.0,44.0,45.0,46.0,47.0,48.0,49.0],""supported_relative_power"":[0.9251060149320703,0.9730373739306917,0.9981750013289571,1.0,0.9782938583783928,0.934273192184467,0.8704895067661446]}]",False,tracked,True,46.0,12,11.999988,17.999982,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
15.999984,1.0,0.0,47.0,0.8463203748122423,True,candidate_only,47.0,50.0,47.0,1.0649257393000415,,1.0,47.0,0.9718304865337016,0.0053971738889169,1,"[{""bpm"":47.0,""relative_power"":1.0,""peak_concentration"":0.8463203748122423,""prominence"":1.0,""period_correlation"":0.9732773890254502,""split_period_correlation"":0.967489779058456,""periodic_support"":0.9718304865337016,""harmonic2_relative_power"":6.513224805728412e-06,""harmonic3_relative_power"":9.271057135580313e-08,""harmonic_support"":0.0026586714741156634,""motion_profile"":0.0053971738889169,""motion_strength"":0.9939319499364817,""motion_reliability"":1.0,""motion_overlap"":0.0053971738889169,""motion_available"":true,""evidence_score"":1.0649257393000415,""supported_bpm"":[44.0,45.0,46.0,47.0,48.0,49.0,50.0],""supported_relative_power"":[0.9121065788351698,0.9648928070796075,0.9948488374729377,1.0,0.9799707184288134,0.9360216457003651,0.8709320065816694]}]",False,tracked,True,47.0,13,12.999986999999999,18.999981,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
16.999983,1.0,0.0,48.0,0.8450170162347862,True,candidate_only,47.0,50.0,48.0,1.0432738430590596,,0.9908554004847796,48.0,0.9776856532634265,0.006881304235041639,1,"[{""bpm"":48.0,""relative_power"":1.0,""peak_concentration"":0.8450170162347862,""prominence"":1.0,""period_correlation"":0.9784815992174256,""split_period_correlation"":0.9752978154014289,""periodic_support"":0.9776856532634265,""harmonic2_relative_power"":1.753602792116432e-06,""harmonic3_relative_power"":7.683679918732124e-08,""harmonic_support"":0.0014212547630923764,""motion_profile"":0.006881304235041639,""motion_strength"":0.9939003508398243,""motion_reliability"":1.0,""motion_overlap"":0.006881304235041639,""motion_available"":true,""evidence_score"":1.0682738430590595,""supported_bpm"":[45.0,46.0,47.0,48.0,49.0,50.0,51.0],""supported_relative_power"":[0.8988174539860331,0.9564327693092891,0.9908554004847796,1.0,0.9834484757728523,0.9424732842277863,0.8795413744115894]}]",False,tracked,True,48.0,14,13.999986,19.99998,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
17.999982,1.0,0.0,48.0,0.8432116971714073,True,candidate_only,47.0,50.0,48.0,1.0526367657401074,,0.9873605083641953,48.0,0.9860603553700713,0.006330690880436272,1,"[{""bpm"":48.0,""relative_power"":1.0,""peak_concentration"":0.8432116971714073,""prominence"":1.0,""period_correlation"":0.986786298729495,""split_period_correlation"":0.9838825252918,""periodic_support"":0.9860603553700713,""harmonic2_relative_power"":5.890129130546126e-07,""harmonic3_relative_power"":1.103505124040343e-07,""harmonic_support"":0.0008837384335740448,""motion_profile"":0.006330690880436272,""motion_strength"":0.9940715664959959,""motion_reliability"":1.0,""motion_overlap"":0.006330690880436272,""motion_available"":true,""evidence_score"":1.0776367657401074,""supported_bpm"":[45.0,46.0,47.0,48.0,49.0,50.0,51.0],""supported_relative_power"":[0.8893153457848937,0.9496833220425048,0.9873605083641953,1.0,0.9868952407733624,0.949034628701267,0.8886198585591675]}]",False,tracked,True,48.0,15,14.999984999999999,20.999979,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
18.999981,1.0,0.0,47.0,0.828943528178341,True,candidate_only,47.0,51.0,47.0,1.0683180018649245,,1.0,47.0,0.9768887950001152,0.006993948562110636,1,"[{""bpm"":47.0,""relative_power"":1.0,""peak_concentration"":0.828943528178341,""prominence"":1.0,""period_correlation"":0.9784774957881088,""split_period_correlation"":0.9721226926361344,""periodic_support"":0.9768887950001152,""harmonic2_relative_power"":5.592860099208998e-06,""harmonic3_relative_power"":1.1335768334455689e-07,""harmonic_support"":0.002482763067435994,""motion_profile"":0.006993948562110636,""motion_strength"":0.9943182112643791,""motion_reliability"":1.0,""motion_overlap"":0.006993948562110636,""motion_available"":true,""evidence_score"":1.0683180018649245,""supported_bpm"":[44.0,45.0,46.0,47.0,48.0,49.0,50.0],""supported_relative_power"":[0.8844190586231142,0.9453677201338629,0.9847249653168002,1.0,0.990232327892755,0.95607878536608,0.8997481241405131]}]",False,tracked,True,47.0,16,15.999984,21.999978,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
19.99998,1.0,0.0,46.0,0.8238839615297476,True,candidate_only,46.0,52.0,46.0,1.0587255761211243,,1.0,46.0,0.9638000744851092,0.007994156951473697,1,"[{""bpm"":46.0,""relative_power"":1.0,""peak_concentration"":0.8238839615297476,""prominence"":1.0,""period_correlation"":0.9668925304974969,""split_period_correlation"":0.9545227064479462,""periodic_support"":0.9638000744851092,""harmonic2_relative_power"":6.729277076227289e-05,""harmonic3_relative_power"":9.159763046730545e-07,""harmonic_support"":0.008538190376846312,""motion_profile"":0.007994156951473697,""motion_strength"":0.9943921335671394,""motion_reliability"":1.0,""motion_overlap"":0.007994156951473697,""motion_available"":true,""evidence_score"":1.0587255761211243,""supported_bpm"":[43.0,44.0,45.0,46.0,47.0,48.0,49.0],""supported_relative_power"":[0.902005291964049,0.9580554927691405,0.9910448554916137,1.0,0.9843682466581678,0.9451603295644899,0.8848557227948833]}]",False,tracked,True,46.0,17,16.999983,22.999976999999998,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
20.999979,1.0,0.0,45.0,0.8044479092753763,True,candidate_only,45.0,55.0,45.0,1.0195095519672888,,1.0,45.0,0.8872444826632966,0.004676434472107541,1,"[{""bpm"":45.0,""relative_power"":1.0,""peak_concentration"":0.8044479092753763,""prominence"":1.0,""period_correlation"":0.9010895755240009,""split_period_correlation"":0.8457092040811833,""periodic_support"":0.8872444826632966,""harmonic2_relative_power"":0.0023131512323489776,""harmonic3_relative_power"":1.360415247748561e-05,""harmonic_support"":0.049386164127797005,""motion_profile"":0.004676434472107541,""motion_strength"":0.994492584758515,""motion_reliability"":1.0,""motion_overlap"":0.004676434472107541,""motion_available"":true,""evidence_score"":1.0195095519672888,""supported_bpm"":[42.0,43.0,44.0,45.0,46.0,47.0,48.0],""supported_relative_power"":[0.9053364688333138,0.9595119982478953,0.9919653356931053,1.0,0.9842798875506635,0.9456814303998945,0.8864757257471716]}]",False,tracked,True,45.0,18,17.999982,23.999976,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
21.999978,1.0,0.0,44.0,0.6625765899482585,True,candidate_only,45.0,61.0,44.0,1.0415752004946441,,0.9998349465060833,44.0,0.787019222282835,0.001772900290155619,1,"[{""bpm"":44.0,""relative_power"":1.0,""peak_concentration"":0.6625765899482585,""prominence"":1.0,""period_correlation"":0.8047491380933591,""split_period_correlation"":0.7338294748512627,""periodic_support"":0.787019222282835,""harmonic2_relative_power"":0.040608620676623526,""harmonic3_relative_power"":1.972308588618444e-05,""harmonic_support"":0.20307018134621987,""motion_profile"":0.001772900290155619,""motion_strength"":0.9946372328901204,""motion_reliability"":0.8944444444444445,""motion_overlap"":0.001772900290155619,""motion_available"":true,""evidence_score"":1.066575200494644,""supported_bpm"":[42.0,43.0,44.0,45.0,46.0,47.0],""supported_relative_power"":[0.9354076971193352,0.9779562175447938,1.0,0.9998349465060833,0.9786707045090282,0.9377215127865142]}]",False,tracked,True,44.0,19,18.999981,24.999975,short6_relaxed,6.0,saved_short_window_v26_harmonic_candidate_offline,True,True,original_hr_gates_with_relaxed_fusion
