time_s,base
0.0,
0.0055555,
0.011111,
0.0166665,
0.022222,
0.0277775,
0.033333,
0.0388885,
0.044444,
0.0499995,
0.055555,
0.0611105,
0.066666,
0.0722215,
0.077777,
0.0833325,
0.088888,
0.0944435,
0.099999,
0.1055545,
0.11111,
0.1166655,
0.122221,
0.1277765,
0.133332,
0.1388875,
0.144443,
0.1499985,
0.155554,
0.1611095,
0.166665,
0.1722205,
0.177776,
0.1833315,
0.188887,
0.1944425,
0.199998,
0.2055535,
0.211109,
0.2166645,
0.22222,
0.2277755,
0.233331,
0.2388865,
0.244442,
0.2499974999999999,
0.255553,
0.2611085,
0.266664,
0.2722195,
0.277775,
0.2833305,
0.288886,
0.2944415,
0.299997,
0.3055525,
0.311108,
0.3166635,
0.322219,
0.3277744999999999,
0.33333,
0.3388855,
0.344441,
0.3499965,
0.355552,
0.3611074999999999,
0.366663,
0.3722185,
0.377774,
0.3833295,
0.388885,
0.3944404999999999,
0.399996,
0.4055515,
0.411107,
0.4166625,
0.422218,
0.4277735,
0.433329,
0.4388845,
0.44444,
0.4499955,
0.455551,
0.4611065,
0.466662,
0.4722175,
0.477773,
0.4833285,
0.488884,
0.4944395,
0.4999949999999999,
0.5055505,
0.511106,
0.5166615,
0.522217,
0.5277725,
0.533328,
0.5388835,
0.544439,
0.5499944999999999,
0.55555,
0.5611055,
0.566661,
0.5722165,
0.577772,
0.5833275,
0.588883,
0.5944385,
0.599994,
0.6055495,
0.611105,
0.6166605,
0.622216,
0.6277715,
0.633327,
0.6388825,
0.644438,
0.6499935,
0.6555489999999999,
0.6611045,
0.66666,
0.6722155,
0.677771,
0.6833265,
0.688882,
0.6944375,
0.699993,
0.7055485,
0.711104,
0.7166595,
0.7222149999999999,
0.7277705,
0.733326,
0.7388815,
0.744437,
0.7499925,
0.755548,
0.7611035,
0.766659,
0.7722145,
0.77777,
0.7833255,
0.7888809999999999,
0.7944365,
0.799992,
0.8055475,
0.811103,
0.8166585,
0.822214,
0.8277694999999999,
0.833325,
0.8388805,
0.844436,
0.8499915,
0.855547,
0.8611025,
0.866658,
0.8722135,
0.877769,
0.8833245,
0.88888,
0.8944354999999999,
0.899991,
0.9055465,
0.911102,
0.9166575,
0.922213,
0.9277685,
0.933324,
0.9388795,
0.944435,
0.9499905,
0.955546,
0.9611015,
0.966657,
0.9722125,
0.977768,
0.9833235,
0.988879,
0.9944345,
0.99999,
1.0055455,
1.011101,
1.0166565,
1.022212,
1.0277675,
1.033323,
1.0388785,
1.044434,
1.0499895,
1.055545,
1.0611005,
1.066656,
1.0722115,
1.077767,
1.0833225,
1.088878,
1.0944335,
1.099989,
1.1055445,
1.1111,
1.1166555,
1.122211,
1.1277665,
1.133322,
1.1388775,
1.144433,
1.1499885,
1.155544,
1.1610995,
1.166655,
1.1722105,
1.177766,
1.1833215,
1.188877,
1.1944325,
1.199988,
1.2055435,
1.211099,
1.2166545,
1.22221,
1.2277655,
1.233321,
1.2388765,
1.244432,
1.2499875,
1.255543,
1.2610985,
1.266654,
1.2722095,
1.277765,
1.2833205,
1.288876,
1.2944315,
1.299987,
1.3055425,
1.311098,
1.3166535,
1.322209,
1.3277645,
1.33332,
1.3388755,
1.344431,
1.3499865,
1.355542,
1.3610975,
1.366653,
1.3722085,
1.377764,
1.3833195,
1.388875,
1.3944305,
1.399986,
1.4055415,
1.411097,
1.4166525,
1.422208,
1.4277635,
1.433319,
1.4388745,
1.44443,
1.4499855,
1.455541,
1.4610965,
1.466652,
1.4722075,
1.477763,
1.4833185,
1.488874,
1.4944295,
1.499985,
1.5055405,
1.511096,
1.5166515,
1.522207,
1.5277625,
1.533318,
1.5388735,
1.544429,
1.5499845,
1.55554,
1.5610955,
1.566651,
1.5722065,
1.577762,
1.5833175,
1.588873,
1.5944285,
1.599984,
1.6055395,
1.611095,
1.6166505,
1.622206,
1.6277615,
1.633317,
1.6388725,
1.644428,
1.6499835,
1.655539,
1.6610945,
1.66665,
1.6722055,
1.677761,
1.6833165,
1.688872,
1.6944275,
1.699983,
1.7055385,
1.711094,
1.7166495,
1.722205,
1.7277605,
1.733316,
1.7388715,
1.744427,
1.7499825,
1.755538,
1.7610935,
1.766649,
1.7722045,
1.77776,
1.7833155,
1.788871,
1.7944265,
1.799982,
1.8055375,
1.811093,
1.8166485,
1.822204,
1.8277595,
1.833315,
1.8388705,
1.844426,
1.8499815,
1.855537,
1.8610925,
1.866648,
1.8722035,
1.877759,
1.8833145,
1.88887,
1.8944255,
1.899981,
1.9055365,
1.911092,
1.9166475,
1.922203,
1.9277585,
1.933314,
1.9388695,
1.944425,
1.9499805,
1.955536,
1.9610915,
1.966647,
1.9722025,
1.977758,
1.9833135,
1.988869,
1.9944245,
1.99998,0.3267569118891578
2.0055355,0.3621502987120165
2.011091,0.40078466454287115
2.0166465,0.4424595769286357
2.022202,0.48691042470404616
2.0277575,0.5338097532465845
2.033313,0.5827698831894755
2.0388685,0.6333467976986802
2.044424,0.6850452076453517
2.0499795,0.7373247730615053
2.055535,0.789607498941977
2.0610905,0.8412862834187597
2.066646,0.8917344493234778
2.0722015,0.9403158371392517
2.077757,0.9863948973618126
2.0833125,1.029346488693617
2.088868,1.0685656168638962
2.0944235,1.1034775132802728
2.099979,1.1335480074871238
2.1055345,1.1582935535127465
2.11109,1.1772900306953533
2.1166455,1.1901796667580673
2.122201,1.196675952358696
2.1277565,1.196566915515958
2.133312,1.1897172940105722
2.1388675,1.1760699614928336
2.144423,1.1556466899026103
2.1499785,1.1285481203937422
2.155534,1.0949526047576699
2.1610895,1.055113391348492
2.166645,1.0093537224469935
2.1722005,0.9580599889837375
2.177756,0.9016737453148951
2.1833115,0.8406833758480518
2.188867,0.7756155787683148
2.1944225,0.7070264323936819
2.199978,0.6354920352612025
2.2055335,0.5615990778390065
2.211089,0.48593569313493046
2.2166445,0.4090827388768464
2.2222,0.3316057249579402
2.2277555,0.25404775091851933
2.233311,0.17692366295103454
2.2388665,0.10071540212731683
2.244422,0.025868594090016444
2.2499775,-0.047209431313372886
2.255533,-0.11815027298955455
2.2610885,-0.18662422481907545
2.266644,-0.2523395618524002
2.2721995,-0.31504136847378045
2.277755,-0.37450994659006676
2.2833105,-0.43055914833620296
2.288866,-0.4830350108451727
2.2944215,-0.5318147752529637
2.299977,-0.5768061700827245
2.3055325,-0.6179468306057435
2.311088,-0.6552036784660936
2.3166435,-0.6885720766587244
2.322199,-0.7180747707337057
2.3277545,-0.7437607680093439
2.33331,-0.7657042136999839
2.3388655,-0.784003285907103
2.344421,-0.7987791825147316
2.3499765,-0.8101750822088243
2.355532,-0.818354725486488
2.3610875,-0.8235003974316172
2.366643,-0.8258103574141523
2.3721985,-0.8254957682848713
2.377754,-0.8227771011890309
2.3833095,-0.8178801264398016
2.388865,-0.8110318295140535
2.3944205,-0.8024566381828369
2.399976,-0.7923732093058595
2.4055315,-0.7809918328719347
2.411087,-0.7685123180557707
2.4166425,-0.7551221697066725
2.422198,-0.7409949735998006
2.4277535,-0.726288870965974
2.433309,-0.7111448742407719
2.4388645,-0.6956850304892931
2.44442,-0.6800107895431999
2.4499755,-0.6642017501711657
2.455531,-0.648314655041525
