frame,time_s,source,motion_x,motion_y,face_x0,face_y0,face_x1,face_y1,face_detected,flow_available,bridge_age_frames,is_bridge,valid_patch_count,anchor_initialized
0,0.0,missing,nan,nan,nan,nan,nan,nan,False,False,1,False,0,False
1,0.033333299999999996,missing,nan,nan,nan,nan,nan,nan,False,False,2,False,0,False
2,0.06666659999999999,missing,nan,nan,nan,nan,nan,nan,False,False,3,False,0,False
3,0.09999989999999999,missing,nan,nan,nan,nan,nan,nan,False,False,4,False,0,False
4,0.13333319999999999,missing,nan,nan,nan,nan,nan,nan,False,False,5,False,0,False
5,0.1666665,missing,nan,nan,nan,nan,nan,nan,False,False,6,False,0,False
6,0.19999979999999998,missing,nan,nan,nan,nan,nan,nan,False,False,7,False,0,False
7,0.2333331,missing,nan,nan,nan,nan,nan,nan,False,False,8,False,0,False
8,0.26666639999999997,missing,nan,nan,nan,nan,nan,nan,False,False,9,False,0,False
9,0.2999997,missing,nan,nan,nan,nan,nan,nan,False,False,10,False,0,False
10,0.333333,missing,nan,nan,nan,nan,nan,nan,False,False,11,False,0,False
11,0.3666663,missing,nan,nan,nan,nan,nan,nan,False,False,12,False,0,False
12,0.39999959999999996,missing,nan,nan,nan,nan,nan,nan,False,False,13,False,0,False
13,0.43333289999999997,missing,nan,nan,nan,nan,nan,nan,False,False,14,False,0,False
14,0.4666662,missing,nan,nan,nan,nan,nan,nan,False,False,15,False,0,False
15,0.4999995,missing,nan,nan,nan,nan,nan,nan,False,False,16,False,0,False
16,0.5333327999999999,missing,nan,nan,nan,nan,nan,nan,False,False,17,False,0,False
17,0.5666661,missing,nan,nan,nan,nan,nan,nan,False,False,18,False,0,False
18,0.5999994,missing,nan,nan,nan,nan,nan,nan,False,False,19,False,0,False
19,0.6333327,missing,nan,nan,nan,nan,nan,nan,False,False,20,False,0,False
20,0.666666,missing,nan,nan,nan,nan,nan,nan,False,False,21,False,0,False
21,0.6999993,missing,nan,nan,nan,nan,nan,nan,False,False,22,False,0,False
22,0.7333326,missing,nan,nan,nan,nan,nan,nan,False,False,23,False,0,False
23,0.7666659,missing,nan,nan,nan,nan,nan,nan,False,False,24,False,0,False
24,0.7999991999999999,missing,nan,nan,nan,nan,nan,nan,False,False,25,False,0,False
25,0.8333324999999999,missing,nan,nan,nan,nan,nan,nan,False,False,26,False,0,False
26,0.8666657999999999,missing,nan,nan,nan,nan,nan,nan,False,False,27,False,0,False
27,0.8999990999999999,missing,nan,nan,nan,nan,nan,nan,False,False,28,False,0,False
28,0.9333324,mesh,nan,nan,0.47116036117076876,0.48809615552425384,0.5594353616237641,0.6573824334144591,True,False,0,False,12,True
29,0.9666657,mesh,nan,nan,0.47030435740947724,0.46369825541973114,0.5566282784938813,0.6351089668273925,True,False,0,False,12,True
30,0.999999,mesh,-0.00041612695764612267,-0.022732909520467123,0.4696241241693497,0.43988352715969087,0.5552995574474335,0.6124870443344116,True,True,0,False,12,True
31,1.0333322999999999,mesh,-0.0014567286879928023,-0.01774661209848192,0.4691806876659393,0.42310260057449345,0.5516355764865876,0.5967943465709686,True,True,0,False,12,True
32,1.0666655999999999,mesh,-0.0025450688821298103,-0.012959348051636307,0.46779981911182406,0.41289501965045927,0.5487695300579071,0.5847960829734802,True,True,0,False,12,True
