time_s,base,nlms,interpolated,observed
0.0,,,False,True
0.03417155473671398,,,False,True
0.06834310947342796,,,False,True
0.10251466421014194,,,False,True
0.13668621894685593,,,False,True
0.17085777368356989,,,False,True
0.20502932842028387,,,False,True
0.23920088315699783,,,False,True
0.27337243789371185,,,False,True
0.3075439926304258,,,False,True
0.34171554736713977,,,False,True
0.37588710210385373,,,False,True
0.41005865684056775,,,False,True
0.4442302115772817,,,False,True
0.47840176631399567,,,False,True
0.5125733210507096,,,False,True
0.5467448757874237,,,False,True
0.5809164305241377,,,False,True
0.6150879852608516,,,False,True
0.6492595399975656,,,False,True
0.6834310947342795,,,False,True
0.7176026494709935,,,False,True
0.7517742042077075,,,False,True
0.7859457589444215,,,False,True
0.8201173136811355,,,False,True
0.8542888684178495,,,False,True
0.8884604231545634,,,False,True
0.9226319778912774,,,False,True
0.9568035326279913,,,False,True
0.9909750873647054,,,False,True
1.0251466421014193,,,False,True
1.0593181968381333,,,False,True
1.0934897515748474,,,False,True
1.1276613063115613,,,False,True
1.1618328610482753,,,False,True
1.1960044157849892,,,False,True
1.2301759705217032,,,False,True
1.264347525258417,,,False,True
1.2985190799951312,,,False,True
1.3326906347318452,,,False,True
1.366862189468559,,,False,True
1.4010337442052732,,,False,True
1.435205298941987,,,False,True
1.469376853678701,,,False,True
1.503548408415415,,,False,True
1.537719963152129,,,False,True
1.571891517888843,,,False,True
1.606063072625557,-1.0881010985775668,-0.20342140112355833,False,True
1.640234627362271,-0.5346847880470085,0.5747925454046974,False,True
1.6744061820989848,-0.13153156452972078,0.9539382128545459,False,True
1.708577736835699,-0.15742335022456222,0.6994441844218695,False,True
1.7427492915724128,-0.6499012272471056,-0.10990656303813684,False,True
1.7769208463091268,-1.3713874255033442,-1.1127568153872454,False,True
1.811092401045841,-1.9402398458130459,-1.8664945453936506,False,True
1.8452639557825548,-2.0341865202056133,-2.066460266659366,False,True
1.8794355105192688,-1.5430822843460588,-1.6629540081219643,False,True
1.9136070652559827,-0.6031879285836858,-0.862920170447092,False,True
1.9477786199926967,0.4781751746663439,-0.024229973237813562,False,True
1.9819501747294108,1.3591784687719415,0.527833247637503,False,True
2.016121729466125,1.8055497639492584,0.6509616703261887,False,True
2.0502932842028385,1.7792975037658656,0.43527969773556463,False,True
2.0844648389395526,1.4303650897844176,0.13328227642259383,False,True
2.1186363936762667,0.9968949536894823,0.0038943298388953718,False,True
2.1528079484129807,0.6735911582663869,0.1709806532154472,False,True
2.186979503149695,0.526708461484609,0.5771678574627375,False,True
2.2211510578864084,0.4994762980432241,1.0451960624826269,False,True
2.2553226126231225,0.4842156777023912,1.3960566578624962,False,True
2.2894941673598366,0.39910342053554254,1.534156149834525,False,True
2.3236657220965506,0.2260976430571641,1.4558170764487137,False,True
2.3578372768332643,0.004428439944758151,1.213075516493607,False,True
2.3920088315699783,-0.20262316787498186,0.8842720845902201,False,True
2.4261803863066924,-0.3425937391295225,0.5456459327051503,False,True
2.4603519410434065,-0.39115201841936936,0.24205752445153755,False,True
2.4945234957801206,-0.349475032860607,-0.01252933701828407,False,True
2.528695050516834,-0.2356150624801001,-0.21403697987971324,False,True
2.5628666052535483,-0.08410116420126783,-0.35900457623447335,False,True
2.5970381599902623,0.05097503755430285,-0.4579639171928925,False,True
2.6312097147269764,0.10967270509551655,-0.5442775047824117,False,True
2.6653812694636905,0.06213247819018444,-0.6478619388941935,False,True
2.699552824200404,-0.06049963945948715,-0.7523836998039266,False,True
2.733724378937118,-0.17560105120464414,-0.7879729928340928,False,True
2.7678959336738322,-0.20244716221267217,-0.6859643716138331,False,True
2.8020674884105463,-0.12208869006468709,-0.4514404519438919,False,True
2.8362390431472604,0.002451934422500243,-0.18216657147347942,False,True
2.870410597883974,0.06176177952151819,-0.017250637797580903,False,True
2.904582152620688,-0.03557463325364888,-0.05631769869979653,False,True
2.938753707357402,-0.3118811829910184,-0.3038378815537225,False,True
2.9729252620941162,-0.7007973560189616,-0.6604926109566636,False,True
3.00709681683083,-1.0591695416821865,-0.9545576094114125,False,True
3.041268371567544,-1.2145218653685679,-1.00688168684247,False,True
3.075439926304258,-1.0397553609365753,-0.7190047069535521,False,True
3.109611481040972,-0.5197610915113373,-0.136669036418001,False,True
3.143783035777686,0.22739832371313273,0.5612647589569287,False,True
3.1779545905143998,0.9860714088973087,1.1362529815638465,False,True
3.212126145251114,1.5193244275061055,1.3970887842925601,False,True
3.246297699987828,1.6596921542169105,1.2847997510154188,False,True
3.280469254724542,1.382074315595904,0.890689688052446,False,True
3.314640809461256,0.8145588262683959,0.40312275006301473,False,True
3.3488123641979697,0.16424460470312846,0.00501890330738991,False,True
3.3829839189346838,-0.3965915599082883,-0.2227709808968912,False,True
3.417155473671398,-0.797835769480199,-0.3285643631545597,False,True
3.451327028408112,-1.0530148001100461,-0.4236078763799729,False,True
3.4854985831448255,-1.1968987223313832,-0.58246242552542,False,True
3.5196701378815396,-1.2415142533186834,-0.790146136363989,False,True
3.5538416926182537,-1.170682788764202,-0.9580680147189741,False,True
3.5880132473549677,-0.9578175824836955,-0.9868793449968153,False,True
3.622184802091682,-0.5847477796695932,-0.815397959059181,False,True
3.6563563568283954,-0.05309804909737701,-0.4312266891540331,False,True
3.6905279115651095,0.5988444900372639,0.12274766878747445,False,True
3.7246994663018236,1.2733817897096964,0.7326584014366644,False,True
3.7588710210385377,1.818869241671934,1.228883168863254,False,True
3.7930425757752517,2.087205738432247,1.4569448607674216,False,True
3.8272141305119654,2.0134172400588892,1.3632784541648009,False,True
3.8613856852486794,1.6552715996984173,1.033935347394294,False,True
3.8955572399853935,1.158209071095676,0.6416901386790662,False,True
3.9297287947221076,0.6715892084788168,0.3343964505820842,False,True
3.9639003494588216,0.27496556249760457,0.15495273992283046,False,True
3.9980719041955353,-0.047313571082279654,0.03948598383390502,False,True
4.03224345893225,-0.3817189814076226,-0.1261455473623363,False,True
4.066415013668963,-0.8254606060188777,-0.4313984331959338,False,True
4.100586568405677,-1.410956832079842,-0.8793875940820741,False,True
4.134758123142391,-2.053144586976456,-1.3670288609336385,False,True
4.168929677879105,-2.562479654813363,-1.7230362108462218,False,True
4.203101232615819,-2.7263128715362126,-1.7815118874785587,False,True
4.237272787352533,-2.409728426470854,-1.4528926787704703,False,True
4.271444342089247,-1.6194204013655333,-0.7782935029410589,False,True
4.3056158968259615,-0.5058721865752869,0.08898006232901867,False,True
4.3397874515626755,0.6894809298969892,0.9622025103424866,False,True
4.37395900629939,1.7177481159041303,1.679121481742536,False,True
4.408130561036103,2.400942217733971,2.1096659657758114,False,True
4.442302115772817,2.6668773642940544,2.1672524790774346,False,True
4.476473670509531,2.526973888346943,1.8460376793431341,False,True
4.510645225246245,2.030206411411304,1.2026707844918851,False,True
4.544816779982959,1.247156618525506,0.33908665930776194,False,True
4.578988334719673,0.29621375769937,-0.5808757692129519,False,True
4.613159889456387,-0.6406518275763455,-1.3356913296730333,False,True
4.647331444193101,-1.363669246191671,-1.7253188267637733,False,True
4.681502998929815,-1.7373657509397078,-1.678370405682067,False,True
4.7156745536665285,-1.7394175194921373,-1.2771796325288498,False,True
4.749846108403243,-1.4512358237587746,-0.69009981627575,False,True
4.784017663139957,-1.0168547715151304,-0.09119766159526499,False,True
4.818189217876671,-0.5910434284305045,0.37986295746808496,False,True
4.852360772613385,-0.2823282476503488,0.6322867851430914,False,True
4.886532327350099,-0.10932276964688961,0.6463168866061598,False,True
4.920703882086813,0.0028552946725288837,0.48202607713458306,False,True
4.954875436823527,0.17424312337359862,0.25222550223287177,False,True
4.989046991560241,0.48377327801249964,0.06657312825657757,False,True
5.023218546296955,0.8928638770941733,-0.02504527497842446,False,True
5.057390101033668,1.245452689767209,-0.044706149895123115,False,True
5.091561655770382,1.3637701902601926,-0.04043421823496418,False,True
5.1257332105070965,1.167917175637886,-0.03025973241373947,False,True
5.159904765243811,0.722296328681084,0.00415426644933603,False,True
5.194076319980525,0.18594039720422673,0.07639363621232931,False,True
