window_index,time_s,window_start_s,window_end_s,ridge_bpm,accepted,status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,V28_matching_10s_window_index,V28_10s_accepted_at_same_center,shared_center_both_output,shared_center_new_output,native_only_plan_output
0,2.999997,0.0,5.999994,,False,gap_or_filter_edge,90.83333333333333,True,ok,6,1.0211648000000002,,,-1,False,False,False,False
1,3.999996,0.999999,6.999993,,False,gap_or_filter_edge,90.66666666666667,True,ok,6,1.0211648000000002,,,-1,False,False,False,False
2,4.999995,1.999998,7.999992,184.0,True,candidate_only,90.33333333333333,True,ok,6,1.0200150000000003,93.66666666666667,93.66666666666667,0,False,False,True,False
3,5.999994,2.999997,8.999991,183.0,True,candidate_only,89.66666666666667,True,ok,6,1.0201865999999997,93.33333333333333,93.33333333333333,1,False,False,True,False
4,6.999993,3.999996,9.99999,182.0,True,candidate_only,89.0,True,ok,6,1.0201865999999997,93.0,93.0,2,True,True,False,False
5,7.999992,4.999995,10.999989,181.0,True,candidate_only,88.16666666666667,True,ok,6,1.0201865999999997,92.83333333333333,92.83333333333333,3,True,True,False,False
6,8.999991,5.999994,11.999988,181.0,True,candidate_only,87.33333333333333,True,ok,6,1.049013500000001,93.66666666666667,93.66666666666667,4,True,True,False,False
7,9.99999,6.999993,12.999987,90.0,True,candidate_only,86.5,True,ok,6,1.049013500000001,3.5,3.5,5,True,True,False,False
8,10.999989,7.999992,13.999986,91.0,True,candidate_only,85.83333333333333,True,ok,6,1.049013500000001,5.166666666666671,5.166666666666671,6,True,True,False,False
9,11.999988,8.999991,14.999985,91.0,True,candidate_only,85.5,True,ok,6,1.049013500000001,5.5,5.5,7,True,True,False,False
10,12.999987,9.99999,15.999984,90.0,True,candidate_only,85.33333333333333,True,ok,6,1.049013500000001,4.666666666666671,4.666666666666671,8,True,True,False,False
11,13.999986,10.999989,16.999983,90.0,True,candidate_only,85.5,True,ok,6,1.0207287000000012,4.5,4.5,9,True,True,False,False
12,14.999985,11.999988,17.999982,93.0,True,candidate_only,86.16666666666667,True,ok,6,1.0207287000000012,6.833333333333329,6.833333333333329,10,True,True,False,False
13,15.999984,12.999987,18.999981,96.0,True,candidate_only,87.0,True,ok,6,1.0202038000000009,9.0,9.0,11,True,True,False,False
14,16.999983,13.999986,19.99998,97.0,True,candidate_only,88.0,True,ok,6,1.0202038000000009,9.0,9.0,12,True,True,False,False
15,17.999982,14.999985,20.999979,98.0,True,candidate_only,89.16666666666667,True,ok,6,1.021127700000001,8.833333333333329,8.833333333333329,13,True,True,False,False
16,18.999981,15.999984,21.999978,98.0,True,candidate_only,90.33333333333333,True,ok,6,1.021127700000001,7.666666666666671,7.666666666666671,14,True,True,False,False
17,19.99998,16.999983,22.999977,97.0,True,candidate_only,91.5,True,ok,6,1.021127700000001,5.5,5.5,15,True,True,False,False
18,20.999979,17.999982,23.999976,95.0,True,candidate_only,92.5,True,ok,6,1.021127700000001,2.5,2.5,16,True,True,False,False
19,21.999978,18.999981,24.999975,97.0,True,candidate_only,93.5,True,ok,6,1.021127700000001,3.5,3.5,17,True,True,False,False
20,22.999977,19.99998,25.999974,99.0,True,candidate_only,94.66666666666667,True,ok,6,1.0210603999999996,4.333333333333329,4.333333333333329,18,True,True,False,False
21,23.999976,20.999979,26.999973,101.0,True,candidate_only,95.83333333333333,True,ok,6,1.0210603999999996,5.166666666666671,5.166666666666671,19,True,True,False,False
22,24.999975,21.999978,27.999972,101.0,True,candidate_only,96.83333333333333,True,ok,6,1.079999400000002,4.166666666666671,4.166666666666671,20,True,True,False,False
23,25.999974,22.999977,28.999971,101.0,True,candidate_only,97.66666666666667,True,ok,6,1.079999400000002,3.3333333333333286,3.3333333333333286,21,True,True,False,False
24,26.999973,23.999976,29.99997,85.0,True,candidate_only,98.33333333333333,True,ok,6,1.079999400000002,-13.333333333333329,13.333333333333329,22,True,True,False,False
25,27.999972,24.999975,30.999969,87.0,True,candidate_only,98.83333333333333,True,ok,6,1.079999400000002,-11.833333333333329,11.833333333333329,23,True,True,False,False
26,28.999971,25.999974,31.999968,101.0,True,candidate_only,99.0,True,ok,6,1.079999400000002,2.0,2.0,24,True,True,False,False
27,29.99997,26.999973,32.999967,103.0,True,candidate_only,99.0,True,ok,6,1.020752200000004,4.0,4.0,25,True,True,False,False
28,30.999969,27.999972,33.999966,104.0,True,candidate_only,99.0,True,ok,6,1.020752200000004,5.0,5.0,26,True,True,False,False
29,31.999968,28.999971,34.999965,105.0,True,candidate_only,99.16666666666667,True,ok,6,1.020752200000004,5.833333333333329,5.833333333333329,27,True,True,False,False
30,32.999967,29.99997,35.999964,105.0,True,candidate_only,99.33333333333333,True,ok,6,1.020752200000004,5.666666666666671,5.666666666666671,28,True,True,False,False
31,33.999966,30.999969,36.999963,105.0,True,candidate_only,99.66666666666667,True,ok,6,1.020752200000004,5.333333333333329,5.333333333333329,29,True,True,False,False
32,34.999965,31.999968,37.999962,105.0,True,candidate_only,100.0,True,ok,6,1.0184409999999957,5.0,5.0,30,True,True,False,False
33,35.999964,32.999967,38.999961,105.0,True,candidate_only,100.5,True,ok,6,1.0204208999999977,4.5,4.5,31,True,True,False,False
34,36.999963,33.999966,39.99996,105.0,True,candidate_only,101.0,True,ok,6,1.0204208999999977,4.0,4.0,32,True,True,False,False
35,37.999962,34.999965,40.999959,105.0,True,candidate_only,101.5,True,ok,6,1.0211814999999973,3.5,3.5,33,True,True,False,False
36,38.999961,35.999964,41.999958,105.0,True,candidate_only,102.0,True,ok,6,1.0211814999999973,3.0,3.0,34,True,True,False,False
37,39.99996,36.999963,42.999957,105.0,True,candidate_only,102.5,True,ok,6,1.0211814999999973,2.5,2.5,35,True,True,False,False
38,40.999959,37.999962,43.999956,105.0,True,candidate_only,103.0,True,ok,6,1.0211814999999973,2.0,2.0,36,True,True,False,False
39,41.999958,38.999961,44.999955,105.0,True,candidate_only,103.33333333333333,True,ok,6,1.0494968,1.6666666666666714,1.6666666666666714,37,True,True,False,False
40,42.999957,39.99996,45.999954,105.0,True,candidate_only,103.66666666666667,True,ok,6,1.0494968,1.3333333333333286,1.3333333333333286,38,True,True,False,False
41,43.999956,40.999959,46.999953,104.0,True,candidate_only,104.0,True,ok,6,1.0494968,0.0,0.0,39,True,True,False,False
42,44.999955,41.999958,47.999952,102.0,True,candidate_only,104.33333333333333,True,ok,6,1.0494968,-2.3333333333333286,2.3333333333333286,40,True,True,False,False
43,45.999954,42.999957,48.999951,100.0,True,candidate_only,104.5,True,ok,6,1.0494968,-4.5,4.5,41,True,True,False,False
44,46.999953,43.999956,49.99995,98.0,True,candidate_only,104.66666666666667,True,ok,6,1.0199376999999998,-6.666666666666671,6.666666666666671,42,True,True,False,False
45,47.999952,44.999955,50.999949,97.0,True,candidate_only,104.83333333333333,True,ok,6,1.0208439999999968,-7.833333333333329,7.833333333333329,43,True,True,False,False
46,48.999951,45.999954,51.999948,96.0,True,candidate_only,105.16666666666667,True,ok,6,1.0208439999999968,-9.166666666666671,9.166666666666671,44,True,True,False,False
47,49.99995,46.999953,52.999947,64.0,True,candidate_only,105.33333333333333,True,ok,6,1.0208439999999968,-41.33333333333333,41.33333333333333,45,True,True,False,False
48,50.999949,47.999952,53.999946,63.0,True,candidate_only,105.5,True,ok,6,1.0208439999999968,-42.5,42.5,46,True,True,False,False
49,51.999948,48.999951,54.999945,62.0,True,candidate_only,105.83333333333333,True,ok,6,1.0208439999999968,-43.83333333333333,43.83333333333333,47,True,True,False,False
50,52.999947,49.99995,55.999944,62.0,True,candidate_only,106.16666666666667,True,ok,6,1.0199198000000038,-44.16666666666667,44.16666666666667,48,True,True,False,False
51,53.999946,50.999949,56.999943,62.0,True,candidate_only,106.5,True,ok,6,1.0199198000000038,-44.5,44.5,49,True,True,False,False
52,54.999945,51.999948,57.999942,61.0,True,candidate_only,106.83333333333333,True,ok,6,1.0204757999999998,-45.83333333333333,45.83333333333333,50,True,True,False,False
53,55.999944,52.999947,58.999941,60.0,True,candidate_only,107.16666666666667,True,ok,6,1.0204757999999998,-47.16666666666667,47.16666666666667,51,False,False,True,False
54,56.999943,53.999946,59.99994,59.0,True,candidate_only,107.5,True,ok,6,1.0497956999999971,-48.5,48.5,52,False,False,True,False
55,57.999942,54.999945,60.999939,,False,gap_or_filter_edge,107.83333333333333,True,ok,6,1.0497956999999971,,,-1,False,False,False,False
56,58.999941,55.999944,61.999938,,False,gap_or_filter_edge,108.16666666666667,True,ok,6,1.0497956999999971,,,-1,False,False,False,False
