window_index,time_s,window_start_s,window_end_s,ridge_bpm,accepted,status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,V28_bpm,V28_accepted,common_output,new_output,lost_output
0,4.999995,0.0,9.99999,,False,gap_or_filter_edge,89.8,True,ok,10,1.0211648000000002,,,,False,False,False,False
1,5.999994,0.999999,10.999989,,False,gap_or_filter_edge,89.3,True,ok,10,1.0211648000000002,,,,False,False,False,False
2,6.999993,1.999998,11.999988,85.0,True,candidate_only,88.7,True,ok,10,1.049013500000001,-3.700000000000003,3.700000000000003,182.0,True,True,False,False
3,7.999992,2.999997,12.999987,86.0,True,candidate_only,88.1,True,ok,10,1.049013500000001,-2.0999999999999943,2.0999999999999943,182.0,True,True,False,False
4,8.999991,3.999996,13.999986,87.0,True,candidate_only,87.5,True,ok,10,1.049013500000001,-0.5,0.5,182.0,True,True,False,False
5,9.99999,4.999995,14.999985,88.0,True,candidate_only,86.9,True,ok,10,1.049013500000001,1.0999999999999943,1.0999999999999943,182.0,True,True,False,False
6,10.999989,5.999994,15.999984,89.0,True,candidate_only,86.5,True,ok,10,1.049013500000001,2.5,2.5,182.0,True,True,False,False
7,11.999988,6.999993,16.999983,90.0,True,candidate_only,86.2,True,ok,10,1.049013500000001,3.799999999999997,3.799999999999997,182.0,True,True,False,False
8,12.999987,7.999992,17.999982,91.0,True,candidate_only,86.2,True,ok,10,1.049013500000001,4.799999999999997,4.799999999999997,182.0,True,True,False,False
9,13.999986,8.999991,18.999981,92.0,True,candidate_only,86.5,True,ok,10,1.049013500000001,5.5,5.5,182.0,True,True,False,False
10,14.999985,9.99999,19.99998,94.0,True,candidate_only,86.9,True,ok,10,1.049013500000001,7.099999999999994,7.099999999999994,97.0,True,True,False,False
11,15.999984,10.999989,20.999979,96.0,True,candidate_only,87.5,True,ok,10,1.021127700000001,8.5,8.5,97.0,True,True,False,False
12,16.999983,11.999988,21.999978,97.0,True,candidate_only,88.3,True,ok,10,1.021127700000001,8.700000000000003,8.700000000000003,98.0,True,True,False,False
13,17.999982,12.999987,22.999977,98.0,True,candidate_only,89.2,True,ok,10,1.021127700000001,8.799999999999997,8.799999999999997,98.0,True,True,False,False
14,18.999981,13.999986,23.999976,98.0,True,candidate_only,90.2,True,ok,10,1.021127700000001,7.799999999999997,7.799999999999997,98.0,True,True,False,False
15,19.99998,14.999985,24.999975,98.0,True,candidate_only,91.3,True,ok,10,1.021127700000001,6.700000000000003,6.700000000000003,98.0,True,True,False,False
16,20.999979,15.999984,25.999974,98.0,True,candidate_only,92.5,True,ok,10,1.021127700000001,5.5,5.5,98.0,True,True,False,False
17,21.999978,16.999983,26.999973,98.0,True,candidate_only,93.7,True,ok,10,1.021127700000001,4.299999999999997,4.299999999999997,98.0,True,True,False,False
18,22.999977,17.999982,27.999972,98.0,True,candidate_only,94.7,True,ok,10,1.079999400000002,3.299999999999997,3.299999999999997,99.0,True,True,False,False
19,23.999976,18.999981,28.999971,99.0,True,candidate_only,95.6,True,ok,10,1.079999400000002,3.4000000000000057,3.4000000000000057,100.0,True,True,False,False
20,24.999975,19.99998,29.99997,99.0,True,candidate_only,96.4,True,ok,10,1.079999400000002,2.5999999999999943,2.5999999999999943,101.0,True,True,False,False
21,25.999974,20.999979,30.999969,99.0,True,candidate_only,97.1,True,ok,10,1.079999400000002,1.9000000000000057,1.9000000000000057,102.0,True,True,False,False
22,26.999973,21.999978,31.999968,99.0,True,candidate_only,97.7,True,ok,10,1.079999400000002,1.2999999999999972,1.2999999999999972,102.0,True,True,False,False
