time_s,reference_bpm
-9.1086847,96.0
-8.0885743,97.0
-7.069568,98.0
-6.10981,99.0
-5.0886572,99.0
-4.0087872,99.0
-3.0793193,100.0
-2.1195506,100.0
-1.0698974,101.0
-0.1080416,102.0
0.8817954,103.0
1.9051489,104.0
2.8905823,105.0
3.9108204,106.0
4.9005779,105.0
5.9239772,104.0
6.8807174,103.0
7.9007895,102.0
8.8909632,101.0
9.9171713,101.0
10.9004567,100.0
11.8906583,100.0
12.9108144,100.0
13.8999023,100.0
14.9208314,100.0
15.8802523,100.0
16.9310166,100.0
17.8907927,99.0
18.8806057,100.0
19.9002373,101.0
20.890791,102.0
21.8809742,102.0
22.9005205,103.0
23.8901534,104.0
24.9101895,105.0
25.900149,106.0
26.8902679,108.0
27.879794,109.0
28.9001957,109.0
29.8918059,110.0
30.8800716,110.0
31.9303436,110.0
32.890718,110.0
33.8807026,110.0
34.9298751,110.0
35.889553,110.0
36.9095819,110.0
37.9008889,109.0
38.8898273,108.0
39.9099337,108.0
40.8999461,107.0
41.8899746,107.0
42.8805359,106.0
43.8997163,106.0
44.8899691,106.0
45.8795877,106.0
46.8994603,106.0
47.8898345,105.0
48.880485,104.0
49.9301411,103.0
50.9205293,102.0
51.9118426,100.0
52.8996788,98.0
53.8900239,96.0
54.8810276,95.0
55.9293802,93.0
56.9201517,93.0
57.8804537,94.0
58.930041,94.0
59.8897176,95.0
60.8797981,96.0
61.8999083,98.0
62.8897143,99.0
63.8803371,100.0
64.9599437,99.0
65.9199207,98.0
66.8798894,97.0
67.8997256,96.0
68.8902508,95.0
69.9102902,95.0
70.8998525,95.0
71.8898269,96.0
72.8805522,96.0
73.8991236,97.0
74.9200974,99.0
75.8798861,100.0
76.9333652,102.0
77.8912637,104.0
78.8818698,105.0
