time_s,reference_bpm
-10.93131,82.0
-9.8503211,82.0
-8.9511848,84.0
-7.9312204,85.0
-6.9094812,86.0
-5.8921483,87.0
-4.955932,88.0
-3.906431,88.0
-2.9512937,89.0
-1.9314107,90.0
-0.940962,90.0
0.0495123,91.0
1.0376176,91.0
2.0587824,91.0
3.0485569,91.0
4.0685719,91.0
5.0608773,90.0
6.0487398,90.0
7.0387648,89.0
8.0589514,87.0
9.0478429,87.0
10.0387635,86.0
11.087777,85.0
12.0478057,85.0
13.0685344,85.0
14.057838,85.0
15.0779416,86.0
16.0379979,87.0
17.0582017,89.0
18.048766,90.0
19.067702,91.0
20.0888297,92.0
21.0811639,93.0
22.03799,94.0
23.0590504,95.0
24.0486254,96.0
25.0384559,98.0
26.0582291,99.0
27.1382285,99.0
28.068543,99.0
29.0579654,99.0
30.077714,99.0
31.0377327,99.0
32.0584849,99.0
33.0494679,99.0
34.0679089,100.0
35.0575103,100.0
36.0480104,101.0
37.0382491,101.0
38.05867,102.0
39.0487783,102.0
40.0699598,103.0
41.0582999,103.0
42.0477737,104.0
43.0382987,104.0
44.0877955,104.0
45.1077332,104.0
46.0387267,105.0
47.0577461,105.0
48.0477193,105.0
49.0376953,105.0
50.0585393,105.0
51.0480296,106.0
52.0679494,106.0
53.0586952,106.0
54.047391,107.0
55.0382104,107.0
56.0580147,107.0
57.0784905,108.0
58.0381456,108.0
59.0879413,108.0
60.0478026,109.0
61.0373752,109.0
62.0591365,109.0
63.048651,109.0
64.0378211,109.0
65.0591791,109.0
