time_s,reference_bpm
-25.6819438,73.0
-24.6627929,74.0
-23.6429634,75.0
-22.6839127,74.0
-21.6637516,74.0
-20.642575,73.0
-19.7124275,72.0
-18.6935961,71.0
-17.7039746,71.0
-16.7145616,71.0
-15.6912032,70.0
-14.7026102,71.0
-13.6841862,72.0
-12.6941371,72.0
-11.6427146,73.0
-10.6241761,72.0
-9.6306977,72.0
-8.7043424,72.0
-7.7145075,72.0
-6.693866,72.0
-5.7047349,72.0
-4.7144565,72.0
-3.6949106,72.0
-2.6736178,72.0
-1.7134725,72.0
-0.6938238,73.0
0.295834,74.0
1.3158831,74.0
2.3054047,75.0
3.2967585,75.0
4.315752,76.0
5.3062412,77.0
6.2956369,77.0
7.28508,78.0
8.3359278,79.0
9.3554584,80.0
10.3156945,80.0
11.3358189,81.0
12.2957374,81.0
13.3155698,81.0
14.3049111,81.0
15.2952972,80.0
16.2859636,80.0
17.3052891,79.0
18.2952133,78.0
19.2927758,78.0
20.305061,77.0
21.2950919,77.0
22.2851989,77.0
23.3051032,77.0
24.2958627,77.0
25.2849969,77.0
26.3055062,78.0
27.3008341,78.0
28.2857157,79.0
29.304883,78.0
30.3253038,78.0
31.2857172,78.0
32.3352884,79.0
33.2947791,79.0
34.2849296,80.0
35.3051322,80.0
36.3257968,81.0
37.2852268,81.0
38.3046514,81.0
39.3249747,81.0
40.2855206,80.0
41.3357657,80.0
42.3252888,81.0
43.3153384,82.0
44.3050051,83.0
45.2948493,82.0
46.2868356,81.0
47.305113,80.0
48.2950444,80.0
49.2855065,80.0
50.3354457,80.0
51.2954329,80.0
