time_s,reference_bpm
-11.5357559,114.0
-10.5155351,114.0
-9.5536986,114.0
-8.4742453,114.0
-7.4543284,113.0
-6.465342,113.0
-5.5664054,113.0
-4.5452582,112.0
-3.556497,112.0
-2.5667269,112.0
-1.5461009,112.0
-0.5558748,112.0
0.4341255,112.0
1.4541546,113.0
2.4439751,113.0
3.4337391,114.0
4.4534227,115.0
5.4430776,117.0
6.4342329,118.0
7.4540003,119.0
8.4732263,119.0
9.4347212,119.0
10.4539556,118.0
11.4744863,117.0
12.4634494,115.0
13.5152345,114.0
14.4430798,112.0
15.433667,111.0
16.4532785,111.0
17.4759076,110.0
18.4691341,109.0
19.4529035,108.0
20.4434027,108.0
21.4640453,107.0
22.4536381,106.0
23.4433211,105.0
24.4325672,104.0
25.453761,105.0
26.4439127,105.0
27.4331688,107.0
28.4529868,108.0
29.4441845,109.0
30.4626574,110.0
31.4537999,111.0
32.4443053,113.0
33.4929609,114.0
34.4543091,115.0
35.4455916,116.0
36.4339175,117.0
37.4830896,118.0
38.4730276,118.0
39.4331738,119.0
40.4550691,119.0
41.442664,120.0
42.4332308,120.0
43.483958,121.0
44.4429347,121.0
45.4934082,122.0
46.4523796,122.0
47.4729409,122.0
48.4630334,123.0
49.4535577,123.0
50.4435672,123.0
51.4328394,123.0
52.4829706,123.0
53.443063,123.0
54.4338126,123.0
55.4525768,123.0
56.5030166,123.0
57.4330912,123.0
58.4534218,123.0
59.4430469,124.0
60.4325583,125.0
61.4545533,126.0
62.4423216,126.0
63.4326114,128.0
64.4829165,128.0
65.4429111,130.0
66.4331219,131.0
67.4532351,132.0
68.4729714,133.0
69.4326462,134.0
70.4525487,135.0
71.4424811,135.0
72.463265,136.0
73.4526472,136.0
74.4734857,136.0
