time_s,reference_bpm
-10.7224962,79.0
-9.7026921,80.0
-8.7428049,80.0
-7.7228771,81.0
-6.641367,81.0
-5.6224275,82.0
-4.7514764,81.0
-3.7030132,81.0
-2.7421628,81.0
-1.7535054,81.0
-0.732449,81.0
0.286912,81.0
1.2478688,80.0
2.2673592,80.0
3.2874826,80.0
4.2470112,79.0
5.2673882,79.0
6.2572524,79.0
7.2770656,79.0
8.2673315,79.0
9.2585549,79.0
10.2767188,78.0
11.2674162,78.0
12.2873715,77.0
13.2769417,77.0
14.2663966,77.0
15.2894992,76.0
16.2466739,76.0
17.2660526,75.0
18.2574184,75.0
19.2473362,74.0
20.2971495,74.0
21.256836,74.0
22.2468789,74.0
23.2965856,75.0
24.2572342,76.0
25.2464549,77.0
26.3267018,78.0
27.2566305,79.0
28.2466722,79.0
29.2662825,79.0
30.28709,78.0
31.2484374,77.0
32.2666745,76.0
33.2569862,76.0
34.2471082,75.0
35.2667605,76.0
36.2562043,76.0
37.3074247,76.0
38.2666961,76.0
39.2869089,76.0
40.2459377,76.0
41.2668672,77.0
42.347024,77.0
43.2778082,78.0
44.26733,78.0
45.2571202,79.0
46.3068417,79.0
47.2666963,79.0
48.257294,79.0
49.2469426,79.0
50.2962577,78.0
51.2560612,77.0
52.276615,77.0
53.2669079,76.0
54.2860119,75.0
55.2462541,76.0
56.266751,76.0
57.2567381,77.0
58.2766562,78.0
59.2669019,79.0
60.3170267,80.0
61.247312,80.0
62.2659053,80.0
63.2585492,79.0
64.2467289,79.0
65.2663429,78.0
66.2579551,77.0
67.2465659,77.0
68.2666541,76.0
69.2562713,75.0
70.2466822,74.0
71.2664317,75.0
72.2596575,76.0
73.246401,76.0
74.2671277,77.0
75.2568784,77.0
76.2455535,77.0
77.2662308,78.0
78.2862142,79.0
79.2760976,80.0
80.297935,81.0
81.2714409,82.0
82.2473475,82.0
83.2665819,82.0
84.2557845,82.0
85.2463101,82.0
86.2959508,82.0
87.2567952,82.0
88.2461799,82.0
89.265796,82.0
90.2557722,83.0
91.2586,83.0
92.2676311,84.0
93.3177279,86.0
94.2455414,87.0
95.2954591,89.0
96.2567977,90.0
97.2460428,91.0
98.2666841,91.0
99.316733,90.0
100.2466884,90.0
101.2962613,89.0
102.2560657,89.0
103.2764333,88.0
104.2654303,87.0
105.2862308,86.0
106.2461646,85.0
107.2665562,84.0
108.2556187,83.0
109.2761709,83.0
110.2657322,83.0
111.2555733,83.0
112.275849,83.0
113.2658291,83.0
114.2556124,83.0
115.2760919,83.0
116.2660614,83.0
117.2560584,83.0
118.2457582,83.0
119.2658085,83.0
120.2552808,83.0
121.2759631,84.0
122.2657751,85.0
123.2853134,85.0
124.2754708,86.0
125.2667505,86.0
126.255815,86.0
127.2486172,87.0
128.2665257,87.0
129.2850931,87.0
130.2456605,87.0
131.265744,87.0
132.2852986,86.0
133.2759041,87.0
134.266218,87.0
135.2559778,87.0
136.2460751,87.0
137.2955651,87.0
138.2560721,87.0
139.2469895,87.0
140.2651879,87.0
141.2857026,87.0
142.2456891,87.0
143.2680469,87.0
144.2561892,87.0
145.2761277,86.0
146.3258761,86.0
147.2563616,86.0
148.2456466,86.0
149.2652755,86.0
150.2560486,87.0
151.2457034,88.0
152.2655853,88.0
153.2556324,89.0
154.2769225,89.0
155.266214,90.0
156.2553199,91.0
157.2461006,91.0
158.2657835,91.0
159.2553391,91.0
160.2454268,91.0
161.2966073,91.0
162.2553524,91.0
163.3359439,91.0
164.2683564,90.0
165.2591357,90.0
166.276251,89.0
167.3304973,88.0
168.255099,87.0
169.2448694,86.0
170.3559636,85.0
171.2549265,84.0
172.2456124,83.0
173.2660071,82.0
174.2555058,82.0
175.2456619,81.0
176.2649677,81.0
177.2541265,80.0
178.2449448,80.0
179.2656962,80.0
180.2543423,79.0
181.2748917,80.0
182.2672359,80.0
183.2549091,81.0
184.2465088,81.0
185.2677282,82.0
186.2560811,82.0
187.2766833,83.0
188.2645889,83.0
189.2848375,83.0
190.2470547,84.0
191.2650309,83.0
192.2554435,83.0
193.2474857,83.0
194.2967552,82.0
195.254899,82.0
196.2453622,82.0
197.2661783,81.0
198.2585623,81.0
199.2448596,81.0
200.2648078,80.0
201.2546171,79.0
202.3048687,79.0
203.2659899,78.0
204.2561065,77.0
205.2457565,77.0
206.3003084,76.0
207.2580082,76.0
208.2447259,76.0
209.2670208,76.0
210.2547045,76.0
211.2461777,77.0
212.2648816,77.0
213.2549062,77.0
214.2460775,77.0
215.2955216,77.0
216.2569203,77.0
217.2438876,77.0
218.2650761,78.0
219.2846122,79.0
220.2445257,79.0
221.2947656,80.0
222.2548192,80.0
223.2754529,81.0
224.2660865,81.0
225.254691,81.0
226.3047934,80.0
227.2960177,80.0
228.2544051,80.0
229.2457582,81.0
