time_s,forehead_logpos,forehead_logpos_raw,forehead_logchrom,forehead_logchrom_raw,forehead_observed,forehead_interpolated,left_cheek_logpos,left_cheek_logpos_raw,left_cheek_logchrom,left_cheek_logchrom_raw,left_cheek_observed,left_cheek_interpolated,right_cheek_logpos,right_cheek_logpos_raw,right_cheek_logchrom,right_cheek_logchrom_raw,right_cheek_observed,right_cheek_interpolated
1.8666648,-0.48458598007074943,-0.0018294415386216605,0.7013556103504045,0.0022419709805548836,True,False,0.5054846658689719,0.0036524023878313537,-0.6661311179535928,-0.005133284875688878,True,False,-0.2735810200495336,0.0008945580533945474,0.17107812123722801,-0.0017358487248682734,True,False
1.8999981,-0.41207657793780295,-0.003355523463476425,0.5971453161347283,0.006258128025342045,True,False,0.5343671529154539,0.005348190445393638,-0.6139271664658607,-0.007440045471675763,True,False,0.27091148819799954,0.003698893584184212,-0.3764327411789175,-0.006400727403747326,True,False
1.9333314,-0.2654292561644656,0.0012002522834893743,0.25829752062802686,-0.002549509061749952,True,False,0.4120243134151199,-0.0007736566826393022,-0.4334780175690495,-0.0008629304660771373,True,False,0.3724159935989275,0.003634942295261142,-0.523772945923964,-0.006820125860448412,True,False
1.9666647,-0.08055308840628297,0.0033374012898833355,-0.23352600341308533,-0.0046515093362617865,True,False,0.23714003109105838,-0.000582489472661959,-0.20907720694261472,-0.0005603449561298918,True,False,0.11454055582923597,0.0007806969713052185,-0.3490392205965641,-0.003957006145931108,True,False
1.999998,0.09902515240690009,0.002633927180240278,-0.7212686531758632,-0.005921638576134303,True,False,0.12705326514240678,0.0011046375048370243,-0.02969659407952728,-0.0022158376491240176,True,False,-0.2519487494076981,0.002353181371678784,-0.07273804131715998,-0.00532775936699186,True,False
2.0333313,0.2509111773071325,-0.00241639097168186,-1.0428315765416993,-0.0021171593642914407,True,False,0.15529778785447876,0.0021011444319170365,0.05579747987799657,-0.0031413429569019254,True,False,-0.43296177512582024,-0.0015202149958760411,0.050495648841717734,-0.0017598894812112598,True,False
2.0666646,0.3806252950097658,0.001819085857575417,-1.1014846814351087,-0.00872731385707747,True,False,0.3157227713705742,-0.0015260124595302571,0.05532677412309547,0.00044015545925174624,True,False,-0.2353517366925889,-0.00042842895382803865,-0.13922095951607205,-0.0013212074942540845,True,False
2.0999979,0.5132345402550884,0.0040605687168965565,-0.9114958656732081,-0.007184432491305329,True,False,0.5217546154788443,0.0020645258110784485,0.021785165082853893,-0.00401291812442456,True,False,0.33405864648244615,0.0020320207050289253,-0.6202941828806533,-0.004934686165221354,True,False
2.1333312,0.6853339713173573,0.004802953957308189,-0.6020671550076899,-0.00742325108608816,True,False,0.6387702562251257,0.0019761113616816447,0.024133353130558356,-4.878859910382869e-05,True,False,1.0635609889940887,0.004821856586493908,-1.1939803915982776,-0.008723981756135814,True,False
2.1666645,0.9324862770509308,-0.00034434439023161206,-0.36650570147888045,0.0026670202257101,True,False,0.5411019080080718,0.0011040411452442112,0.11379030161927173,-0.0012755790261560942,True,False,1.6321211585209812,0.007010094246166942,-1.5836512521497208,-0.010129519069650815,True,False
2.1999978,1.2619101791201208,0.0036540420231713617,-0.3669459322840341,-0.00014891692484468195,True,False,0.17342448291375018,0.0002762863849306244,0.2976406182979645,-0.001625729346832928,True,False,1.7621394421870773,0.00836037428014845,-1.578220492694305,-0.011838561315559512,True,False
2.2333311,1.6241383955351105,0.0038482950270920706,-0.6411502982305188,-0.003041026791878586,True,False,-0.4096055060883804,0.0004284658729399046,0.5273880420688557,-0.0009630646278575815,True,False,1.3571100968080076,0.00746533859847352,-1.1422352032162317,-0.007528509868235287,True,False
2.2666644,1.911208162169071,0.006373750759617881,-1.0669747841323578,-0.005588032330525918,True,False,-1.046085986443662,-0.002256685543412665,0.7134428759251136,0.00010177651777322014,True,False,0.5572737176002424,0.0033434969952482324,-0.4346187750695148,-0.0038473296643400877,True,False
2.2999977,1.9898529979644812,0.006224889256846264,-1.4063412860644047,-0.005703629192736025,True,False,-1.5199837282406599,-0.007659295842567988,0.7649851733053348,0.005544168072284009,True,False,-0.3162683115751503,0.0007997128132190762,0.26978316614869785,-0.0031786947768494616,True,False
2.333331,1.7516080082707424,0.002784341393909338,-1.406353422683455,-0.004857413451478496,True,False,-1.649764708483892,-0.0076658897701426445,0.6400156209738944,0.0030099835517776127,True,False,-0.904149870530222,-0.0026795657110552937,0.7100346294540537,0.00029638229166092814,True,False
2.3666643,1.1566706350967955,0.001227378762561341,-0.9139681011214306,-0.004503531121104842,True,False,-1.370871710446358,-0.0033422457349343536,0.3729775721996833,-0.0023397009684151195,True,False,-0.9691709463827481,-0.0011355554345687097,0.7535398096839061,-0.0013373214472979073,True,False
2.3999976,0.2619076874460436,0.0020434345091695657,0.03884348444088848,-0.0012508531400027922,True,False,-0.7671812260736423,-0.0037978507660855585,0.05782382546034642,-0.0013672291636624933,True,False,-0.49743635235196804,0.0005193727689096297,0.442744025531267,-0.0019423173961967781,True,False
2.4333309,-0.769670331765035,0.0012328848759360265,1.2145393125744108,0.0018267669749399257,True,False,-0.03691532407154555,-0.00024838518512881674,-0.2012256925291552,-0.0019377403421377767,True,False,0.3043236783180379,0.004293685974391353,-0.042188983500090545,-0.007420929667242995,True,False
2.4666642,-1.691429509612376,-0.004981659645802665,2.2341049657026666,0.01124752145875578,True,False,0.5862227507884171,0.0005613311879219232,-0.3366597654765295,-0.0012840160736765649,True,False,1.1060205579565718,0.005369586652860786,-0.47883447142799135,-0.0044161522386278245,True,False
2.4999975,-2.2438526956690974,-0.0075999395246468945,2.7160100856093736,0.011993037374493153,True,False,0.9213183271313714,0.001984242830177519,-0.33762531744142543,-0.0008406752225012105,True,False,1.5941372700424068,0.005320728412375186,-0.7030245550002496,-0.004756486056687746,True,False
2.5333308,-2.260166182380103,-0.007328132754005142,2.440946155406757,0.015364264690360379,True,False,0.905278893451842,0.0019363753181397998,-0.24149490329757023,0.00024425214431615677,True,False,1.5927632593162506,0.0059823824339290494,-0.6680153320414149,-0.0053603047252374185,True,False
2.5666641,-1.755378853454247,-0.007119091979189842,1.467816859011528,0.010264139676952328,True,False,0.6121286635926954,0.0010265353705387883,-0.11054212962388893,-1.2145156145102036e-05,True,False,1.1235242851679117,0.0038967454795356834,-0.4467534460614963,-0.0022311219904577856,True,False
2.5999974,-0.9432644008466122,-0.00015976138560243767,0.13701760438260455,-0.0020858531337565166,True,False,0.21919697102106833,-0.0009137511446765276,-0.008728782497960151,-0.0015501082376676535,True,False,0.38998585093613497,0.0033356448008326936,-0.18865598267870956,-0.0038193104385583383,True,False
2.6333307,-0.16329575124020806,-0.00020722750777454953,-1.053093335275441,-0.005179977968197936,True,False,-0.06838024578428574,-0.002374929390374165,0.014836894726201972,0.00045117057406170955,True,False,-0.3052723968034027,0.0006171935389520101,-0.053268929490643165,-0.002898733313261438,True,False
2.666664,0.2512521388495353,-0.0007116212134430945,-1.6451736578944922,-0.006860243969058418,True,False,-0.105685081089156,-0.003007194713873158,-0.061610452930971255,0.0022410581505250683,True,False,-0.6844051348566262,-0.003608918853910512,-0.1430165926813997,-0.0013461530583226662,True,False
2.6999973,0.10762977195571638,0.0006676777560631252,-1.4085399852276979,-0.0038743549080403564,True,False,0.12869622337085898,-0.0007167287010857077,-0.22250781727461535,-0.0011777563614018217,True,False,-0.6143871010241424,-0.002562333863464473,-0.45417611560753285,-0.0008370469316741382,True,False
2.7333306,-0.5583872649929044,0.0006031149265978427,-0.4367492945638959,-0.002363651829220409,True,False,0.5223248320885987,-0.0007202277931634769,-0.41352839567755295,0.0008685801809819296,True,False,-0.16954943318882595,0.00012625051289885192,-0.8648577212979087,-0.003151599003347951,True,False
2.7666639,-1.4725951140651852,0.0011222095346007678,0.8755595786288836,-0.0038511545896671735,True,False,0.8762289780676537,0.0018288532055264295,-0.5548560665079013,-0.001535644662580143,True,False,0.3991627128943737,0.0009485697084180583,-1.1737480815224288,-0.004457315994240573,True,False
2.7999972,-2.208987690201835,-0.007406670804025912,1.9728078645596852,0.010899611365609713,True,False,0.9900273715725187,0.0004983558874224434,-0.567575069860381,0.0018767979312892147,True,False,0.7782394806741352,0.003055271897442602,-1.1825720629808112,-0.004800384643655118,True,False
2.8333305,-2.361630559904898,-0.007748588107795835,2.359426935723252,0.014678770149949859,True,False,0.7508867661021904,0.002577934227776627,-0.4059690367018611,-0.0022172032594300894,True,False,0.7360585939217014,0.002459038261892848,-0.7884171708630566,-0.0027997934855650054,True,False
2.8666638,-1.737368939486284,-0.006651521171089912,1.8219651754187915,0.01236498816670888,True,False,0.19058182504971677,-0.0002289525349928147,-0.08551326531851614,0.0014774305497310325,True,False,0.23102285187215674,0.0015395432683770142,-0.041881166463873465,-0.0008885121264787214,True,False
