case,variant,estimator,Nplanned,Noutput,Nref,Nvalid,Nwithin5,Nwithin10,hr_output_coverage_pct,paired_reference_coverage_pct,MAE_bpm,RMSE_bpm,Bias_bpm,MAPE_pct,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct,P95_abs_error_bpm,Max_abs_error_bpm,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm
data2,fusion,ridge_bpm,37,33,37,33,29,33,89.1891891891892,89.1891891891892,3.16060606060606,3.8200031730908592,1.3424242424242419,3.9860673825946846,87.87878787878788,100.0,78.37837837837837,89.1891891891892,8.119999999999996,9.299999999999997,-5.775916628704066,8.46076511355255
data2,fusion,spectral_peak_bpm,37,33,37,33,20,22,89.1891891891892,89.1891891891892,20.77878787878788,37.731166283205575,17.25151515151515,26.268434820403268,60.60606060606061,66.66666666666667,54.054054054054056,59.45945945945946,85.24,87.9,-49.53861461352051,84.04164491655081
data2,pos,ridge_bpm,37,33,37,33,13,22,89.1891891891892,89.1891891891892,9.396969696969697,12.084989437189,-5.627272727272727,11.859896483481736,39.39393939393939,66.66666666666667,35.13513513513514,59.45945945945946,22.16,22.799999999999997,-26.914277749543515,15.659732294998063
data2,pos,spectral_peak_bpm,37,33,37,33,14,24,89.1891891891892,89.1891891891892,9.293939393939393,13.106960907945984,-0.9909090909090914,11.800216332839577,42.42424242424242,72.72727272727273,37.83783783783784,64.86486486486487,27.03999999999999,33.099999999999994,-27.004203962780075,25.02238578096189
data2,chrom,ridge_bpm,37,33,37,33,18,21,89.1891891891892,89.1891891891892,8.572727272727274,11.792588838552437,-7.596969696969697,10.825302330503588,54.54545454545455,63.63636363636363,48.648648648648646,56.75675675675676,20.919999999999995,21.200000000000003,-25.549267408438613,10.355328014499218
data2,chrom,spectral_peak_bpm,37,33,37,33,5,16,89.1891891891892,89.1891891891892,13.36060606060606,15.251378477191674,-10.86969696969697,16.883960708888225,15.151515151515152,48.484848484848484,13.513513513513514,43.24324324324324,22.959999999999997,26.900000000000006,-32.16353676249179,10.424142823097847
