window_index,time_s,window_start_s,window_end_s,mode,old_bpm,candidate_bpm,old_accepted,candidate_accepted,old_window_finite,candidate_window_finite,disagreement_bpm,physical_roi_support_count,physical_roi_support_names,raw_consensus_roi_count,raw_consensus_roi_names,motion_available,motion_status,old_direct_motion_risk,candidate_direct_motion_risk,direct_motion_risk_decrease,direct_motion_pass,raw_consensus_pass,proposal_eligible,reason,roi_evidence_json
0,4.999995,0.0,9.99999,raw_consensus,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,old_hr_not_accepted,{}
1,5.999994,0.999999,10.999989,raw_consensus,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,old_hr_not_accepted,{}
2,6.999993,1.999998,11.999988,raw_consensus,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,old_hr_not_accepted,{}
3,7.999992,2.999997,12.999986999999999,raw_consensus,,92.0,False,True,False,True,,0,[],0,[],False,not_evaluated,,,,False,False,False,old_hr_not_accepted,{}
4,8.999991,3.999996,13.999986,raw_consensus,92.0,92.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
5,9.99999,4.999995,14.999984999999999,raw_consensus,92.0,92.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
6,10.999989,5.999994,15.999984,raw_consensus,93.0,93.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
7,11.999988,6.999993,16.999983,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
8,12.999986999999999,7.999992,17.999982,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
9,13.999986,8.999991,18.999981,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
10,14.999984999999999,9.99999,19.99998,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
11,15.999984,10.999989,20.999979,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
12,16.999983,11.999988,21.999978,raw_consensus,93.0,93.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
13,17.999982,12.999986999999999,22.999976999999998,raw_consensus,93.0,93.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
14,18.999981,13.999986,23.999976,raw_consensus,92.0,92.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
15,19.99998,14.999984999999999,24.999975,raw_consensus,92.0,92.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
16,20.999979,15.999984,25.999973999999998,raw_consensus,92.0,92.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
17,21.999978,16.999983,26.999972999999997,raw_consensus,92.0,92.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
18,22.999976999999998,17.999982,27.999972,raw_consensus,92.0,92.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
19,23.999976,18.999981,28.999971,raw_consensus,92.0,93.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
20,24.999975,19.99998,29.999969999999998,raw_consensus,93.0,93.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
21,25.999973999999998,20.999979,30.999969,raw_consensus,94.0,93.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
22,26.999972999999997,21.999978,31.999968,raw_consensus,94.0,93.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
23,27.999972,22.999976999999998,32.999967,raw_consensus,94.0,93.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
24,28.999971,23.999976,33.999966,raw_consensus,94.0,93.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
25,29.999969999999998,24.999975,34.999964999999996,raw_consensus,94.0,93.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
26,30.999969,25.999973999999998,35.999964,raw_consensus,94.0,93.0,True,True,True,True,1.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
27,31.999968,26.999972999999997,36.999963,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
28,32.999967,27.999972,37.999962,raw_consensus,95.0,95.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
29,33.999966,28.999971,38.999961,raw_consensus,95.0,95.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
30,34.999964999999996,29.999969999999998,39.99996,raw_consensus,95.0,95.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
31,35.999964,30.999969,40.999959,raw_consensus,95.0,95.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
32,36.999963,31.999968,41.999958,raw_consensus,95.0,95.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
33,37.999962,32.999967,42.999956999999995,raw_consensus,95.0,95.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
34,38.999961,33.999966,43.999956,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
35,39.99996,34.999964999999996,44.999955,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
36,40.999959,35.999964,45.999953999999995,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
37,41.999958,36.999963,46.999953,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
38,42.999956999999995,37.999962,47.999952,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
39,43.999956,38.999961,48.999950999999996,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
40,44.999955,39.99996,49.99995,raw_consensus,94.0,94.0,True,True,True,True,0.0,0,[],0,[],False,not_evaluated,,,,False,False,False,no_material_disagreement,{}
41,45.999953999999995,40.999959,50.999949,raw_consensus,,,False,False,False,False,,0,[],0,[],False,not_evaluated,,,,False,False,False,old_hr_not_accepted,{}
