variant,label,Nref,Nvalid,Nwithin5,MAE_bpm,RMSE_bpm,P5_valid_pct,R5_all_reference_pct,HR_coverage_pct,waveform_coverage_macro_pct,promotion_pass,near_all_target_met
V25,V25,309,260,93,25.202307692307695,37.98560253569766,35.76923076923077,30.097087378640776,84.14239482200647,88.71654600848969,,False
log_projection_baseline,Log（原 ROI）,309,223,76,35.78565022421524,49.896847856442484,34.08071748878924,24.59546925566343,72.16828478964402,83.04882145561011,False,False
log_projection_guarded,Log（带跟踪）,309,258,77,38.97403100775193,50.993793892040195,29.844961240310077,24.919093851132686,83.49514563106796,87.4413235872103,False,False
component_consensus,Component,309,263,95,16.863878326996197,23.60727315908393,36.12167300380228,30.74433656957929,85.11326860841424,89.23601131154625,False,False
neural_efficientphys,EfficientPhys,309,264,54,28.581060606060607,35.72986506517702,20.454545454545453,17.475728155339805,85.4368932038835,91.80735986989593,False,False
component_harmonics,Component+H,309,263,120,18.75057034220532,26.625595907217715,45.627376425855516,38.83495145631068,85.11326860841424,89.23601131154625,False,False
