case,wave,version,method,reference_kind,scope,comparison,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Naccepted_finite_waveform_windows,Nsnr_own,Nscored,waveform_generated_count,waveform_generated_planned_pct,waveform_generated_SNR_calculable_count,non_generated_accepted_finite_count,non_generated_SNR_calculable_count,generation_provenance,finite_waveform_samples,waveform_samples,snr_mean_db,snr_median_db,snr_q25_db,snr_q75_db,r_wave,source_csv
user0907,new/chrom,new,chrom,none,all_5_waveforms_common,all_5_waveforms,42,0,14,20,14,0,0,,,,,,Not applicable to continuous single-method waveform,1184,1557,,,,,,rppg_motion_v2/validation/user0907/chrom_waveform.csv
user0907,new/fusion,new,fusion,none,own,,42,0,12,12,10,0,0,10.0,23.80952380952381,0.0,0.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,900,1557,,,,,,rppg_motion_v2/validation/user0907/fusion_waveform.csv
user0907,new/fusion,new,fusion,none,all_5_waveforms_common,all_5_waveforms,42,0,12,12,10,0,0,10.0,23.80952380952381,0.0,0.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,900,1557,,,,,,rppg_motion_v2/validation/user0907/fusion_waveform.csv
user0907,new/fusion,new,fusion,none,generated_only,,42,0,12,12,10,0,0,10.0,23.80952380952381,0.0,0.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,900,1557,,,,,,rppg_motion_v2/validation/user0907/fusion_waveform.csv
user0907,old/pos,old,pos,none,pair_common,new/pos minus old/pos,42,0,14,20,14,0,0,,,,,,Not applicable to continuous single-method waveform,1184,1557,,,,,,rppg_motion_upgrade/validation_final/user0907_robust/pos_waveform.csv
user0907,new/pos,new,pos,none,pair_common,new/pos minus old/pos,42,0,14,20,14,0,0,,,,,,Not applicable to continuous single-method waveform,1184,1557,,,,,,rppg_motion_v2/validation/user0907/pos_waveform.csv
user0907,old/chrom,old,chrom,none,pair_common,new/chrom minus old/chrom,42,0,14,20,14,0,0,,,,,,Not applicable to continuous single-method waveform,1184,1557,,,,,,rppg_motion_upgrade/validation_final/user0907_robust/chrom_waveform.csv
user0907,new/chrom,new,chrom,none,pair_common,new/chrom minus old/chrom,42,0,14,20,14,0,0,,,,,,Not applicable to continuous single-method waveform,1184,1557,,,,,,rppg_motion_v2/validation/user0907/chrom_waveform.csv
user0907,old/pos,old,pos,none,pair_common,new/fusion minus old/pos,42,0,14,20,14,0,0,,,,,,Not applicable to continuous single-method waveform,1184,1557,,,,,,rppg_motion_upgrade/validation_final/user0907_robust/pos_waveform.csv
user0907,new/fusion,new,fusion,none,pair_common,new/fusion minus old/pos,42,0,12,12,10,0,0,10.0,23.80952380952381,0.0,0.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,900,1557,,,,,,rppg_motion_v2/validation/user0907/fusion_waveform.csv
user0907,old/chrom,old,chrom,none,pair_common,new/fusion minus old/chrom,42,0,14,20,14,0,0,,,,,,Not applicable to continuous single-method waveform,1184,1557,,,,,,rppg_motion_upgrade/validation_final/user0907_robust/chrom_waveform.csv
user0907,new/fusion,new,fusion,none,pair_common,new/fusion minus old/chrom,42,0,12,12,10,0,0,10.0,23.80952380952381,0.0,0.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,900,1557,,,,,,rppg_motion_v2/validation/user0907/fusion_waveform.csv
user0907,new/pos,new,pos,none,pair_common,new/fusion minus new/pos,42,0,14,20,14,0,0,,,,,,Not applicable to continuous single-method waveform,1184,1557,,,,,,rppg_motion_v2/validation/user0907/pos_waveform.csv
user0907,new/fusion,new,fusion,none,pair_common,new/fusion minus new/pos,42,0,12,12,10,0,0,10.0,23.80952380952381,0.0,0.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,900,1557,,,,,,rppg_motion_v2/validation/user0907/fusion_waveform.csv
user0907,new/chrom,new,chrom,none,pair_common,new/fusion minus new/chrom,42,0,14,20,14,0,0,,,,,,Not applicable to continuous single-method waveform,1184,1557,,,,,,rppg_motion_v2/validation/user0907/chrom_waveform.csv
user0907,new/fusion,new,fusion,none,pair_common,new/fusion minus new/chrom,42,0,12,12,10,0,0,10.0,23.80952380952381,0.0,0.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,900,1557,,,,,,rppg_motion_v2/validation/user0907/fusion_waveform.csv
ubfc,old/pos,old,pos,human_UBFC_device_HR,own,,44,44,40,40,40,40,40,,,,,,Not applicable to continuous single-method waveform,1453,1547,-4.5026918341239055,-4.509361973391258,-6.155675815591024,-3.435621691008504,,rppg_motion_upgrade/validation_final/ubfc_robust/pos_waveform.csv
ubfc,old/pos,old,pos,human_UBFC_device_HR,all_5_waveforms_common,all_5_waveforms,44,44,40,40,40,40,35,,,,,,Not applicable to continuous single-method waveform,1453,1547,-4.271126351289412,-3.938978169958731,-6.000075326561883,-3.4240870333722713,,rppg_motion_upgrade/validation_final/ubfc_robust/pos_waveform.csv
ubfc,old/chrom,old,chrom,human_UBFC_device_HR,own,,44,44,40,40,40,40,40,,,,,,Not applicable to continuous single-method waveform,1453,1547,-3.9618563003631984,-3.6751899248692643,-5.352034049374819,-2.788807029818953,,rppg_motion_upgrade/validation_final/ubfc_robust/chrom_waveform.csv
ubfc,old/chrom,old,chrom,human_UBFC_device_HR,all_5_waveforms_common,all_5_waveforms,44,44,40,40,40,40,35,,,,,,Not applicable to continuous single-method waveform,1453,1547,-3.7892825984433185,-3.371289365576431,-5.029944252446735,-2.5534653159449983,,rppg_motion_upgrade/validation_final/ubfc_robust/chrom_waveform.csv
ubfc,new/pos,new,pos,human_UBFC_device_HR,own,,44,44,40,40,40,40,40,,,,,,Not applicable to continuous single-method waveform,1453,1547,-4.502691834123907,-4.509361973391304,-6.155675815590946,-3.4356216910084934,,rppg_motion_v2/validation/ubfc/pos_waveform.csv
ubfc,new/pos,new,pos,human_UBFC_device_HR,all_5_waveforms_common,all_5_waveforms,44,44,40,40,40,40,35,,,,,,Not applicable to continuous single-method waveform,1453,1547,-4.271126351289432,-3.9389781699588458,-6.0000753265619124,-3.4240870333722686,,rppg_motion_v2/validation/ubfc/pos_waveform.csv
ubfc,new/chrom,new,chrom,human_UBFC_device_HR,own,,44,44,40,40,40,40,40,,,,,,Not applicable to continuous single-method waveform,1453,1547,-3.961856300363255,-3.67518992486938,-5.352034049374734,-2.788807029819066,,rppg_motion_v2/validation/ubfc/chrom_waveform.csv
ubfc,new/chrom,new,chrom,human_UBFC_device_HR,all_5_waveforms_common,all_5_waveforms,44,44,40,40,40,40,35,,,,,,Not applicable to continuous single-method waveform,1453,1547,-3.78928259844339,-3.371289365576406,-5.029944252446832,-2.5534653159451057,,rppg_motion_v2/validation/ubfc/chrom_waveform.csv
ubfc,new/fusion,new,fusion,human_UBFC_device_HR,own,,44,44,35,40,35,35,35,34.0,77.27272727272727,34.0,1.0,1.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,1424,1547,-3.263198611101327,-2.9785137906173538,-4.970776137291115,-1.9087531218437102,,rppg_motion_v2/validation/ubfc/fusion_waveform.csv
ubfc,new/fusion,new,fusion,human_UBFC_device_HR,all_5_waveforms_common,all_5_waveforms,44,44,35,40,35,35,35,34.0,77.27272727272727,34.0,1.0,1.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,1424,1547,-3.263198611101327,-2.9785137906173538,-4.970776137291115,-1.9087531218437102,,rppg_motion_v2/validation/ubfc/fusion_waveform.csv
ubfc,new/fusion,new,fusion,human_UBFC_device_HR,generated_only,,44,44,35,40,35,35,34,34.0,77.27272727272727,34.0,1.0,1.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,1424,1547,-3.1907850028479103,-2.9008573113002774,-4.711779668925433,-1.8911453269514353,,rppg_motion_v2/validation/ubfc/fusion_waveform.csv
