case,wave,version,method,reference_kind,scope,comparison,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Naccepted_finite_waveform_windows,Nsnr_own,Nscored,waveform_generated_count,waveform_generated_planned_pct,waveform_generated_SNR_calculable_count,non_generated_accepted_finite_count,non_generated_SNR_calculable_count,generation_provenance,finite_waveform_samples,waveform_samples,snr_mean_db,snr_median_db,snr_q25_db,snr_q75_db,r_wave,source_csv
synthetic72,new/pos,new,pos,synthetic_72bpm_modulation,own,,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,8.196636285205365,8.006723993569146,7.501917953618235,8.848002694172596,,rppg_motion_v2/validation/synthetic72/pos_waveform.csv
synthetic72,new/pos,new,pos,synthetic_72bpm_modulation,all_5_waveforms_common,all_5_waveforms,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,8.196636285205365,8.006723993569146,7.501917953618235,8.848002694172596,,rppg_motion_v2/validation/synthetic72/pos_waveform.csv
synthetic72,new/chrom,new,chrom,synthetic_72bpm_modulation,own,,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,9.921354780032846,9.890708607879205,9.095640933770536,10.882535583057969,,rppg_motion_v2/validation/synthetic72/chrom_waveform.csv
synthetic72,new/chrom,new,chrom,synthetic_72bpm_modulation,all_5_waveforms_common,all_5_waveforms,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,9.921354780032846,9.890708607879205,9.095640933770536,10.882535583057969,,rppg_motion_v2/validation/synthetic72/chrom_waveform.csv
synthetic72,new/fusion,new,fusion,synthetic_72bpm_modulation,own,,11,11,7,7,7,7,7,7.0,63.63636363636363,7.0,0.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,480,600,9.351497147870862,9.700797827550485,8.788126734115297,10.050589431384006,,rppg_motion_v2/validation/synthetic72/fusion_waveform.csv
synthetic72,new/fusion,new,fusion,synthetic_72bpm_modulation,all_5_waveforms_common,all_5_waveforms,11,11,7,7,7,7,7,7.0,63.63636363636363,7.0,0.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,480,600,9.351497147870862,9.700797827550485,8.788126734115297,10.050589431384006,,rppg_motion_v2/validation/synthetic72/fusion_waveform.csv
synthetic72,new/fusion,new,fusion,synthetic_72bpm_modulation,generated_only,,11,11,7,7,7,7,7,7.0,63.63636363636363,7.0,0.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,480,600,9.351497147870862,9.700797827550485,8.788126734115297,10.050589431384006,,rppg_motion_v2/validation/synthetic72/fusion_waveform.csv
synthetic72,old/pos,old,pos,synthetic_72bpm_modulation,pair_common,new/pos minus old/pos,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,8.196636285205358,8.006723993569134,7.501917953618227,8.848002694172585,,rppg_metrics_review_20260908/synthetic72/pos_waveform.csv
synthetic72,new/pos,new,pos,synthetic_72bpm_modulation,pair_common,new/pos minus old/pos,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,8.196636285205365,8.006723993569146,7.501917953618235,8.848002694172596,,rppg_motion_v2/validation/synthetic72/pos_waveform.csv
synthetic72,old/chrom,old,chrom,synthetic_72bpm_modulation,pair_common,new/chrom minus old/chrom,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,9.92135478003284,9.890708607879207,9.095640933770522,10.882535583057962,,rppg_metrics_review_20260908/synthetic72/chrom_waveform.csv
synthetic72,new/chrom,new,chrom,synthetic_72bpm_modulation,pair_common,new/chrom minus old/chrom,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,9.921354780032846,9.890708607879205,9.095640933770536,10.882535583057969,,rppg_motion_v2/validation/synthetic72/chrom_waveform.csv
synthetic72,old/pos,old,pos,synthetic_72bpm_modulation,pair_common,new/fusion minus old/pos,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,8.196636285205358,8.006723993569134,7.501917953618227,8.848002694172585,,rppg_metrics_review_20260908/synthetic72/pos_waveform.csv
synthetic72,new/fusion,new,fusion,synthetic_72bpm_modulation,pair_common,new/fusion minus old/pos,11,11,7,7,7,7,7,7.0,63.63636363636363,7.0,0.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,480,600,9.351497147870862,9.700797827550485,8.788126734115297,10.050589431384006,,rppg_motion_v2/validation/synthetic72/fusion_waveform.csv
synthetic72,old/chrom,old,chrom,synthetic_72bpm_modulation,pair_common,new/fusion minus old/chrom,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,9.92135478003284,9.890708607879207,9.095640933770522,10.882535583057962,,rppg_metrics_review_20260908/synthetic72/chrom_waveform.csv
