case,branch,version,method,estimator,reference_kind,Nplanned,Nref,Noutput,Nvalid,Nscored,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,C_out_pct,C_ref_pct,R5_all_reference_pct,R10_all_reference_pct,source_csv,prediction_column
user0907,old/chrom/offline_ridge,old,chrom,offline_ridge,none,42,0,14,0,0,,,,,0,0,,,,,,,33.333333333333336,,,,rppg_motion_upgrade/validation_final/user0907_robust/chrom_heart_rate.csv,ridge_bpm
user0907,new/pos/local_peak,new,pos,local_peak,none,42,0,14,0,0,,,,,0,0,,,,,,,33.333333333333336,,,,rppg_motion_v2/validation/user0907/pos_heart_rate.csv,spectral_peak_bpm
user0907,new/pos/offline_ridge,new,pos,offline_ridge,none,42,0,14,0,0,,,,,0,0,,,,,,,33.333333333333336,,,,rppg_motion_v2/validation/user0907/pos_heart_rate.csv,ridge_bpm
user0907,new/chrom/local_peak,new,chrom,local_peak,none,42,0,14,0,0,,,,,0,0,,,,,,,33.333333333333336,,,,rppg_motion_v2/validation/user0907/chrom_heart_rate.csv,spectral_peak_bpm
user0907,new/chrom/offline_ridge,new,chrom,offline_ridge,none,42,0,14,0,0,,,,,0,0,,,,,,,33.333333333333336,,,,rppg_motion_v2/validation/user0907/chrom_heart_rate.csv,ridge_bpm
user0907,new/fusion/forward_ridge,new,fusion,forward_ridge,none,42,0,12,0,0,,,,,0,0,,,,,,,28.571428571428573,,,,rppg_motion_v2/validation/user0907/fusion_heart_rate.csv,ridge_bpm
ubfc,old/pos/local_peak,old,pos,local_peak,human_UBFC_device_HR,44,44,40,40,40,3.209058217721374,4.30546855769563,-0.9253926583732962,4.258410432837225,32,39,80.0,97.5,-9.271877106734257,7.421091789987665,6.937483742990101,16.363400673400676,90.9090909090909,90.9090909090909,72.72727272727273,88.63636363636364,rppg_motion_upgrade/validation_final/ubfc_robust/pos_heart_rate.csv,spectral_peak_bpm
ubfc,old/pos/offline_ridge,old,pos,offline_ridge,human_UBFC_device_HR,44,44,40,40,40,2.5608837981643235,3.0610386147775506,-0.7503926583732963,3.005442628678114,39,40,97.5,100.0,-6.641060210582399,5.140274893835807,4.629613776620415,5.343965517241372,90.9090909090909,90.9090909090909,88.63636363636364,90.9090909090909,rppg_motion_upgrade/validation_final/ubfc_robust/pos_heart_rate.csv,ridge_bpm
ubfc,old/chrom/local_peak,old,chrom,local_peak,human_UBFC_device_HR,44,44,40,40,40,2.767321016356186,3.5635732593936837,-0.7003926583732962,3.5385792454125022,30,40,75.0,100.0,-7.636007979381801,6.235222662635208,6.432602527562739,7.91608996539793,90.9090909090909,90.9090909090909,68.18181818181819,90.9090909090909,rppg_motion_upgrade/validation_final/ubfc_robust/chrom_heart_rate.csv,spectral_peak_bpm
ubfc,old/chrom/offline_ridge,old,chrom,offline_ridge,human_UBFC_device_HR,44,44,40,40,40,2.545308846981956,3.141175422904123,-0.6003926583732963,3.1225419778301005,35,40,87.5,100.0,-6.720574934920293,5.5197896181737,5.576949826989627,6.343965517241372,90.9090909090909,90.9090909090909,79.54545454545455,90.9090909090909,rppg_motion_upgrade/validation_final/ubfc_robust/chrom_heart_rate.csv,ridge_bpm
ubfc,new/pos/local_peak,new,pos,local_peak,human_UBFC_device_HR,44,44,40,40,40,3.209058217721374,4.30546855769563,-0.9253926583732962,4.258410432837225,32,39,80.0,97.5,-9.271877106734257,7.421091789987665,6.937483742990101,16.363400673400676,90.9090909090909,90.9090909090909,72.72727272727273,88.63636363636364,rppg_motion_v2/validation/ubfc/pos_heart_rate.csv,spectral_peak_bpm
ubfc,new/pos/offline_ridge,new,pos,offline_ridge,human_UBFC_device_HR,44,44,40,40,40,2.5608837981643235,3.0610386147775506,-0.7503926583732963,3.005442628678114,39,40,97.5,100.0,-6.641060210582399,5.140274893835807,4.629613776620415,5.343965517241372,90.9090909090909,90.9090909090909,88.63636363636364,90.9090909090909,rppg_motion_v2/validation/ubfc/pos_heart_rate.csv,ridge_bpm
ubfc,new/chrom/local_peak,new,chrom,local_peak,human_UBFC_device_HR,44,44,40,40,40,2.767321016356186,3.5635732593936837,-0.7003926583732962,3.5385792454125022,30,40,75.0,100.0,-7.636007979381801,6.235222662635208,6.432602527562739,7.91608996539793,90.9090909090909,90.9090909090909,68.18181818181819,90.9090909090909,rppg_motion_v2/validation/ubfc/chrom_heart_rate.csv,spectral_peak_bpm
ubfc,new/chrom/offline_ridge,new,chrom,offline_ridge,human_UBFC_device_HR,44,44,40,40,40,2.545308846981956,3.141175422904123,-0.6003926583732963,3.1225419778301005,35,40,87.5,100.0,-6.720574934920293,5.5197896181737,5.576949826989627,6.343965517241372,90.9090909090909,90.9090909090909,79.54545454545455,90.9090909090909,rppg_motion_v2/validation/ubfc/chrom_heart_rate.csv,ridge_bpm
ubfc,new/fusion/forward_ridge,new,fusion,forward_ridge,human_UBFC_device_HR,44,44,35,35,35,3.660212720834545,5.376493097537205,0.7822726722085694,5.396936664595646,24,32,68.57142857142857,91.42857142857143,-9.795723190398897,11.360268534816035,12.962601677441894,14.546655290102379,79.54545454545455,79.54545454545455,54.54545454545455,72.72727272727273,rppg_motion_v2/validation/ubfc/fusion_heart_rate.csv,ridge_bpm
kaggle_full,old/pos/local_peak,old,pos,local_peak,none,419,0,416,0,0,,,,,0,0,,,,,,,99.28400954653938,,,,rppg_metrics_review_20260908/kaggle_full/pos_heart_rate.csv,spectral_peak_bpm
kaggle_full,old/pos/offline_ridge,old,pos,offline_ridge,none,419,0,416,0,0,,,,,0,0,,,,,,,99.28400954653938,,,,rppg_metrics_review_20260908/kaggle_full/pos_heart_rate.csv,ridge_bpm
kaggle_full,old/chrom/local_peak,old,chrom,local_peak,none,419,0,416,0,0,,,,,0,0,,,,,,,99.28400954653938,,,,rppg_metrics_review_20260908/kaggle_full/chrom_heart_rate.csv,spectral_peak_bpm
kaggle_full,old/chrom/offline_ridge,old,chrom,offline_ridge,none,419,0,416,0,0,,,,,0,0,,,,,,,99.28400954653938,,,,rppg_metrics_review_20260908/kaggle_full/chrom_heart_rate.csv,ridge_bpm
kaggle_full,new/pos/local_peak,new,pos,local_peak,none,419,0,416,0,0,,,,,0,0,,,,,,,99.28400954653938,,,,rppg_motion_v2/validation/kaggle_full/pos_heart_rate.csv,spectral_peak_bpm
kaggle_full,new/pos/offline_ridge,new,pos,offline_ridge,none,419,0,416,0,0,,,,,0,0,,,,,,,99.28400954653938,,,,rppg_motion_v2/validation/kaggle_full/pos_heart_rate.csv,ridge_bpm
kaggle_full,new/chrom/local_peak,new,chrom,local_peak,none,419,0,416,0,0,,,,,0,0,,,,,,,99.28400954653938,,,,rppg_motion_v2/validation/kaggle_full/chrom_heart_rate.csv,spectral_peak_bpm
kaggle_full,new/chrom/offline_ridge,new,chrom,offline_ridge,none,419,0,416,0,0,,,,,0,0,,,,,,,99.28400954653938,,,,rppg_motion_v2/validation/kaggle_full/chrom_heart_rate.csv,ridge_bpm
kaggle_full,new/fusion/forward_ridge,new,fusion,forward_ridge,none,419,0,246,0,0,,,,,0,0,,,,,,,58.711217183770884,,,,rppg_motion_v2/validation/kaggle_full/fusion_heart_rate.csv,ridge_bpm
synthetic72,old/pos/local_peak,old,pos,local_peak,synthetic_72bpm_modulation,11,11,7,7,7,0.0,0.0,0.0,0.0,7,7,100.0,100.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,63.63636363636363,63.63636363636363,rppg_metrics_review_20260908/synthetic72/pos_heart_rate.csv,spectral_peak_bpm
synthetic72,old/pos/offline_ridge,old,pos,offline_ridge,synthetic_72bpm_modulation,11,11,7,7,7,0.0,0.0,0.0,0.0,7,7,100.0,100.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,63.63636363636363,63.63636363636363,rppg_metrics_review_20260908/synthetic72/pos_heart_rate.csv,ridge_bpm
synthetic72,old/chrom/local_peak,old,chrom,local_peak,synthetic_72bpm_modulation,11,11,7,7,7,0.0,0.0,0.0,0.0,7,7,100.0,100.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,63.63636363636363,63.63636363636363,rppg_metrics_review_20260908/synthetic72/chrom_heart_rate.csv,spectral_peak_bpm
synthetic72,old/chrom/offline_ridge,old,chrom,offline_ridge,synthetic_72bpm_modulation,11,11,7,7,7,0.0,0.0,0.0,0.0,7,7,100.0,100.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,63.63636363636363,63.63636363636363,rppg_metrics_review_20260908/synthetic72/chrom_heart_rate.csv,ridge_bpm
synthetic72,new/pos/local_peak,new,pos,local_peak,synthetic_72bpm_modulation,11,11,7,7,7,0.0,0.0,0.0,0.0,7,7,100.0,100.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,63.63636363636363,63.63636363636363,rppg_motion_v2/validation/synthetic72/pos_heart_rate.csv,spectral_peak_bpm
synthetic72,new/pos/offline_ridge,new,pos,offline_ridge,synthetic_72bpm_modulation,11,11,7,7,7,0.0,0.0,0.0,0.0,7,7,100.0,100.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,63.63636363636363,63.63636363636363,rppg_motion_v2/validation/synthetic72/pos_heart_rate.csv,ridge_bpm
synthetic72,new/chrom/local_peak,new,chrom,local_peak,synthetic_72bpm_modulation,11,11,7,7,7,0.0,0.0,0.0,0.0,7,7,100.0,100.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,63.63636363636363,63.63636363636363,rppg_motion_v2/validation/synthetic72/chrom_heart_rate.csv,spectral_peak_bpm
synthetic72,new/chrom/offline_ridge,new,chrom,offline_ridge,synthetic_72bpm_modulation,11,11,7,7,7,0.0,0.0,0.0,0.0,7,7,100.0,100.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,63.63636363636363,63.63636363636363,rppg_motion_v2/validation/synthetic72/chrom_heart_rate.csv,ridge_bpm
synthetic72,new/fusion/forward_ridge,new,fusion,forward_ridge,synthetic_72bpm_modulation,11,11,7,7,7,0.0,0.0,0.0,0.0,7,7,100.0,100.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,63.63636363636363,63.63636363636363,rppg_motion_v2/validation/synthetic72/fusion_heart_rate.csv,ridge_bpm
