case,branch,version,method,estimator,reference_kind,scope,comparison,Nplanned_original,Nref_original,Noutput_own,Nvalid_own,Ncommon_output,Ncommon_ref,Nscored,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm
user0904,old/pos/local_peak,old,pos,local_peak,none,all_9_branches_common,all_9_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,old/pos/offline_ridge,old,pos,offline_ridge,none,all_9_branches_common,all_9_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,old/chrom/local_peak,old,chrom,local_peak,none,all_9_branches_common,all_9_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,old/chrom/offline_ridge,old,chrom,offline_ridge,none,all_9_branches_common,all_9_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,new/pos/local_peak,new,pos,local_peak,none,all_9_branches_common,all_9_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,new/pos/offline_ridge,new,pos,offline_ridge,none,all_9_branches_common,all_9_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,new/chrom/local_peak,new,chrom,local_peak,none,all_9_branches_common,all_9_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,new/chrom/offline_ridge,new,chrom,offline_ridge,none,all_9_branches_common,all_9_branches,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,new/fusion/forward_ridge,new,fusion,forward_ridge,none,all_9_branches_common,all_9_branches,39,0,31,0,31,0,0,,,,,0,0,,,,,,
user0904,old/pos/local_peak,old,pos,local_peak,none,pair_common,new/pos/local_peak minus old/pos/local_peak,39,0,36,0,36,0,0,,,,,0,0,,,,,,
user0904,new/pos/local_peak,new,pos,local_peak,none,pair_common,new/pos/local_peak minus old/pos/local_peak,39,0,36,0,36,0,0,,,,,0,0,,,,,,
user0904,old/pos/offline_ridge,old,pos,offline_ridge,none,pair_common,new/pos/offline_ridge minus old/pos/offline_ridge,39,0,36,0,36,0,0,,,,,0,0,,,,,,
user0904,new/pos/offline_ridge,new,pos,offline_ridge,none,pair_common,new/pos/offline_ridge minus old/pos/offline_ridge,39,0,36,0,36,0,0,,,,,0,0,,,,,,
user0904,old/chrom/local_peak,old,chrom,local_peak,none,pair_common,new/chrom/local_peak minus old/chrom/local_peak,39,0,36,0,36,0,0,,,,,0,0,,,,,,
user0904,new/chrom/local_peak,new,chrom,local_peak,none,pair_common,new/chrom/local_peak minus old/chrom/local_peak,39,0,36,0,36,0,0,,,,,0,0,,,,,,
user0904,old/chrom/offline_ridge,old,chrom,offline_ridge,none,pair_common,new/chrom/offline_ridge minus old/chrom/offline_ridge,39,0,36,0,36,0,0,,,,,0,0,,,,,,
user0904,new/chrom/offline_ridge,new,chrom,offline_ridge,none,pair_common,new/chrom/offline_ridge minus old/chrom/offline_ridge,39,0,36,0,36,0,0,,,,,0,0,,,,,,
user0904,old/pos/offline_ridge,old,pos,offline_ridge,none,pair_common,new/fusion/forward_ridge minus old/pos/offline_ridge,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,new/fusion/forward_ridge,new,fusion,forward_ridge,none,pair_common,new/fusion/forward_ridge minus old/pos/offline_ridge,39,0,31,0,31,0,0,,,,,0,0,,,,,,
user0904,old/chrom/offline_ridge,old,chrom,offline_ridge,none,pair_common,new/fusion/forward_ridge minus old/chrom/offline_ridge,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,new/fusion/forward_ridge,new,fusion,forward_ridge,none,pair_common,new/fusion/forward_ridge minus old/chrom/offline_ridge,39,0,31,0,31,0,0,,,,,0,0,,,,,,
user0904,new/pos/offline_ridge,new,pos,offline_ridge,none,pair_common,new/fusion/forward_ridge minus new/pos/offline_ridge,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,new/fusion/forward_ridge,new,fusion,forward_ridge,none,pair_common,new/fusion/forward_ridge minus new/pos/offline_ridge,39,0,31,0,31,0,0,,,,,0,0,,,,,,
user0904,new/chrom/offline_ridge,new,chrom,offline_ridge,none,pair_common,new/fusion/forward_ridge minus new/chrom/offline_ridge,39,0,36,0,31,0,0,,,,,0,0,,,,,,
user0904,new/fusion/forward_ridge,new,fusion,forward_ridge,none,pair_common,new/fusion/forward_ridge minus new/chrom/offline_ridge,39,0,31,0,31,0,0,,,,,0,0,,,,,,
user0907,old/pos/local_peak,old,pos,local_peak,none,all_9_branches_common,all_9_branches,42,0,14,0,12,0,0,,,,,0,0,,,,,,
user0907,old/pos/offline_ridge,old,pos,offline_ridge,none,all_9_branches_common,all_9_branches,42,0,14,0,12,0,0,,,,,0,0,,,,,,
user0907,old/chrom/local_peak,old,chrom,local_peak,none,all_9_branches_common,all_9_branches,42,0,14,0,12,0,0,,,,,0,0,,,,,,
user0907,old/chrom/offline_ridge,old,chrom,offline_ridge,none,all_9_branches_common,all_9_branches,42,0,14,0,12,0,0,,,,,0,0,,,,,,
user0907,new/pos/local_peak,new,pos,local_peak,none,all_9_branches_common,all_9_branches,42,0,14,0,12,0,0,,,,,0,0,,,,,,
