method,time_s,waveform_r
POS,8.01322958575945,0.5549860374682453
POS,9.004204673124159,0.4671919875733489
POS,9.995179760488867,0.4864655970868755
POS,10.986154847853575,0.44086073786187957
POS,11.977129935218283,0.529968579631358
POS,12.968105022582991,0.5036987869594801
POS,13.959080109947699,0.46811701005637213
POS,14.950055197312407,0.5154953433629303
POS,15.941030284677115,0.49143370903473416
POS,16.932005372041825,0.43356631294607073
POS,17.92298045940653,0.41559646337404244
POS,18.91395554677124,0.48896927175309207
POS,19.904930634135948,0.4739585802884211
POS,20.895905721500657,0.49248192592764506
POS,21.886880808865364,0.5198150328100917
POS,22.877855896230074,0.5509469219903244
POS,23.86883098359478,0.6001839627704899
POS,24.85980607095949,0.5454611901194794
POS,25.850781158324196,0.5135211246164417
POS,26.841756245688906,0.5639949044782687
POS,27.832731333053612,0.5505535120200282
POS,28.823706420418322,0.5075069928519632
POS,29.81468150778303,0.4838171605551452
POS,30.805656595147738,0.4944689963526378
POS,31.796631682512444,0.4868066861889026
POS,32.78760676987715,0.45719846076677895
POS,33.77858185724186,0.40294031098142546
POS,34.76955694460657,0.4684731708065587
POS,35.76053203197128,0.4957183234574376
POS,36.75150711933598,0.5059421198011568
POS,37.74248220670069,0.524051305152382
POS,38.7334572940654,0.5314594180153029
POS,39.72443238143011,0.5944232810004856
POS,40.715407468794815,0.49321175043755355
POS,41.706382556159525,0.44227240934490425
POS,42.697357643524235,0.44871140688022093
POS,43.688332730888945,0.40004130188010867
