method,time_s,waveform_r
CHROM,8.01322958575945,0.5808593235439095
CHROM,9.004204673124159,0.5684027358558177
CHROM,9.995179760488867,0.4907692126125601
CHROM,10.986154847853575,0.4724077759183162
CHROM,11.977129935218283,0.47404905945164216
CHROM,12.968105022582991,0.5243489414736144
CHROM,13.959080109947699,0.4842674766040964
CHROM,14.950055197312407,0.4407402090580624
CHROM,15.941030284677115,0.4531212088471398
CHROM,16.932005372041825,0.44300641082140324
CHROM,17.92298045940653,0.4797718660701879
CHROM,18.91395554677124,0.4472327868432058
CHROM,19.904930634135948,0.49823331171545326
CHROM,20.895905721500657,0.47279041352491497
CHROM,21.886880808865364,0.5179064141465378
CHROM,22.877855896230074,0.5472944955946527
CHROM,23.86883098359478,0.5387642616810676
CHROM,24.85980607095949,0.5536192361931632
CHROM,25.850781158324196,0.5380354105937029
CHROM,26.841756245688906,0.5620058724174825
CHROM,27.832731333053612,0.5802910643961181
CHROM,28.823706420418322,0.5853627647871313
CHROM,29.81468150778303,0.6011405330867506
CHROM,30.805656595147738,0.5603241876510525
CHROM,31.796631682512444,0.6025020339015383
CHROM,32.78760676987715,0.5463774459806509
CHROM,33.77858185724186,0.5733893479063633
CHROM,34.76955694460657,0.5594991461331631
CHROM,35.76053203197128,0.5535645761962829
CHROM,36.75150711933598,0.5346470547297658
CHROM,37.74248220670069,0.5386021828944686
CHROM,38.7334572940654,0.5628556252786634
CHROM,39.72443238143011,0.5947421806687803
CHROM,40.715407468794815,0.5799797735474913
CHROM,41.706382556159525,0.5368302567058773
CHROM,42.697357643524235,0.5061432307246277
CHROM,43.688332730888945,0.4901655602064784
CHROM,44.67930781825365,0.48115367101063905
