window_index,time_s,channel,roi,method,channel_status,observed_fraction,roi_quality,signal_std,candidate_rank,candidate_bpm,relative_power,peak_concentration,prominence_ratio,candidate_weight,motion_overlap,motion_weight,selected_consensus,output_accepted,waveform_weight,motion_available,motion_observed_fraction,motion_speed_face_per_s,motion_strength,motion_reliability,motion_spectral_coverage,motion_evidence_status,branch,original_channel
1,5.999994,left_cheek_tracked_logchrom,left_cheek,tracked_logchrom,gap_or_filter_edge,1.0,1.0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logchrom
1,5.999994,right_cheek_tracked_logpos,right_cheek,tracked_logpos,gap_or_filter_edge,1.0,1.0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_logpos
1,5.999994,right_cheek_tracked_logchrom,right_cheek,tracked_logchrom,gap_or_filter_edge,1.0,1.0,,0,,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_logchrom
2,6.999993,forehead_baseline_logpos,forehead,baseline_logpos,usable,1.0,1.0,0.7796557551180583,1,56.0,1.0,0.2251509214801318,1.0,0.47450070756547014,0.22151434149504848,0.9446214146262378,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_logpos
2,6.999993,forehead_baseline_logpos,forehead,baseline_logpos,usable,1.0,1.0,0.7796557551180583,2,133.0,0.7904328385371375,0.1518416203961871,0.7890858121670907,0.34643989813218207,0.19710636535749676,0.9507234086606258,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_logpos
2,6.999993,forehead_baseline_logchrom,forehead,baseline_logchrom,usable,1.0,1.0,0.8740253224649176,1,68.0,1.0,0.1655009038939627,1.0,0.40681802306923753,0.31035371830466424,0.9224115704238339,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_logchrom
2,6.999993,forehead_baseline_logchrom,forehead,baseline_logchrom,usable,1.0,1.0,0.8740253224649176,2,145.0,0.9834628747399715,0.15500500731113032,0.9823985653369341,0.3904377928547575,0.5084712119570162,0.872882197010746,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_logchrom
2,6.999993,left_cheek_baseline_logpos,left_cheek,baseline_logpos,usable,1.0,1.0,0.7709573169380219,1,104.0,1.0,0.2404350181898661,1.0,0.49034173612886156,0.4091084879195909,0.8977228780201023,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_logpos
2,6.999993,left_cheek_baseline_logpos,left_cheek,baseline_logpos,usable,1.0,1.0,0.7709573169380219,2,162.0,0.9380938537095662,0.20935579352153016,0.830200005143778,0.44316518719438747,0.4943834370994556,0.8764041407251361,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_logpos
2,6.999993,left_cheek_baseline_logchrom,left_cheek,baseline_logchrom,usable,1.0,1.0,0.9341304356621439,1,161.0,1.0,0.2540963475385093,1.0,0.5040797035573931,0.48337343518037196,0.879156641204907,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_logchrom
2,6.999993,left_cheek_baseline_logchrom,left_cheek,baseline_logchrom,usable,1.0,1.0,0.9341304356621439,2,105.0,0.7575533188069051,0.2204451796149804,0.7378271001405788,0.4086550836981142,0.3780195968712778,0.9054951007821805,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_logchrom
2,6.999993,right_cheek_baseline_logpos,right_cheek,baseline_logpos,usable,1.0,1.0,0.6400735213530275,1,89.0,1.0,0.2367988311428282,1.0,0.4866198014290296,0.5493992421106073,0.8626501894723482,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_logpos
2,6.999993,right_cheek_baseline_logpos,right_cheek,baseline_logpos,usable,1.0,1.0,0.6400735213530275,2,169.0,0.7087468086154389,0.16366165156494342,0.6978288729266138,0.340579907274909,0.41891654000242634,0.8952708649993935,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_logpos
2,6.999993,right_cheek_baseline_logchrom,right_cheek,baseline_logchrom,usable,1.0,1.0,0.8356468358593881,1,88.0,1.0,0.2194866301422707,1.0,0.46849400224791643,0.49208991406640135,0.8769775214833997,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_logchrom
2,6.999993,right_cheek_baseline_logchrom,right_cheek,baseline_logchrom,usable,1.0,1.0,0.8356468358593881,2,192.0,0.6254538290703634,0.16129343617970784,0.6199491140884773,0.3176186349421497,0.9558191490864981,0.7610452127283754,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_logchrom
