roi,rgb_source,method,run_start_frame,run_end_frame,window_start_frame,window_end_frame,window_start_s,window_end_s,observed_fraction,interpolated_fraction,status,alpha_raw,alpha,first_std,second_std,output_std,cancellation_fraction,colour_covariance_rank_ratio,common_log_std,chromatic_log_std,max_signed_coefficient_l1,branch
forehead,baseline,logpos,0,1393,0,48,0.0,1.5999983999999998,1.0,0.0,bounded_log_projection,0.4363963213444245,0.4363963213444245,0.0026219199750856276,0.0060081165831283095,0.0019221548579741005,0.319926358182163,0.13996555478385597,0.002457813723289429,0.00177515035268879,1.0,baseline
forehead,baseline,logchrom,0,1393,0,48,0.0,1.5999983999999998,1.0,0.0,bounded_log_projection,1.25434443760176,1.25434443760176,0.007234016123679883,0.005767168814899788,0.002687667764894645,0.3715319013593034,0.19688917673441209,0.002457813723289429,0.00177515035268879,1.0,baseline
forehead,baseline,logpos,0,1393,24,72,0.7999991999999999,2.3999976,1.0,0.0,bounded_log_projection,0.17233205682544625,0.25,0.003218835175194668,0.018678098750106606,0.0027413252711902046,0.14676682610292754,0.01555371919214013,0.015588508833766447,0.004594405248499681,1.0,baseline
forehead,baseline,logchrom,0,1393,24,72,0.7999991999999999,2.3999976,1.0,0.0,bounded_log_projection,1.6378110203403848,1.6378110203403848,0.022839701230315722,0.013945260440101916,0.0027326073041013367,0.11964286557629208,0.019987551648773794,0.015588508833766447,0.004594405248499681,1.0,baseline
forehead,baseline,logpos,0,1393,48,96,1.5999983999999998,3.1999967999999996,1.0,0.0,bounded_log_projection,0.26598589611000795,0.26598589611000795,0.003161669394338961,0.011886605419978132,0.0023073941090177106,0.19411716192241163,0.045270831031503436,0.009842632333391672,0.0030847280493095926,1.0,baseline
forehead,baseline,logchrom,0,1393,48,96,1.5999983999999998,3.1999967999999996,1.0,0.0,bounded_log_projection,1.4635883128935168,1.4635883128935168,0.014273668753240123,0.009752516214768792,0.0029846061024467584,0.20909873656478492,0.06045189909765706,0.009842632333391672,0.0030847280493095926,1.0,baseline
forehead,baseline,logpos,0,1393,72,120,2.3999976,3.999996,1.0,0.0,bounded_log_projection,0.608850422957601,0.608850422957601,0.0036075114327444014,0.0059251193671185495,0.0015906120075646973,0.26845231446167966,0.10621047306932031,0.0026120364093567792,0.002029634008150621,1.0,baseline
forehead,baseline,logchrom,0,1393,72,120,2.3999976,3.999996,1.0,0.0,bounded_log_projection,0.767627757113856,0.767627757113856,0.00572434332334492,0.007457186468696018,0.002652563932461352,0.3557057267638885,0.18200434132580626,0.0026120364093567792,0.002029634008150621,1.0,baseline
forehead,baseline,logpos,0,1393,96,144,3.1999967999999996,4.7999952,1.0,0.0,bounded_log_projection,0.44242651128214416,0.44242651128214416,0.0030717501557584875,0.006942961322224136,0.002042777266138692,0.29422276336177267,0.12212978072488538,0.00421973458943798,0.0020617099022697317,1.0,baseline
forehead,baseline,logchrom,0,1393,96,144,3.1999967999999996,4.7999952,1.0,0.0,bounded_log_projection,1.1592763537098507,1.1592763537098507,0.008026592024060948,0.006923795174787015,0.0029416993651540393,0.36649419284496354,0.17987022013439932,0.00421973458943798,0.0020617099022697317,1.0,baseline
forehead,baseline,logpos,0,1393,120,168,3.999996,5.5999944,1.0,0.0,bounded_log_projection,0.5519772135945156,0.5519772135945156,0.002890394912940468,0.0052364388270994145,0.0019557527632786805,0.3734890882630663,0.20896238206904771,0.003214474148981239,0.0017075557555271594,1.0,baseline
