time_s,base
0.0,
0.033333299999999996,
0.06666659999999999,
0.09999989999999999,
0.13333319999999999,
0.1666665,
0.19999979999999998,
0.2333331,
0.26666639999999997,
0.2999997,
0.333333,
0.3666663,
0.39999959999999996,
0.43333289999999997,
0.4666662,
0.4999995,
0.5333327999999999,
0.5666661,
0.5999994,
0.6333327,
0.666666,
0.6999993,
0.7333326,
0.7666659,
0.7999991999999999,
0.8333324999999999,
0.8666657999999999,
0.8999990999999999,
0.9333324,
0.9666657,
0.999999,
1.0333322999999999,
1.0666655999999999,
1.0999989,
1.1333322,
1.1666655,
1.1999988,
1.2333321,
1.2666654,
1.2999987,
1.333332,
1.3666653,
1.3999986,
1.4333319,
1.4666652,
1.4999985,
1.5333318,
1.5666650999999998,
1.5999983999999998,
1.6333316999999998,
1.6666649999999998,
1.6999982999999999,
1.7333315999999999,
1.7666648999999999,
1.7999981999999999,
1.8333315,
1.8666648,
1.8999981,
1.9333314,
1.9666647,
1.999998,
2.0333313,
2.0666645999999997,
2.0999979,
2.1333311999999998,
2.1666645,
2.1999978,
2.2333311,
2.2666644,
2.2999977,
2.333331,
2.3666643,
2.3999976,
2.4333309,
2.4666642,
2.4999975,
2.5333308,
2.5666640999999997,
2.5999974,
2.6333306999999997,
2.666664,
2.6999972999999997,
2.7333306,
2.7666638999999997,
2.7999972,
2.8333304999999998,
2.8666638,
2.8999970999999998,
2.9333304,
2.9666637,
2.999997,
3.0333303,
3.0666636,
3.0999969,
3.1333301999999996,
3.1666635,
3.1999967999999996,
3.2333301,
3.2666633999999997,
3.2999967,
3.3333299999999997,
3.3666633,
3.3999965999999997,
3.4333299,
3.4666631999999997,
3.4999965,
3.5333297999999997,
3.5666631,
3.5999963999999998,
3.6333297,
3.666663,
3.6999963,
3.7333296,
3.7666628999999996,
3.7999962,
3.8333294999999996,
3.8666628,
3.8999960999999996,
3.9333294,
3.9666626999999997,
3.999996,-1.3062770711106375
4.0333293,-1.5281944088741033
4.0666626,-1.4298300184189594
4.0999959,-1.0177914639835397
4.1333291999999995,-0.3945626511675037
4.1666625,0.27025359092179935
4.1999958,0.794311638132243
4.2333291,1.044945701978044
4.2666623999999995,0.9876642213624405
4.2999957,0.6968245126882868
4.333329,0.320569304564439
4.3666623,0.01772350384978587
4.3999956,-0.10398370256340368
4.433328899999999,-0.025960736932537868
4.4666622,0.1784511625992628
4.4999955,0.37875077464114076
4.5333288,0.4488322141092409
4.566662099999999,0.33050556611072013
4.5999954,0.06827211679318275
4.6333287,-0.20755690432059073
4.666662,-0.3473056449036277
4.699995299999999,-0.26199185244091255
4.7333286,0.03150531549153604
4.7666619,0.42061694049012455
4.7999952,0.7439424938137441
4.8333284999999995,0.8470865071370741
4.8666618,0.6364305943224422
4.8999951,0.12565568716139522
4.9333284,-0.5470589181710864
4.9666616999999995,-1.1556900033880393
4.999995,-1.4679552644568257
5.0333283,-1.3369403353622156
5.0666616,-0.7716718933485526
5.0999948999999996,0.042538120495251165
5.133328199999999,0.8009036892501672
5.1666615,1.2051109808848615
5.1999948,1.0972072178956451
5.2333281,0.5326013181259094
5.266661399999999,-0.23276930779258184
5.2999947,-0.8310087769022921
5.333328,-0.9301096381366477
5.3666613,-0.39791027970439913
5.399994599999999,0.6083906210836801
5.4333279,1.7019988317077703
5.4666612,2.4507145439959173
