case,window_index,time_s,Polar_reference_bpm,V25_ridge_bpm,candidate_ridge_bpm,candidate_variant,V25_accepted,candidate_accepted
data3,51,55.999944,95.4,100.0,100.0,conservative_components,True,True
data3,52,56.999943,95.2,98.0,98.0,conservative_components,True,True
data3,53,57.999942,95.3,96.0,96.0,conservative_components,True,True
data3,54,58.999941,95.7,94.0,94.0,conservative_components,True,True
data3,55,59.99994,96.1,93.0,93.0,conservative_components,True,True
data3,56,60.999939,96.6,92.0,92.0,conservative_components,True,True
data3,57,61.999938,97.0,91.0,91.0,conservative_components,True,True
data3,58,62.999937,97.2,90.0,90.0,conservative_components,True,True
data3,59,63.999936,97.3,89.0,89.0,conservative_components,True,True
data3,60,64.999935,97.3,89.0,89.0,conservative_components,True,True
data3,61,65.999934,97.2,89.0,89.0,conservative_components,True,True
data3,62,66.999933,97.0,90.0,90.0,conservative_components,True,True
data3,63,67.999932,96.7,,,conservative_components,False,False
data3,64,68.99993099999999,96.4,,,conservative_components,False,False
data4,0,4.99995,79.5,,,conservative_components,False,False
data4,1,5.99994,79.2,,,conservative_components,False,False
data4,2,6.99993,79.0,74.0,74.0,conservative_components,True,True
data4,3,7.999919999999999,78.7,74.0,74.0,conservative_components,True,True
data4,4,8.99991,78.4,74.0,74.0,conservative_components,True,True
data4,5,9.9999,78.2,74.0,74.0,conservative_components,True,True
data4,6,10.99989,77.9,74.0,74.0,conservative_components,True,True
data4,7,11.99988,77.6,74.0,74.0,conservative_components,True,True
data4,8,12.99987,77.2,74.0,74.0,conservative_components,True,True
data4,9,13.99986,76.8,75.0,75.0,conservative_components,True,True
data4,10,14.99985,76.3,76.0,76.0,conservative_components,True,True
data4,11,15.99984,75.9,77.0,77.0,conservative_components,True,True
data4,12,16.99983,75.5,78.0,78.0,conservative_components,True,True
data4,13,17.99982,75.2,79.0,79.0,conservative_components,True,True
data4,14,18.99981,75.0,79.0,79.0,conservative_components,True,True
data4,15,19.9998,74.9,79.0,79.0,conservative_components,True,True
data4,16,20.99979,75.0,78.0,78.0,conservative_components,True,True
data4,17,21.99978,75.2,77.0,77.0,conservative_components,True,True
data4,18,22.99977,75.6,76.0,76.0,conservative_components,True,True
data4,19,23.99976,76.0,75.0,75.0,conservative_components,True,True
data4,20,24.99975,76.5,75.0,75.0,conservative_components,True,True
data4,21,25.99974,76.9,75.0,75.0,conservative_components,True,True
data4,22,26.99973,77.2,75.0,75.0,conservative_components,True,True
data4,23,27.99972,77.4,75.0,75.0,conservative_components,True,True
data4,24,28.99971,77.5,75.0,75.0,conservative_components,True,True
data4,25,29.9997,77.4,76.0,76.0,conservative_components,True,True
data4,26,30.99969,77.3,77.0,77.0,conservative_components,True,True
data4,27,31.99968,77.1,78.0,78.0,conservative_components,True,True
data4,28,32.99967,76.8,79.0,79.0,conservative_components,True,True
data4,29,33.99966,76.5,79.0,79.0,conservative_components,True,True
data4,30,34.99965,76.2,79.0,79.0,conservative_components,True,True
data4,31,35.99964,76.0,79.0,79.0,conservative_components,True,True
data4,32,36.99963,76.0,79.0,79.0,conservative_components,True,True
data4,33,37.99962,76.1,79.0,79.0,conservative_components,True,True
data4,34,38.99961,76.3,79.0,79.0,conservative_components,True,True
data4,35,39.9996,76.6,79.0,79.0,conservative_components,True,True
data4,36,40.99959,76.9,78.0,78.0,conservative_components,True,True
data4,37,41.99958,77.2,77.0,77.0,conservative_components,True,True
data4,38,42.99957,77.5,76.0,76.0,conservative_components,True,True
data4,39,43.99956,77.8,75.0,75.0,conservative_components,True,True
data4,40,44.99955,78.1,75.0,75.0,conservative_components,True,True
data4,41,45.99954,78.3,75.0,75.0,conservative_components,True,True
data4,42,46.99953,78.3,75.0,75.0,conservative_components,True,True
data4,43,47.99952,78.3,76.0,76.0,conservative_components,True,True
data4,44,48.99951,78.1,78.0,78.0,conservative_components,True,True
data4,45,49.9995,77.8,80.0,80.0,conservative_components,True,True
data4,46,50.99949,77.5,82.0,82.0,conservative_components,True,True
data4,47,51.99948,77.2,83.0,83.0,conservative_components,True,True
data4,48,52.99947,77.0,,,conservative_components,False,False
data4,49,53.99946,76.9,,,conservative_components,False,False
data5,0,4.999995,89.8,,,conservative_components,False,False
data5,1,5.999994,89.3,,,conservative_components,False,False
data5,2,6.999993,88.7,182.0,182.0,conservative_components,True,True
data5,3,7.999992,88.1,182.0,182.0,conservative_components,True,True
data5,4,8.999991,87.5,182.0,182.0,conservative_components,True,True
data5,5,9.99999,86.9,182.0,182.0,conservative_components,True,True
data5,6,10.999989,86.5,182.0,182.0,conservative_components,True,True
data5,7,11.999988,86.2,182.0,182.0,conservative_components,True,True
data5,8,12.999987,86.2,182.0,182.0,conservative_components,True,True
data5,9,13.999986,86.5,182.0,182.0,conservative_components,True,True
data5,10,14.999985,86.9,97.0,97.0,conservative_components,True,True
data5,11,15.999984,87.5,97.0,97.0,conservative_components,True,True
data5,12,16.999983,88.3,98.0,98.0,conservative_components,True,True
data5,13,17.999982,89.2,98.0,98.0,conservative_components,True,True
data5,14,18.999981,90.2,98.0,98.0,conservative_components,True,True
data5,15,19.99998,91.3,98.0,98.0,conservative_components,True,True
data5,16,20.999979,92.5,98.0,98.0,conservative_components,True,True
data5,17,21.999978,93.7,98.0,98.0,conservative_components,True,True
data5,18,22.999977,94.7,99.0,99.0,conservative_components,True,True
data5,19,23.999976,95.6,100.0,100.0,conservative_components,True,True
data5,20,24.999975,96.4,101.0,101.0,conservative_components,True,True
data5,21,25.999974,97.1,102.0,102.0,conservative_components,True,True
data5,22,26.999973,97.7,102.0,102.0,conservative_components,True,True
data5,23,27.999972,98.2,102.0,103.0,conservative_components,True,True
data5,24,28.999971,98.6,102.0,104.0,conservative_components,True,True
data5,25,29.99997,99.0,186.0,105.0,conservative_components,True,True
data5,26,30.999969,99.2,186.0,105.0,conservative_components,True,True
data5,27,31.999968,99.4,186.0,105.0,conservative_components,True,True
data5,28,32.999967,99.6,186.0,105.0,conservative_components,True,True
data5,29,33.999966,99.9,186.0,105.0,conservative_components,True,True
data5,30,34.999965,100.2,185.0,105.0,conservative_components,True,True
data5,31,35.999964,100.6,185.0,105.0,conservative_components,True,True
data5,32,36.999963,101.0,184.0,105.0,conservative_components,True,True
data5,33,37.999962,101.5,184.0,105.0,conservative_components,True,True
data5,34,38.999961,102.0,184.0,105.0,conservative_components,True,True
data5,35,39.99996,102.4,184.0,105.0,conservative_components,True,True
data5,36,40.999959,102.8,184.0,105.0,conservative_components,True,True
data5,37,41.999958,103.2,184.0,106.0,conservative_components,True,True
data5,38,42.999957,103.6,184.0,107.0,conservative_components,True,True
data5,39,43.999956,103.9,184.0,107.0,conservative_components,True,True
data5,40,44.999955,104.2,184.0,107.0,conservative_components,True,True
data5,41,45.999954,104.4,184.0,108.0,conservative_components,True,True
data5,42,46.999953,104.7,185.0,109.0,conservative_components,True,True
data5,43,47.999952,104.9,185.0,109.0,conservative_components,True,True
data5,44,48.999951,105.1,185.0,109.0,conservative_components,True,True
data5,45,49.99995,105.4,185.0,109.0,conservative_components,True,True
data5,46,50.999949,105.7,185.0,109.0,conservative_components,True,True
data5,47,51.999948,105.9,185.0,109.0,conservative_components,True,True
data5,48,52.999947,106.2,184.0,109.0,conservative_components,True,True
data5,49,53.999946,106.5,184.0,109.0,conservative_components,True,True
data5,50,54.999945,106.8,184.0,109.0,conservative_components,True,True
data5,51,55.999944,107.2,,,conservative_components,False,False
data5,52,56.999943,107.5,,,conservative_components,False,False
data6,0,4.999995,115.9,,,conservative_components,False,False
data6,1,5.999994,116.5,,,conservative_components,False,False
data6,2,6.999993,116.9,,,conservative_components,False,False
data6,3,7.999992,117.1,,,conservative_components,False,False
data6,4,8.999991,117.1,,,conservative_components,False,False
data6,5,9.99999,116.8,,,conservative_components,False,False
data6,6,10.999989,116.2,,,conservative_components,False,False
data6,7,11.999988,115.5,,,conservative_components,False,False
data6,8,12.999987,114.6,,,conservative_components,False,False
data6,9,13.999986,113.6,93.0,93.0,conservative_components,True,True
data6,10,14.999985,112.5,93.0,93.0,conservative_components,True,True
data6,11,15.999984,111.5,93.0,93.0,conservative_components,True,True
data6,12,16.999983,110.5,93.0,93.0,conservative_components,True,True
data6,13,17.999982,109.6,92.0,92.0,conservative_components,True,True
data6,14,18.999981,108.7,91.0,91.0,conservative_components,True,True
data6,15,19.99998,107.9,90.0,90.0,conservative_components,True,True
data6,16,20.999979,107.3,88.0,88.0,conservative_components,True,True
data6,17,21.999978,106.7,83.0,83.0,conservative_components,True,True
data6,18,22.999977,106.4,83.0,83.0,conservative_components,True,True
data6,19,23.999976,106.3,90.0,90.0,conservative_components,True,True
data6,20,24.999975,106.4,92.0,92.0,conservative_components,True,True
data6,21,25.999974,106.6,92.0,92.0,conservative_components,True,True
data6,22,26.999973,107.0,91.0,91.0,conservative_components,True,True
data6,23,27.999972,107.7,90.0,90.0,conservative_components,True,True
data6,24,28.999971,108.6,89.0,89.0,conservative_components,True,True
data6,25,29.99997,109.7,77.0,77.0,conservative_components,True,True
data6,26,30.999969,110.8,79.0,79.0,conservative_components,True,True
data6,27,31.999968,112.0,81.0,81.0,conservative_components,True,True
data6,28,32.999967,113.1,83.0,83.0,conservative_components,True,True
data6,29,33.999966,114.1,86.0,86.0,conservative_components,True,True
data6,30,34.999965,115.1,89.0,89.0,conservative_components,True,True
data6,31,35.999964,116.0,91.0,91.0,conservative_components,True,True
data6,32,36.999963,116.9,93.0,93.0,conservative_components,True,True
data6,33,37.999962,117.6,94.0,94.0,conservative_components,True,True
data6,34,38.999961,118.3,94.0,94.0,conservative_components,True,True
data6,35,39.99996,118.9,94.0,94.0,conservative_components,True,True
data6,36,40.999959,119.5,94.0,94.0,conservative_components,True,True
data6,37,41.999958,120.0,94.0,94.0,conservative_components,True,True
data6,38,42.999957,120.4,94.0,94.0,conservative_components,True,True
data6,39,43.999956,120.9,94.0,94.0,conservative_components,True,True
data6,40,44.999955,121.3,,,conservative_components,False,False
data6,41,45.999954,121.7,,,conservative_components,False,False
data6,42,46.999953,122.0,,,conservative_components,False,False
data6,43,47.999952,122.3,,,conservative_components,False,False
data6,44,48.999951,122.5,,,conservative_components,False,False
data6,45,49.99995,122.7,,,conservative_components,False,False
data6,46,50.999949,122.8,,,conservative_components,False,False
data6,47,51.999948,122.9,,,conservative_components,False,False
data6,48,52.999947,123.0,,,conservative_components,False,False
data6,49,53.999946,123.0,,,conservative_components,False,False
data6,50,54.999945,123.1,,,conservative_components,False,False
data6,51,55.999944,123.3,,,conservative_components,False,False
data6,52,56.999943,123.6,,,conservative_components,False,False
data6,53,57.999942,123.9,,,conservative_components,False,False
data6,54,58.999941,124.4,,,conservative_components,False,False
data6,55,59.99994,124.9,82.0,82.0,conservative_components,True,True
data6,56,60.999939,125.6,81.0,81.0,conservative_components,True,True
data6,57,61.999938,126.4,79.0,79.0,conservative_components,True,True
data6,58,62.999937,127.3,78.0,78.0,conservative_components,True,True
data6,59,63.999936,128.3,77.0,77.0,conservative_components,True,True
data6,60,64.999935,129.3,,,conservative_components,False,False
data6,61,65.999934,130.3,,,conservative_components,False,False
