mode,gap,case,roi,frames,valid_frames,longest_run_frames,longest_run_s,tracked_frames,fallback_frames,reset_frames,screened_frames,screened_points,r_relative_gain_min,r_relative_gain_max,r_log_offset_p95_minus_p05,r_longest_run_end_minus_start,r_mean_pair_difference_vs_baseline,r_offset_power_below_0p7Hz_fraction,g_relative_gain_min,g_relative_gain_max,g_log_offset_p95_minus_p05,g_longest_run_end_minus_start,g_mean_pair_difference_vs_baseline,g_offset_power_below_0p7Hz_fraction,b_relative_gain_min,b_relative_gain_max,b_log_offset_p95_minus_p05,b_longest_run_end_minus_start,b_mean_pair_difference_vs_baseline,b_offset_power_below_0p7Hz_fraction
tracking_only,gap10,user0904,forehead,1461,1461,1461,48.699951299999995,1460,0,1,0,0,1.0,1.1460112754670841,0.06271435918561616,0.056222865918258494,3.850881227277979e-05,0.8833680131921113,1.0,1.2994072497181062,0.12564229593682819,0.14586829619364433,9.990979191345503e-05,0.894117499339328,1.0,1.342824194659593,0.16634865891795303,0.20195631075946607,0.00013832624024620965,0.9090792830678412
tracking_only,gap10,user0904,left_cheek,1461,1461,1461,48.699951299999995,1460,0,1,0,0,0.9537455063594205,1.1346016914338455,0.07990743267098077,0.11536471904019928,7.901693084945161e-05,0.8968432268399518,0.94892236811365,1.1642440547463415,0.06852218536047393,0.1415098681113936,9.692456719958466e-05,0.8642062587717078,0.9306588922626446,1.1296016853165887,0.09559023947192224,0.11339762807757768,7.766960827231345e-05,0.8863635699978416
tracking_only,gap10,user0904,right_cheek,1461,1461,1461,48.699951299999995,1460,0,1,0,0,0.9771171351234531,1.052585188265387,0.04539283368789216,-0.014883461287165877,-1.0194151566551972e-05,0.8696616360215678,0.974841401827665,1.0672517257475695,0.04782556053700276,-0.023260360930129727,-1.5931754061732713e-05,0.8200802906307553,0.9763127359409159,1.1190486246761242,0.10437924609482399,0.005820870457399906,3.986897573561595e-06,0.7997383013571686
tracking_only,gap10,user0907,forehead,1557,1415,96,3.1999967999999996,1078,277,60,0,0,0.7336971851834587,1.0402346650720788,0.2293780436916702,-0.2607406440193778,-0.002744638358098714,0.9382508062693635,0.6339671108141052,1.188549970682213,0.37007729154014446,-0.3801299284134719,-0.00400136766751023,0.857888917866954,0.6099777848591653,1.406854258341856,0.38425624467526415,-0.39923804767878496,-0.004202505765039842,0.8760222317694096
tracking_only,gap10,user0907,left_cheek,1557,1415,96,3.1999967999999996,1230,125,60,0,0,0.8860394009610784,1.078250986287389,0.06588013792676065,-0.007849315392849466,-8.262437255631018e-05,0.6097155201660697,0.8529852625357087,1.1194655842576802,0.13103011229721118,-0.009505578096220857,-0.0001000587168023247,0.22647197839211847,0.8359497492131133,1.1001926004821225,0.14106863029271838,-0.02818842973454792,-0.0002967203129952414,0.5749707075995533
tracking_only,gap10,user0907,right_cheek,1557,1415,96,3.1999967999999996,1281,74,60,0,0,0.9385583192713671,1.1084681672342513,0.0773496805231301,0.009754367176550548,0.0001026775492268478,0.45073576010119293,0.9282585936954203,1.1509648076535792,0.10425546184724009,0.0069143488739251665,7.27826197255282e-05,0.2620526817992735,0.8679693721401553,1.1808812115360514,0.11013855196303443,-0.032711393733904616,-0.0003443304603568907,0.23935170948958623
tracking_only,gap10,ubfc,forehead,1547,1547,1547,52.863395177696525,1546,0,1,0,0,0.8958872000300269,1.0132348227532073,0.09835016252636515,-0.105494736190725,-6.823721616476391e-05,0.8514596777968997,0.8837909222563165,1.0137171724993514,0.10441853022110038,-0.12008578950157452,-7.767515491693047e-05,0.8514052603050731,0.8758633568324083,1.0135147335074621,0.1179979422830845,-0.1317815686500118,-8.524034194696753e-05,0.848493382367014
tracking_only,gap10,ubfc,left_cheek,1547,1547,1547,52.863395177696525,1546,0,1,0,0,0.9944177325773244,1.0072615494681079,0.007127969359748906,-0.00013863030508745152,-8.967031376937308e-08,0.5401375664545016,0.9965875778795777,1.010313577129357,0.007280918585283321,0.002442859323913623,1.5801159921821575e-06,0.5206181081139389,0.9923329888595244,1.0093387568739938,0.009418489782134715,-0.0007140813653452175,-4.618896282957379e-07,0.597323302832414
tracking_only,gap10,ubfc,right_cheek,1547,1547,1547,52.863395177696525,1546,0,1,0,0,0.9972684502901129,1.0044979725422154,0.0036264934188534456,0.0003503926132712892,2.2664463989087282e-07,0.6726054755680507,0.9953332534376679,1.0050484775795572,0.005859970537132416,-0.0023866106573560792,-1.543732637358397e-06,0.708815235004055,0.9917782703036027,1.006768965085241,0.007539362799249935,-0.00488593614931694,-3.1603726709682705e-06,0.7254282327797397
tracking_only,gap10,kaggle_full,forehead,12867,12867,12867,429.32890000000003,12859,7,1,0,0,0.7709476257191951,1.2385227994387293,0.2552229116433081,-0.24386672571115714,-1.8954354555507317e-05,0.9190898906023406,0.6602617655585297,1.377454583108945,0.4119077671196701,-0.39312700945322626,-3.0555495838117995e-05,0.9338090663514832,0.7580692187520711,1.4610755177738566,0.37663990156809907,-0.25168711059685916,-1.9562187983589236e-05,0.9409715702112342
