window_index,time_s,window_start_s,window_end_s,accepted,ridge_bpm,raw_estimate_bpm,status,hr_source,aggregation_mode,eligible_patches,eligible_regions,contributing_patches,contributing_regions,waveform_generated,selected_channels_json,region_medians_json,estimate_near_contributor_peak,region_median_spread_bpm,selected_cluster_score
0,4.999995,0.0,9.99999,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
1,5.999994,0.999999,10.999989,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
2,6.999993,1.999998,11.999988,True,66.5,66.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/pos"", ""tracked/forehead_1/pos"", ""tracked/forehead_2/pos"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/chrom"", ""tracked/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/pos"", ""baseline/right_cheek_0/chrom"", ""baseline/right_cheek_1/chrom"", ""baseline/right_cheek_2/chrom"", ""baseline/right_cheek_3/chrom""]","{""forehead"": 66.5, ""left_cheek"": 62.0, ""right_cheek"": 101.5}",True,39.5,
3,7.999992,2.999997,12.999986999999999,True,66.5,66.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/pos"", ""tracked/forehead_1/pos"", ""tracked/forehead_2/pos"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/chrom"", ""tracked/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/chrom"", ""baseline/right_cheek_0/chrom"", ""baseline/right_cheek_1/chrom"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/chrom""]","{""forehead"": 66.5, ""left_cheek"": 64.5, ""right_cheek"": 83.0}",False,18.5,
4,8.999991,3.999996,13.999986,True,72.5,72.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/pos"", ""tracked/forehead_1/pos"", ""tracked/forehead_2/chrom"", ""tracked/forehead_3/chrom"", ""baseline/left_cheek_0/pos"", ""tracked/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/pos"", ""baseline/right_cheek_0/chrom"", ""baseline/right_cheek_1/pos"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 71.5, ""left_cheek"": 72.5, ""right_cheek"": 118.0}",True,46.5,
5,9.99999,4.999995,14.999984999999999,True,88.0,88.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/pos"", ""tracked/forehead_1/pos"", ""baseline/forehead_2/chrom"", ""baseline/forehead_3/chrom"", ""baseline/left_cheek_0/chrom"", ""tracked/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/pos"", ""baseline/right_cheek_0/chrom"", ""baseline/right_cheek_1/pos"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 88.0, ""left_cheek"": 73.5, ""right_cheek"": 117.0}",True,43.5,
6,10.999989,5.999994,15.999984,True,73.0,73.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""tracked/forehead_1/pos"", ""baseline/forehead_2/pos"", ""tracked/forehead_3/pos"", ""baseline/left_cheek_0/chrom"", ""tracked/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/pos"", ""baseline/right_cheek_0/chrom"", ""baseline/right_cheek_1/chrom"", ""baseline/right_cheek_2/chrom"", ""baseline/right_cheek_3/pos""]","{""forehead"": 73.0, ""left_cheek"": 80.5, ""right_cheek"": 66.5}",True,14.0,
7,11.999988,6.999993,16.999983,True,67.0,67.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""tracked/forehead_1/pos"", ""tracked/forehead_2/chrom"", ""tracked/forehead_3/pos"", ""baseline/left_cheek_0/chrom"", ""baseline/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/pos"", ""baseline/right_cheek_0/chrom"", ""baseline/right_cheek_1/chrom"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 53.0, ""left_cheek"": 67.0, ""right_cheek"": 67.5}",True,14.5,
8,12.999986999999999,7.999992,17.999982,True,72.5,72.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""tracked/forehead_1/pos"", ""tracked/forehead_2/pos"", ""tracked/forehead_3/pos"", ""baseline/left_cheek_0/chrom"", ""tracked/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/chrom"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/chrom"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 54.0, ""left_cheek"": 80.0, ""right_cheek"": 72.5}",True,26.0,
9,13.999986,8.999991,18.999981,True,74.0,74.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""tracked/forehead_0/chrom"", ""baseline/forehead_1/pos"", ""tracked/forehead_2/pos"", ""tracked/forehead_3/pos"", ""baseline/left_cheek_0/pos"", ""baseline/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/chrom"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/pos"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 66.5, ""left_cheek"": 96.5, ""right_cheek"": 74.0}",True,30.0,
