window_index,time_s,window_start_s,window_end_s,accepted,ridge_bpm,raw_estimate_bpm,status,hr_source,aggregation_mode,eligible_patches,eligible_regions,contributing_patches,contributing_regions,waveform_generated,selected_channels_json,region_medians_json,estimate_near_contributor_peak,region_median_spread_bpm,selected_cluster_score
37,41.99958,36.999629999999996,46.99953,True,78.0,78.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 78.0, ""left_cheek"": 78.0, ""right_cheek"": 78.0}",True,0.0,
38,42.99957,37.99962,47.99952,True,76.0,76.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 76.0, ""left_cheek"": 77.0, ""right_cheek"": 76.0}",True,1.0,
39,43.99956,38.99961,48.99951,True,75.0,75.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 74.0, ""left_cheek"": 76.0, ""right_cheek"": 75.0}",True,2.0,
40,44.99955,39.9996,49.9995,True,74.0,74.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 74.0, ""left_cheek"": 75.0, ""right_cheek"": 74.0}",True,1.0,
41,45.999539999999996,40.99959,50.99949,True,74.0,74.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 74.0, ""left_cheek"": 75.0, ""right_cheek"": 74.0}",True,1.0,
42,46.99953,41.99958,51.99948,True,75.0,75.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 75.0, ""left_cheek"": 75.0, ""right_cheek"": 75.0}",True,0.0,
43,47.99952,42.99957,52.99947,True,76.0,76.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 76.0, ""left_cheek"": 75.0, ""right_cheek"": 76.0}",True,1.0,
44,48.99951,43.99956,53.99946,True,78.0,78.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 79.0, ""left_cheek"": 76.0, ""right_cheek"": 78.0}",True,3.0,
45,49.9995,44.99955,54.999449999999996,True,80.0,80.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 81.0, ""left_cheek"": 79.0, ""right_cheek"": 80.0}",True,2.0,
46,50.99949,45.999539999999996,55.99944,True,82.0,82.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 83.0, ""left_cheek"": 82.0, ""right_cheek"": 82.0}",True,1.0,
47,51.99948,46.99953,56.99943,True,83.0,83.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 83.0, ""left_cheek"": 82.0, ""right_cheek"": 83.0}",True,1.0,
48,52.99947,47.99952,57.99942,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
49,53.99946,48.99951,58.99941,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
