window_index,time_s,window_start_s,window_end_s,ridge_bpm,accepted,status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,V28_matching_10s_window_index,V28_10s_accepted_at_same_center,shared_center_both_output,shared_center_new_output,native_only_plan_output
0,2.999997,0.0,5.999994,,False,gap_or_filter_edge,101.0,True,ok,6,1.0194315,,,-1,False,False,False,False
1,3.999996,0.999999,6.999993,,False,gap_or_filter_edge,101.66666666666667,True,ok,6,1.0194315,,,-1,False,False,False,False
2,4.999995,1.999998,7.999992,,False,gap_or_filter_edge,102.0,True,ok,6,1.0194565999999998,,,0,False,False,False,False
3,5.999994,2.999997,8.999991,,False,gap_or_filter_edge,102.0,True,ok,6,1.0194565999999998,,,1,False,False,False,False
4,6.999993,3.999996,9.99999,90.0,True,candidate_only,101.83333333333333,True,ok,6,1.0194565999999998,-11.833333333333329,11.833333333333329,2,False,False,True,False
5,7.999992,4.999995,10.999989,90.0,True,candidate_only,101.5,True,ok,6,1.0200028000000003,-11.5,11.5,3,False,False,True,False
6,8.999991,5.999994,11.999988,91.0,True,candidate_only,101.16666666666667,True,ok,6,1.0200028000000003,-10.166666666666671,10.166666666666671,4,True,True,False,False
7,9.99999,6.999993,12.999987,92.0,True,candidate_only,100.66666666666667,True,ok,6,1.0200028000000003,-8.666666666666671,8.666666666666671,5,True,True,False,False
8,10.999989,7.999992,13.999986,93.0,True,candidate_only,100.5,True,ok,6,1.0801450999999993,-7.5,7.5,6,True,True,False,False
9,11.999988,8.999991,14.999985,94.0,True,candidate_only,100.66666666666667,True,ok,6,1.0801450999999993,-6.666666666666671,6.666666666666671,7,True,True,False,False
10,12.999987,9.99999,15.999984,94.0,True,candidate_only,101.0,True,ok,6,1.0801450999999993,-7.0,7.0,8,True,True,False,False
11,13.999986,10.999989,16.999983,94.0,True,candidate_only,101.66666666666667,True,ok,6,1.0801450999999993,-7.666666666666671,7.666666666666671,9,True,True,False,False
12,14.999985,11.999988,17.999982,94.0,True,candidate_only,102.16666666666667,True,ok,6,1.0801450999999993,-8.166666666666671,8.166666666666671,10,True,True,False,False
13,15.999984,12.999987,18.999981,94.0,True,candidate_only,102.66666666666667,True,ok,6,1.0203299999999995,-8.666666666666671,8.666666666666671,11,True,True,False,False
14,16.999983,13.999986,19.99998,94.0,True,candidate_only,103.0,True,ok,6,1.0493559999999995,-9.0,9.0,12,True,True,False,False
15,17.999982,14.999985,20.999979,93.0,True,candidate_only,103.16666666666667,True,ok,6,1.0493559999999995,-10.166666666666671,10.166666666666671,13,True,True,False,False
16,18.999981,15.999984,21.999978,92.0,True,candidate_only,103.33333333333333,True,ok,6,1.0493559999999995,-11.333333333333329,11.333333333333329,14,True,True,False,False
17,19.99998,16.999983,22.999977,91.0,True,candidate_only,103.33333333333333,True,ok,6,1.049805899999999,-12.333333333333329,12.333333333333329,15,True,True,False,False
18,20.999979,17.999982,23.999976,91.0,True,candidate_only,103.66666666666667,True,ok,6,1.049805899999999,-12.666666666666671,12.666666666666671,16,True,True,False,False
