record_type,window_index,channel,patch_id,region,branch,method,status,observed_fraction,mean_quality,tracked_fraction,reset_fraction,representative,peak_bpm,peak_concentration,peak_fwhm_bpm,spectral_score,coefficient,polarity,medoid_channel
channel,0,baseline/forehead/chrom,forehead,forehead,baseline,chrom,nonfinite_bvp,0.37666666666666665,0.3661890856942422,0.07666666666666666,0.013333333333333334,False,,,,,,,
channel,0,baseline/forehead/pos,forehead,forehead,baseline,pos,nonfinite_bvp,0.37666666666666665,0.3661890856942422,0.07666666666666666,0.013333333333333334,False,,,,,,,
channel,0,baseline/left_cheek/chrom,left_cheek,left_cheek,baseline,chrom,nonfinite_bvp,0.37666666666666665,0.3766666626880528,0.07,0.006666666666666667,False,,,,,,,
channel,0,baseline/left_cheek/pos,left_cheek,left_cheek,baseline,pos,nonfinite_bvp,0.37666666666666665,0.3766666626880528,0.07,0.006666666666666667,False,,,,,,,
channel,0,baseline/right_cheek/chrom,right_cheek,right_cheek,baseline,chrom,nonfinite_bvp,0.37666666666666665,0.2922483629736779,0.056666666666666664,0.04666666666666667,False,,,,,,,
channel,0,baseline/right_cheek/pos,right_cheek,right_cheek,baseline,pos,nonfinite_bvp,0.37666666666666665,0.2922483629736779,0.056666666666666664,0.04666666666666667,False,,,,,,,
channel,0,tracked/forehead/chrom,forehead,forehead,tracked,chrom,nonfinite_bvp,0.37666666666666665,0.3661890856942422,0.07666666666666666,0.013333333333333334,False,,,,,,,
channel,0,tracked/forehead/pos,forehead,forehead,tracked,pos,nonfinite_bvp,0.37666666666666665,0.3661890856942422,0.07666666666666666,0.013333333333333334,False,,,,,,,
channel,0,tracked/left_cheek/chrom,left_cheek,left_cheek,tracked,chrom,nonfinite_bvp,0.37666666666666665,0.3766666626880528,0.07,0.006666666666666667,False,,,,,,,
channel,0,tracked/left_cheek/pos,left_cheek,left_cheek,tracked,pos,nonfinite_bvp,0.37666666666666665,0.3766666626880528,0.07,0.006666666666666667,False,,,,,,,
channel,0,tracked/right_cheek/chrom,right_cheek,right_cheek,tracked,chrom,nonfinite_bvp,0.37666666666666665,0.2922483629736779,0.056666666666666664,0.04666666666666667,False,,,,,,,
channel,0,tracked/right_cheek/pos,right_cheek,right_cheek,tracked,pos,nonfinite_bvp,0.37666666666666665,0.2922483629736779,0.056666666666666664,0.04666666666666667,False,,,,,,,
channel,1,baseline/forehead/chrom,forehead,forehead,baseline,chrom,nonfinite_bvp,0.4766666666666667,0.46618908420944677,0.09666666666666666,0.013333333333333334,False,,,,,,,
channel,1,baseline/forehead/pos,forehead,forehead,baseline,pos,nonfinite_bvp,0.4766666666666667,0.46618908420944677,0.09666666666666666,0.013333333333333334,False,,,,,,,
channel,1,baseline/left_cheek/chrom,left_cheek,left_cheek,baseline,chrom,nonfinite_bvp,0.4766666666666667,0.47666666128635116,0.08666666666666667,0.006666666666666667,False,,,,,,,
channel,1,baseline/left_cheek/pos,left_cheek,left_cheek,baseline,pos,nonfinite_bvp,0.4766666666666667,0.47666666128635116,0.08666666666666667,0.006666666666666667,False,,,,,,,
