variant,case,Nplanned,Noutput,Nref,Nvalid,Nwithin5,Nwithin10,hr_output_coverage_pct,paired_reference_coverage_pct,MAE_bpm,RMSE_bpm,Bias_bpm,MAPE_pct,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct,P95_abs_error_bpm,Max_abs_error_bpm,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,V25_MAE_bpm,delta_MAE_bpm,delta_P5_pp,delta_R5_pp,delta_hr_coverage_pp,waveform_coverage_pct,delta_waveform_coverage_pp,common_windows,new_windows,lost_windows,common_MAE_bpm,common_V25_MAE_bpm,new_MAE_bpm,lost_V25_MAE_bpm,mean_HR_bpm,target_P5_95_met
neural_efficientphys,data1,42,38,42,38,0,2,90.47619047619048,90.47619047619048,29.31315789473684,33.585887543807196,-29.31315789473684,28.000792027429288,0.0,5.2631578947368425,0.0,4.761904761904762,51.595000000000006,52.900000000000006,-61.87595791641461,3.249642126940934,13.097297297297297,16.215860597439544,0.0,0.0,2.3809523809523796,91.89710610932475,3.1511254019292556,37,1,0,28.989189189189194,13.097297297297297,41.3,,77.26315789473684,False
neural_efficientphys,data2,37,33,37,33,0,0,89.1891891891892,89.1891891891892,21.86969696969697,22.14521632453849,-21.86969696969697,27.690489752299985,0.0,0.0,0.0,0.0,26.44,27.099999999999994,-28.80098639672367,-14.938407542670273,3.0151515151515142,18.854545454545455,-87.87878787878788,-78.37837837837837,0.0,92.96482412060301,2.5125628140703515,33,0,0,21.86969696969697,3.0151515151515142,,,57.03030303030303,False
neural_efficientphys,data3,65,61,65,61,0,0,93.84615384615384,93.84615384615384,50.78852459016393,51.42528401540991,-50.78852459016393,49.38032366428883,0.0,0.0,0.0,0.0,64.7,65.1,-66.73217782546203,-34.84487135486583,32.87118644067797,17.917338149485964,-18.64406779661017,-16.923076923076923,3.076923076923066,95.58757316524088,3.7370553804592532,59,2,0,51.088135593220336,32.87118644067797,41.95,,51.83606557377049,False
neural_efficientphys,data4,50,46,50,46,46,46,92.0,92.0,2.491304347826087,2.791524439379346,-0.004347826086956583,3.2349202337177236,100.0,100.0,92.0,92.0,4.6250000000000036,5.0,-5.5361881778410345,5.527492525667122,2.556521739130435,-0.06521739130434812,2.173913043478265,2.0,0.0,94.54783503226409,1.9639016178808477,46,0,0,2.491304347826087,2.556521739130435,,,76.93478260869566,True
neural_efficientphys,data5,53,49,53,49,8,14,92.45283018867924,92.45283018867924,22.971428571428575,29.724119251983268,-21.746938775510202,23.648543699871926,16.3265306122449,28.571428571428573,15.09433962264151,26.41509433962264,50.32,50.900000000000006,-61.874221265108226,18.38034371408782,60.72244897959183,-37.75102040816326,0.0,0.0,0.0,94.7481243301179,1.5005359056806,49,0,0,22.971428571428575,60.72244897959183,,,75.65306122448979,False
neural_efficientphys,data6,62,37,62,37,0,0,59.67741935483871,59.67741935483871,37.067567567567565,44.42159506487929,-37.067567567567565,31.426678272965496,0.0,0.0,0.0,0.0,76.58,78.30000000000001,-85.71033051708929,11.575195381954167,26.002777777777776,11.064789789789788,0.0,0.0,1.6129032258064555,81.09869646182494,5.6797020484171235,36,1,0,36.141666666666666,26.002777777777776,70.4,,77.45945945945945,False
