time_s,base,observed,interpolated,covered
0.0,,False,False,False
0.0333332999999999,,False,False,False
0.0666665999999999,,False,False,False
0.0999998999999999,,False,False,False
0.1333331999999999,,False,False,False
0.1666665,,False,False,False
0.1999997999999999,,False,False,False
0.2333331,,False,False,False
0.2666663999999999,,False,False,False
0.2999997,,False,False,False
0.333333,,False,False,False
0.3666663,,False,False,False
0.3999995999999999,,False,False,False
0.4333328999999999,,False,False,False
0.4666662,,False,False,False
0.4999995,,False,False,False
0.5333327999999999,,False,False,False
0.5666661,,False,False,False
0.5999994,,False,False,False
0.6333327,,False,False,False
0.666666,,False,False,False
0.6999993,,False,False,False
0.7333326,,False,False,False
0.7666659,,False,False,False
0.7999991999999999,,False,False,False
0.8333324999999999,,False,False,False
0.8666657999999999,,False,False,False
0.8999990999999999,,False,False,False
0.9333324,,False,False,False
0.9666657,,False,False,False
0.999999,,False,False,False
1.0333323,,False,False,False
1.0666656,,False,False,False
1.0999989,,False,False,False
1.1333322,,False,False,False
1.1666655,,False,False,False
1.1999988,,False,False,False
1.2333321,,False,False,False
1.2666654,,False,False,False
1.2999987,,False,False,False
1.333332,,False,False,False
1.3666653,,False,False,False
1.3999986,,False,False,False
1.4333319,,False,False,False
1.4666652,,False,False,False
1.4999985,,False,False,False
1.5333318,,False,False,False
1.5666650999999998,,False,False,False
1.5999983999999998,0.014525218155472362,True,False,True
1.6333316999999998,-0.09672346147090521,True,False,True
1.6666649999999998,-0.20002299419631187,True,False,True
1.6999983,-0.29087316440593974,True,False,True
1.7333316,-0.36539106469976834,True,False,True
1.7666649,-0.4204881288977047,True,False,True
1.7999982,-0.45400778715749,True,False,True
1.8333315,-0.46481630831056236,True,False,True
1.8666648,-0.4528422404556293,True,False,True
1.8999981,-0.4190628768967273,True,False,True
1.9333314,-0.36543920748183184,True,False,True
1.9666647,-0.2948037232814321,True,False,True
1.999998,-0.21070807204362746,True,False,True
2.0333313,-0.11723974373724164,True,False,True
2.0666646,-0.01881853055212943,True,False,True
2.0999979,0.08001568491492134,True,False,True
2.1333312,0.17481228151189043,True,False,True
2.1666645,0.26140570157286963,True,False,True
2.1999978,0.3360885706521792,True,False,True
2.2333311,0.39575509069361386,True,False,True
2.2666644,0.4380100460144275,True,False,True
2.2999977,0.4612411912418793,True,False,True
2.333331,0.4646550396943817,True,False,True
2.3666643,0.4482779644055461,True,False,True
2.3999976,0.41292595423888173,True,False,True
2.4333309,0.36014729685532887,True,False,True
2.4666642,0.2921429132387134,True,False,True
2.4999975,0.21166911609771624,True,False,True
2.5333308,0.12192730587966402,True,False,True
2.5666641,0.026444663219036692,True,False,True
2.5999974,-0.07105064780486134,True,False,True
2.6333307,-0.16675679086463774,True,False,True
2.666664,-0.2569255666866747,True,False,True
2.6999973,-0.3379875256044686,True,False,True
2.7333306,-0.40667283998897696,True,False,True
2.7666639,-0.4601258653303718,True,False,True
2.7999972,-0.49601112678393927,True,False,True
2.8333305,-0.5126081509945362,True,False,True
2.8666638,-0.5088921809268102,True,False,True
2.8999971,-0.48459743947219436,True,False,True
2.9333304,-0.4402593286332448,True,False,True
2.9666637,-0.3772318472483563,True,False,True
2.999997,-0.2976766554119442,True,False,True
3.0333303,-0.20452066787068557,True,False,True
3.0666636,-0.10137986376123323,True,False,True
3.0999969,0.007551822642647699,True,False,True
3.1333302,0.11764811866764657,True,False,True
3.1666635,0.2240282406010141,True,False,True
3.1999968,0.3217624758287923,True,False,True
3.2333301,0.40609873541953834,True,False,True
3.2666634,0.4727009410592652,True,False,True
3.2999967,0.5178879215168938,True,False,True
