case,variant,before,after,shift_s,Npaired_snr,mean_paired_delta_snr_db,median_paired_delta_snr_db,positive_delta_pct
user0904,fusion,trimmed_gap10,trimmed_gap15,0,0,,,
user0904,fusion,trimmed_gap10,bounded_tracking_gap10,0,0,,,
user0904,fusion,trimmed_gap10,bounded_tracking_gap15,0,0,,,
user0904,fusion,trimmed_gap10,guarded_fusion_gap10,0,0,,,
user0904,fusion,trimmed_gap10,guarded_fusion_gap15,0,0,,,
user0904,fusion,trimmed_gap15,bounded_tracking_gap10,0,0,,,
user0904,fusion,trimmed_gap15,bounded_tracking_gap15,0,0,,,
user0904,fusion,trimmed_gap15,guarded_fusion_gap10,0,0,,,
user0904,fusion,trimmed_gap15,guarded_fusion_gap15,0,0,,,
user0904,fusion,bounded_tracking_gap10,bounded_tracking_gap15,0,0,,,
user0904,fusion,bounded_tracking_gap10,guarded_fusion_gap10,0,0,,,
user0904,fusion,bounded_tracking_gap10,guarded_fusion_gap15,0,0,,,
user0904,fusion,bounded_tracking_gap15,guarded_fusion_gap10,0,0,,,
user0904,fusion,bounded_tracking_gap15,guarded_fusion_gap15,0,0,,,
user0904,fusion,guarded_fusion_gap10,guarded_fusion_gap15,0,0,,,
user0904,pos,trimmed_gap10,trimmed_gap15,0,0,,,
user0904,pos,trimmed_gap10,bounded_tracking_gap10,0,0,,,
user0904,pos,trimmed_gap10,bounded_tracking_gap15,0,0,,,
user0904,pos,trimmed_gap10,guarded_fusion_gap10,0,0,,,
user0904,pos,trimmed_gap10,guarded_fusion_gap15,0,0,,,
user0904,pos,trimmed_gap15,bounded_tracking_gap10,0,0,,,
user0904,pos,trimmed_gap15,bounded_tracking_gap15,0,0,,,
user0904,pos,trimmed_gap15,guarded_fusion_gap10,0,0,,,
user0904,pos,trimmed_gap15,guarded_fusion_gap15,0,0,,,
user0904,pos,bounded_tracking_gap10,bounded_tracking_gap15,0,0,,,
user0904,pos,bounded_tracking_gap10,guarded_fusion_gap10,0,0,,,
user0904,pos,bounded_tracking_gap10,guarded_fusion_gap15,0,0,,,
user0904,pos,bounded_tracking_gap15,guarded_fusion_gap10,0,0,,,
user0904,pos,bounded_tracking_gap15,guarded_fusion_gap15,0,0,,,
user0904,pos,guarded_fusion_gap10,guarded_fusion_gap15,0,0,,,
user0904,chrom,trimmed_gap10,trimmed_gap15,0,0,,,
