case,version,variant,scope,shift_s,reference_kind,Nref,Nplanned,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_s,longest_missing_run_s,longest_internal_missing_run_s,finite_runs,observed_finite_samples,observed_all_samples_pct,interpolated_samples,interpolated_all_samples_pct,interpolated_covered_samples_pct,snr_mean_db,snr_median_db,peak_concentration_median_accepted,r_wave,morphology_reference_status,waveform_generated_count,waveform_generated_pct_of_planned,waveform_generated_but_HR_rejected_count,neighbor_covered_count,accepted_neighbor_covered_count
user0907,trimmed_gap10,fusion,strict_common_all_versions_same_variant,0,none,0,42,13,13,0,930,59.73025048169557,30.999969,18.999981,7.8999920999999995,6.999993,2,855,54.91329479768786,75,4.8169556840077075,8.064516129032258,,,0.5569215887034424,,no_qualified_synchronized_waveform_truth,13.0,30.952380952380953,0.0,0.0,0.0
user0907,trimmed_gap15,fusion,own,0,none,0,42,25,33,0,1260,80.92485549132948,41.999958,41.999958,7.8999920999999995,0.0,1,1149,73.79576107899807,111,7.129094412331407,8.80952380952381,,,0.4917534834445504,,no_qualified_synchronized_waveform_truth,18.0,42.857142857142854,0.0,15.0,7.0
user0907,trimmed_gap15,fusion,strict_common_all_versions_same_variant,0,none,0,42,25,33,0,1260,80.92485549132948,41.999958,41.999958,7.8999920999999995,0.0,1,1149,73.79576107899807,111,7.129094412331407,8.80952380952381,,,0.4917534834445504,,no_qualified_synchronized_waveform_truth,18.0,42.857142857142854,0.0,15.0,7.0
user0907,bounded_tracking_gap10,fusion,own,0,none,0,42,9,9,0,540,34.68208092485549,17.999982,17.999982,24.999975,0.0,1,493,31.66345536287733,47,3.0186255619781632,8.703703703703704,,,0.3922812330748611,,no_qualified_synchronized_waveform_truth,8.0,19.047619047619047,0.0,1.0,1.0
user0907,bounded_tracking_gap10,fusion,strict_common_all_versions_same_variant,0,none,0,42,9,9,0,540,34.68208092485549,17.999982,17.999982,24.999975,0.0,1,493,31.66345536287733,47,3.0186255619781632,8.703703703703704,,,0.3922812330748611,,no_qualified_synchronized_waveform_truth,8.0,19.047619047619047,0.0,1.0,1.0
user0907,bounded_tracking_gap15,fusion,own,0,none,0,42,12,12,0,900,57.80346820809249,29.999969999999998,17.999982,10.899989099999999,6.999993,2,828,53.179190751445084,72,4.624277456647398,8.0,,,0.3734379700115118,,no_qualified_synchronized_waveform_truth,9.0,21.428571428571427,0.0,3.0,3.0
user0907,bounded_tracking_gap15,fusion,strict_common_all_versions_same_variant,0,none,0,42,12,12,0,900,57.80346820809249,29.999969999999998,17.999982,10.899989099999999,6.999993,2,828,53.179190751445084,72,4.624277456647398,8.0,,,0.3734379700115118,,no_qualified_synchronized_waveform_truth,9.0,21.428571428571427,0.0,3.0,3.0
user0907,guarded_fusion_gap10,fusion,own,0,none,0,42,13,13,0,930,59.73025048169557,30.999969,18.999981,7.8999920999999995,6.999993,2,855,54.91329479768786,75,4.8169556840077075,8.064516129032258,,,0.5569215887034459,,no_qualified_synchronized_waveform_truth,13.0,30.952380952380953,0.0,0.0,0.0
user0907,guarded_fusion_gap10,fusion,strict_common_all_versions_same_variant,0,none,0,42,13,13,0,930,59.73025048169557,30.999969,18.999981,7.8999920999999995,6.999993,2,855,54.91329479768786,75,4.8169556840077075,8.064516129032258,,,0.5569215887034459,,no_qualified_synchronized_waveform_truth,13.0,30.952380952380953,0.0,0.0,0.0
user0907,guarded_fusion_gap15,fusion,own,0,none,0,42,25,33,0,1260,80.92485549132948,41.999958,41.999958,7.8999920999999995,0.0,1,1149,73.79576107899807,111,7.129094412331407,8.80952380952381,,,0.4735741572624182,,no_qualified_synchronized_waveform_truth,19.0,45.23809523809524,0.0,14.0,6.0
user0907,guarded_fusion_gap15,fusion,strict_common_all_versions_same_variant,0,none,0,42,25,33,0,1260,80.92485549132948,41.999958,41.999958,7.8999920999999995,0.0,1,1149,73.79576107899807,111,7.129094412331407,8.80952380952381,,,0.4735741572624182,,no_qualified_synchronized_waveform_truth,19.0,45.23809523809524,0.0,14.0,6.0
user0907,trimmed_gap10,pos,own,0,none,0,42,14,20,0,1184,76.043673731535,39.4666272,25.3999746,6.1666605,6.1666605,2,1078,69.23570969813746,106,6.8079640333975595,8.952702702702704,,,0.33157841000836297,,no_qualified_synchronized_waveform_truth,,,,,
user0907,trimmed_gap10,pos,strict_common_all_versions_same_variant,0,none,0,42,14,20,0,1184,76.043673731535,39.4666272,25.3999746,6.1666605,6.1666605,2,1078,69.23570969813746,106,6.8079640333975595,8.952702702702704,,,0.33157841000836297,,no_qualified_synchronized_waveform_truth,,,,,
user0907,trimmed_gap15,pos,own,0,none,0,42,25,39,0,1457,93.57739242132305,48.5666181,48.5666181,1.7333315999999999,0.0,1,1319,84.71419396274888,138,8.863198458574182,9.471516815374056,,,0.3054197865699406,,no_qualified_synchronized_waveform_truth,,,,,
user0907,trimmed_gap15,pos,strict_common_all_versions_same_variant,0,none,0,42,25,39,0,1457,93.57739242132305,48.5666181,48.5666181,1.7333315999999999,0.0,1,1319,84.71419396274888,138,8.863198458574182,9.471516815374056,,,0.3054197865699406,,no_qualified_synchronized_waveform_truth,,,,,
user0907,bounded_tracking_gap10,pos,own,0,none,0,42,14,20,0,1184,76.043673731535,39.4666272,25.3999746,6.1666605,6.1666605,2,1078,69.23570969813746,106,6.8079640333975595,8.952702702702704,,,0.3158661955794654,,no_qualified_synchronized_waveform_truth,,,,,
user0907,bounded_tracking_gap10,pos,strict_common_all_versions_same_variant,0,none,0,42,14,20,0,1184,76.043673731535,39.4666272,25.3999746,6.1666605,6.1666605,2,1078,69.23570969813746,106,6.8079640333975595,8.952702702702704,,,0.3158661955794654,,no_qualified_synchronized_waveform_truth,,,,,
user0907,bounded_tracking_gap15,pos,own,0,none,0,42,25,39,0,1457,93.57739242132305,48.5666181,48.5666181,1.7333315999999999,0.0,1,1319,84.71419396274888,138,8.863198458574182,9.471516815374056,,,0.3157076244424009,,no_qualified_synchronized_waveform_truth,,,,,
user0907,bounded_tracking_gap15,pos,strict_common_all_versions_same_variant,0,none,0,42,25,39,0,1457,93.57739242132305,48.5666181,48.5666181,1.7333315999999999,0.0,1,1319,84.71419396274888,138,8.863198458574182,9.471516815374056,,,0.3157076244424009,,no_qualified_synchronized_waveform_truth,,,,,
user0907,guarded_fusion_gap10,pos,own,0,none,0,42,14,20,0,1184,76.043673731535,39.4666272,25.3999746,6.1666605,6.1666605,2,1078,69.23570969813746,106,6.8079640333975595,8.952702702702704,,,0.3158661955794657,,no_qualified_synchronized_waveform_truth,,,,,
user0907,guarded_fusion_gap10,pos,strict_common_all_versions_same_variant,0,none,0,42,14,20,0,1184,76.043673731535,39.4666272,25.3999746,6.1666605,6.1666605,2,1078,69.23570969813746,106,6.8079640333975595,8.952702702702704,,,0.3158661955794657,,no_qualified_synchronized_waveform_truth,,,,,
user0907,guarded_fusion_gap15,pos,own,0,none,0,42,25,39,0,1457,93.57739242132305,48.5666181,48.5666181,1.7333315999999999,0.0,1,1319,84.71419396274888,138,8.863198458574182,9.471516815374056,,,0.3157076244424009,,no_qualified_synchronized_waveform_truth,,,,,
user0907,guarded_fusion_gap15,pos,strict_common_all_versions_same_variant,0,none,0,42,25,39,0,1457,93.57739242132305,48.5666181,48.5666181,1.7333315999999999,0.0,1,1319,84.71419396274888,138,8.863198458574182,9.471516815374056,,,0.3157076244424009,,no_qualified_synchronized_waveform_truth,,,,,
user0907,trimmed_gap10,chrom,own,0,none,0,42,14,20,0,1184,76.043673731535,39.4666272,25.3999746,6.1666605,6.1666605,2,1078,69.23570969813746,106,6.8079640333975595,8.952702702702704,,,0.27855222779972194,,no_qualified_synchronized_waveform_truth,,,,,
user0907,trimmed_gap10,chrom,strict_common_all_versions_same_variant,0,none,0,42,14,20,0,1184,76.043673731535,39.4666272,25.3999746,6.1666605,6.1666605,2,1078,69.23570969813746,106,6.8079640333975595,8.952702702702704,,,0.27855222779972194,,no_qualified_synchronized_waveform_truth,,,,,
user0907,trimmed_gap15,chrom,own,0,none,0,42,25,39,0,1457,93.57739242132305,48.5666181,48.5666181,1.7333315999999999,0.0,1,1319,84.71419396274888,138,8.863198458574182,9.471516815374056,,,0.3023519598823682,,no_qualified_synchronized_waveform_truth,,,,,
