case,version,variant,Nplanned,Noutput,output_runs,internal_breaks,output_state_transitions,longest_run_windows,longest_run_center_span_s,longest_run_support_union_s,output_support_union_s,longest_rejected_run_windows,longest_run_first_window_index,longest_run_last_window_index,longest_rejected_grid_run_s,longest_rejected_center_span_s
user0907,guarded_fusion_gap10,chrom,42,14,2,1,4,10,8.999991,18.999981,31.999968,16,25,34,15.999984,14.999984999999999
user0907,guarded_fusion_gap15,fusion,42,25,4,3,8,12,10.999989,20.999979,41.999958,7,23,34,6.999993,5.999994
user0907,guarded_fusion_gap15,pos,42,25,4,3,8,12,10.999989,20.999979,41.999958,7,23,34,6.999993,5.999994
user0907,guarded_fusion_gap15,chrom,42,25,4,3,8,12,10.999989,20.999979,41.999958,7,23,34,6.999993,5.999994
ubfc,trimmed_gap10,fusion,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,trimmed_gap10,pos,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,trimmed_gap10,chrom,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,trimmed_gap15,fusion,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,trimmed_gap15,pos,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,trimmed_gap15,chrom,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,bounded_tracking_gap10,fusion,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,bounded_tracking_gap10,pos,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,bounded_tracking_gap10,chrom,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,bounded_tracking_gap15,fusion,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
