case,variant,estimator,before,after,reference_kind,shift_s,Ncommon_output,Nadded_output,Nlost_output,scope,version,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
data1,fusion,local_peak,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,36,0,0,common_before,trimmed_gap10,42,36,42,36,85.71428571428571,85.71428571428571,19.852777777777778,29.82360642175926,-1.597222222222223,30.203249457264988,-60.7955911584616,57.601146714017155,81.625,83.7,0,9,0.0,25.0,0.0,21.428571428571427
data1,fusion,local_peak,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,36,0,0,common_after,trimmed_gap15,42,36,42,36,85.71428571428571,85.71428571428571,19.852777777777778,29.82360642175926,-1.597222222222223,30.203249457264988,-60.7955911584616,57.601146714017155,81.625,83.7,0,9,0.0,25.0,0.0,21.428571428571427
data1,fusion,local_peak,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,36,0,0,added_after,trimmed_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,36,0,0,lost_before,trimmed_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,36,0,0,common_before,trimmed_gap10,42,36,42,36,85.71428571428571,85.71428571428571,11.375000000000002,11.8740028821137,-11.375000000000002,3.4543864454177267,-18.145597433018747,-4.604402566981258,18.525000000000006,19.299999999999997,0,12,0.0,33.333333333333336,0.0,28.571428571428573
data1,fusion,offline_ridge,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,36,0,0,common_after,trimmed_gap15,42,36,42,36,85.71428571428571,85.71428571428571,11.375000000000002,11.8740028821137,-11.375000000000002,3.4543864454177267,-18.145597433018747,-4.604402566981258,18.525000000000006,19.299999999999997,0,12,0.0,33.333333333333336,0.0,28.571428571428573
data1,fusion,offline_ridge,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,36,0,0,added_after,trimmed_gap15,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,offline_ridge,trimmed_gap10,trimmed_gap15,estimated_alignment_Polar_device_HR,-5,36,0,0,lost_before,trimmed_gap10,42,0,42,0,0.0,0.0,,,,,,,,,0,0,,,0.0,0.0
data1,fusion,local_peak,trimmed_gap10,bounded_tracking_gap10,estimated_alignment_Polar_device_HR,-5,36,1,0,common_before,trimmed_gap10,42,36,42,36,85.71428571428571,85.71428571428571,19.852777777777778,29.82360642175926,-1.597222222222223,30.203249457264988,-60.7955911584616,57.601146714017155,81.625,83.7,0,9,0.0,25.0,0.0,21.428571428571427
data1,fusion,local_peak,trimmed_gap10,bounded_tracking_gap10,estimated_alignment_Polar_device_HR,-5,36,1,0,common_after,bounded_tracking_gap10,42,36,42,36,85.71428571428571,85.71428571428571,46.84166666666667,50.27013416422209,-24.041666666666668,44.77468911912494,-111.80005734015155,63.71672400681821,81.95,83.8,1,2,2.7777777777777777,5.555555555555555,2.380952380952381,4.761904761904762
