case,version,variant,estimator,branch,shift_s,reference_kind,scope,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
data1,trimmed_gap10,fusion,local_peak,trimmed_gap10/fusion/local_peak,-5,estimated_alignment_Polar_device_HR,own,42,36,42,36,85.71428571428571,85.71428571428571,19.852777777777778,29.82360642175926,-1.597222222222223,30.203249457264988,-60.7955911584616,57.601146714017155,81.625,83.7,0,9,0.0,25.0,0.0,21.428571428571427
data1,trimmed_gap10,fusion,offline_ridge,trimmed_gap10/fusion/offline_ridge,-5,estimated_alignment_Polar_device_HR,own,42,36,42,36,85.71428571428571,85.71428571428571,11.375000000000002,11.8740028821137,-11.375000000000002,3.4543864454177267,-18.145597433018747,-4.604402566981258,18.525000000000006,19.299999999999997,0,12,0.0,33.333333333333336,0.0,28.571428571428573
data1,trimmed_gap15,fusion,local_peak,trimmed_gap15/fusion/local_peak,-5,estimated_alignment_Polar_device_HR,own,42,36,42,36,85.71428571428571,85.71428571428571,19.852777777777778,29.82360642175926,-1.597222222222223,30.203249457264988,-60.7955911584616,57.601146714017155,81.625,83.7,0,9,0.0,25.0,0.0,21.428571428571427
data1,trimmed_gap15,fusion,offline_ridge,trimmed_gap15/fusion/offline_ridge,-5,estimated_alignment_Polar_device_HR,own,42,36,42,36,85.71428571428571,85.71428571428571,11.375000000000002,11.8740028821137,-11.375000000000002,3.4543864454177267,-18.145597433018747,-4.604402566981258,18.525000000000006,19.299999999999997,0,12,0.0,33.333333333333336,0.0,28.571428571428573
data1,bounded_tracking_gap10,fusion,local_peak,bounded_tracking_gap10/fusion/local_peak,-5,estimated_alignment_Polar_device_HR,own,42,37,42,37,88.0952380952381,88.0952380952381,47.82383292383293,51.437268242171555,-21.143734643734643,47.53746967530528,-114.317175207333,72.0297059198637,82.79636363636364,83.8,1,2,2.7027027027027026,5.405405405405405,2.380952380952381,4.761904761904762
data1,bounded_tracking_gap10,fusion,offline_ridge,bounded_tracking_gap10/fusion/offline_ridge,-5,estimated_alignment_Polar_device_HR,own,42,37,42,37,88.0952380952381,88.0952380952381,30.008599508599506,33.78055987029775,-30.008599508599506,15.725577789491306,-60.83073197600247,0.813532958803453,51.7,54.3,0,8,0.0,21.62162162162162,0.0,19.047619047619047
data1,bounded_tracking_gap15,fusion,local_peak,bounded_tracking_gap15/fusion/local_peak,-5,estimated_alignment_Polar_device_HR,own,42,37,42,37,88.0952380952381,88.0952380952381,47.82383292383293,51.437268242171555,-21.143734643734643,47.53746967530528,-114.317175207333,72.0297059198637,82.79636363636364,83.8,1,2,2.7027027027027026,5.405405405405405,2.380952380952381,4.761904761904762
data1,bounded_tracking_gap15,fusion,offline_ridge,bounded_tracking_gap15/fusion/offline_ridge,-5,estimated_alignment_Polar_device_HR,own,42,37,42,37,88.0952380952381,88.0952380952381,30.008599508599506,33.78055987029775,-30.008599508599506,15.725577789491306,-60.83073197600247,0.813532958803453,51.7,54.3,0,8,0.0,21.62162162162162,0.0,19.047619047619047
data1,guarded_fusion_gap10,fusion,local_peak,guarded_fusion_gap10/fusion/local_peak,-5,estimated_alignment_Polar_device_HR,own,42,37,42,37,88.0952380952381,88.0952380952381,21.375184275184274,32.27312700032756,0.7751842751842741,32.708855062333576,-63.33417164698953,64.88454019735808,81.9,83.18181818181819,0,9,0.0,24.324324324324323,0.0,21.428571428571427
data1,guarded_fusion_gap10,fusion,offline_ridge,guarded_fusion_gap10/fusion/offline_ridge,-5,estimated_alignment_Polar_device_HR,own,42,37,42,37,88.0952380952381,88.0952380952381,11.332923832923832,11.818298147225622,-11.332923832923832,3.3984036868349055,-17.993795059120245,-4.6720526067274175,18.500000000000004,19.299999999999997,0,13,0.0,35.13513513513514,0.0,30.952380952380953
