case,variant,before,after,shift_s,Npaired_snr,mean_paired_delta_snr_db,median_paired_delta_snr_db,positive_delta_pct
data1,fusion,trimmed_gap10,bounded_tracking_gap10,-2,36,-0.46883557648549473,-1.0029851841638333,41.66666666666667
data1,fusion,trimmed_gap10,bounded_tracking_gap15,-2,36,-0.4688355764854728,-1.0029851841637951,41.66666666666667
data1,fusion,trimmed_gap10,guarded_fusion_gap10,-2,36,-0.044486714738620904,1.3322676295501878e-13,27.77777777777778
data1,fusion,trimmed_gap10,guarded_fusion_gap15,-2,36,-0.044486714738620904,1.3322676295501878e-13,27.77777777777778
data1,fusion,trimmed_gap15,bounded_tracking_gap10,-2,36,-0.46883557648556146,-1.0029851841638768,41.66666666666667
data1,fusion,trimmed_gap15,bounded_tracking_gap15,-2,36,-0.46883557648553953,-1.0029851841638386,41.66666666666667
data1,fusion,trimmed_gap15,guarded_fusion_gap10,-2,36,-0.04448671473868764,2.398081733190338e-14,27.77777777777778
data1,fusion,trimmed_gap15,guarded_fusion_gap15,-2,36,-0.04448671473868764,2.398081733190338e-14,27.77777777777778
data1,fusion,bounded_tracking_gap10,bounded_tracking_gap15,-2,37,1.9803978277097388e-14,1.3322676295501878e-14,0.0
data1,fusion,bounded_tracking_gap10,guarded_fusion_gap10,-2,37,0.4174945981984421,0.42969267935756505,59.45945945945946
data1,fusion,bounded_tracking_gap10,guarded_fusion_gap15,-2,37,0.4174945981984421,0.42969267935756505,59.45945945945946
data1,fusion,bounded_tracking_gap15,guarded_fusion_gap10,-2,37,0.41749459819842244,0.4296926793576201,59.45945945945946
data1,fusion,bounded_tracking_gap15,guarded_fusion_gap15,-2,37,0.41749459819842244,0.4296926793576201,59.45945945945946
data1,fusion,guarded_fusion_gap10,guarded_fusion_gap15,-2,37,0.0,0.0,0.0
data1,pos,trimmed_gap10,trimmed_gap15,-2,38,-2.0965685328184535e-14,-8.881784197001252e-15,0.0
data1,pos,trimmed_gap10,bounded_tracking_gap10,-2,38,-0.7500065634966996,-1.0389698008259458,36.84210526315789
data1,pos,trimmed_gap10,bounded_tracking_gap15,-2,38,-0.7500065634966503,-1.0389698008257993,36.84210526315789
data1,pos,trimmed_gap10,guarded_fusion_gap10,-2,38,-0.7500065634966503,-1.0389698008257993,36.84210526315789
data1,pos,trimmed_gap10,guarded_fusion_gap15,-2,38,-0.7500065634966503,-1.0389698008257993,36.84210526315789
data1,pos,trimmed_gap15,bounded_tracking_gap10,-2,38,-0.7500065634966786,-1.0389698008259174,36.84210526315789
data1,pos,trimmed_gap15,bounded_tracking_gap15,-2,38,-0.7500065634966291,-1.0389698008257708,36.84210526315789
data1,pos,trimmed_gap15,guarded_fusion_gap10,-2,38,-0.7500065634966291,-1.0389698008257708,36.84210526315789
data1,pos,trimmed_gap15,guarded_fusion_gap15,-2,38,-0.7500065634966291,-1.0389698008257708,36.84210526315789
data1,pos,bounded_tracking_gap10,bounded_tracking_gap15,-2,38,4.952763345643593e-14,3.241851231905457e-14,0.0
