case,version,roi,signal_stage,source,frames,count,all_video_frames_pct
user0907,guarded_fusion_gap15,right_cheek,anchored_V24,tracked_ratio,1557,1248,80.15414258188825
user0907,guarded_fusion_gap15,right_cheek,anchored_V24,missing,1557,142,9.12010276172126
user0907,guarded_fusion_gap15,right_cheek,anchored_V24,baseline_ratio_fallback,1557,107,6.872190109184329
user0907,guarded_fusion_gap15,right_cheek,anchored_V24,baseline_reset,1557,60,3.8535645472061657
user0907,guarded_fusion_gap15,forehead,unanchored_V23,tracked_ratio,1557,1048,67.30892742453436
user0907,guarded_fusion_gap15,forehead,unanchored_V23,baseline_ratio_fallback,1557,307,19.717405266538215
user0907,guarded_fusion_gap15,forehead,unanchored_V23,missing,1557,142,9.12010276172126
user0907,guarded_fusion_gap15,forehead,unanchored_V23,baseline_reset,1557,60,3.8535645472061657
user0907,guarded_fusion_gap15,left_cheek,unanchored_V23,tracked_ratio,1557,1189,76.36480411046885
user0907,guarded_fusion_gap15,left_cheek,unanchored_V23,baseline_ratio_fallback,1557,166,10.661528580603726
user0907,guarded_fusion_gap15,left_cheek,unanchored_V23,missing,1557,142,9.12010276172126
user0907,guarded_fusion_gap15,left_cheek,unanchored_V23,baseline_reset,1557,60,3.8535645472061657
user0907,guarded_fusion_gap15,right_cheek,unanchored_V23,tracked_ratio,1557,1248,80.15414258188825
user0907,guarded_fusion_gap15,right_cheek,unanchored_V23,missing,1557,142,9.12010276172126
user0907,guarded_fusion_gap15,right_cheek,unanchored_V23,baseline_ratio_fallback,1557,107,6.872190109184329
user0907,guarded_fusion_gap15,right_cheek,unanchored_V23,baseline_reset,1557,60,3.8535645472061657
ubfc,bounded_tracking_gap10,forehead,anchored_V24,tracked_ratio,1547,1546,99.93535875888817
ubfc,bounded_tracking_gap10,forehead,anchored_V24,baseline_reset,1547,1,0.06464124111182935
ubfc,bounded_tracking_gap10,left_cheek,anchored_V24,tracked_ratio,1547,1546,99.93535875888817
ubfc,bounded_tracking_gap10,left_cheek,anchored_V24,baseline_reset,1547,1,0.06464124111182935
ubfc,bounded_tracking_gap10,right_cheek,anchored_V24,tracked_ratio,1547,1546,99.93535875888817
ubfc,bounded_tracking_gap10,right_cheek,anchored_V24,baseline_reset,1547,1,0.06464124111182935
ubfc,bounded_tracking_gap10,forehead,unanchored_V23,tracked_ratio,1547,1546,99.93535875888817
ubfc,bounded_tracking_gap10,forehead,unanchored_V23,baseline_reset,1547,1,0.06464124111182935
ubfc,bounded_tracking_gap10,left_cheek,unanchored_V23,tracked_ratio,1547,1546,99.93535875888817
ubfc,bounded_tracking_gap10,left_cheek,unanchored_V23,baseline_reset,1547,1,0.06464124111182935
ubfc,bounded_tracking_gap10,right_cheek,unanchored_V23,tracked_ratio,1547,1546,99.93535875888817
ubfc,bounded_tracking_gap10,right_cheek,unanchored_V23,baseline_reset,1547,1,0.06464124111182935
ubfc,bounded_tracking_gap15,forehead,anchored_V24,tracked_ratio,1547,1546,99.93535875888817
ubfc,bounded_tracking_gap15,forehead,anchored_V24,baseline_reset,1547,1,0.06464124111182935
ubfc,bounded_tracking_gap15,left_cheek,anchored_V24,tracked_ratio,1547,1546,99.93535875888817
ubfc,bounded_tracking_gap15,left_cheek,anchored_V24,baseline_reset,1547,1,0.06464124111182935
ubfc,bounded_tracking_gap15,right_cheek,anchored_V24,tracked_ratio,1547,1546,99.93535875888817
ubfc,bounded_tracking_gap15,right_cheek,anchored_V24,baseline_reset,1547,1,0.06464124111182935
ubfc,bounded_tracking_gap15,forehead,unanchored_V23,tracked_ratio,1547,1546,99.93535875888817
ubfc,bounded_tracking_gap15,forehead,unanchored_V23,baseline_reset,1547,1,0.06464124111182935
ubfc,bounded_tracking_gap15,left_cheek,unanchored_V23,tracked_ratio,1547,1546,99.93535875888817
ubfc,bounded_tracking_gap15,left_cheek,unanchored_V23,baseline_reset,1547,1,0.06464124111182935
ubfc,bounded_tracking_gap15,right_cheek,unanchored_V23,tracked_ratio,1547,1546,99.93535875888817
ubfc,bounded_tracking_gap15,right_cheek,unanchored_V23,baseline_reset,1547,1,0.06464124111182935
ubfc,guarded_fusion_gap10,forehead,anchored_V24,tracked_ratio,1547,1546,99.93535875888817
ubfc,guarded_fusion_gap10,forehead,anchored_V24,baseline_reset,1547,1,0.06464124111182935
ubfc,guarded_fusion_gap10,left_cheek,anchored_V24,tracked_ratio,1547,1546,99.93535875888817
ubfc,guarded_fusion_gap10,left_cheek,anchored_V24,baseline_reset,1547,1,0.06464124111182935
ubfc,guarded_fusion_gap10,right_cheek,anchored_V24,tracked_ratio,1547,1546,99.93535875888817
ubfc,guarded_fusion_gap10,right_cheek,anchored_V24,baseline_reset,1547,1,0.06464124111182935
