window_index,time_s,window_start_s,window_end_s,old_accepted,old_bpm,candidate_bpm,candidate_generated,candidate_proposal_supported,contributing_rois,contributing_roi_names,old_window_finite,candidate_window_finite,motion_available,motion_status,motion_speed_face_per_s,motion_strength,motion_reliability,old_motion_risk,candidate_motion_risk,motion_risk_decrease,route_eligible,reason
0,4.999995,0.0,9.99999,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,False,old_hr_not_accepted
1,5.999994,0.999999,10.999989,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,False,old_hr_not_accepted
2,6.999993,1.999998,11.999988,True,182.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.0267701840534227,0.9850130591848902,0.7333333333333333,0.718709127861667,0.5751765565132441,0.1435325713484229,False,insufficient_motion_risk_decrease
3,7.999992,2.999997,12.999986999999999,True,182.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.026081290109001,0.9850030188111968,0.52,0.5106340761965937,0.384565626459911,0.12606844973668274,False,insufficient_motion_risk_decrease
4,8.999991,3.999996,13.999986,True,182.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,2.013713705986231,0.9848210445708543,0.62,0.6105890476339296,0.46189886696162213,0.1486901806723075,False,insufficient_motion_risk_decrease
5,9.99999,4.999995,14.999984999999999,True,182.0,92.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9861716000508176,0.98440376579126,0.72,0.7085997130501624,0.5377338657496352,0.17086584730052723,False,insufficient_motion_risk_decrease
6,10.999989,5.999994,15.999984,True,182.0,92.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9703045201642007,0.9841555540359195,0.82,0.8020484990697796,0.6134146743130365,0.18863382475674306,False,insufficient_motion_risk_decrease
7,11.999988,6.999993,16.999983,True,182.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.9709289912380479,0.9841654338256746,0.92,0.8938892594692005,0.6891227552090458,0.20476650426015475,False,insufficient_motion_risk_decrease
8,12.999986999999999,7.999992,17.999982,True,182.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.972872992798886,0.9841961312033859,1.0,0.9636554254003451,0.7493342218379083,0.21432120356243678,False,insufficient_motion_risk_decrease
9,13.999986,8.999991,18.999981,True,182.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.9718157816517645,0.9841794479975304,0.9533333333333334,0.9132719420726624,0.7222700543799624,0.1910018876927,False,insufficient_motion_risk_decrease
10,14.999984999999999,9.99999,19.99998,True,97.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.9470178534827844,0.9837804670247869,0.8533333333333334,0.02815380200674153,0.6517269857692849,-0.6235731837625433,False,old_motion_risk_below_threshold
11,15.999984,10.999989,20.999979,True,97.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.9276165044580922,0.9834577547863812,0.7533333333333333,0.03309517383717429,0.5776605559896074,-0.5445653821524331,False,old_motion_risk_below_threshold
12,16.999983,11.999988,21.999978,True,98.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.893385889098336,0.9828645537909255,0.9966666666666667,0.06177948588568599,0.7651256193073162,-0.7033461334216302,False,old_motion_risk_below_threshold
13,17.999982,12.999986999999999,22.999976999999998,True,98.0,92.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.917544934123097,0.9832864398720768,0.95,0.09253380080146283,0.7262410282332685,-0.6337072274318057,False,old_motion_risk_below_threshold
14,18.999981,13.999986,23.999976,True,98.0,92.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9194089355147268,0.9833183450297506,0.85,0.14342079585258932,0.6491008340198108,-0.5056800381672215,False,old_motion_risk_below_threshold
15,19.99998,14.999984999999999,24.999975,True,98.0,93.0,True,True,2,"[""forehead"", ""left_cheek""]",True,True,True,observed_motion,1.9200102123274676,0.9833286174012733,0.75,0.18963925932758838,0.5365227749082296,-0.34688351558064123,False,old_motion_risk_below_threshold
16,20.999979,15.999984,25.999973999999998,True,98.0,95.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.907213494297055,0.9831079406157095,0.74,0.16288356227127357,0.37817585317043706,-0.2152922908991635,False,old_motion_risk_below_threshold
17,21.999978,16.999983,26.999972999999997,True,98.0,96.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.8934532704136093,0.9828657524530463,0.84,0.1333296376408821,0.3008652524776405,-0.1675356148367584,False,old_motion_risk_below_threshold
18,22.999976999999998,17.999982,27.999972,True,99.0,97.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.8715226838191215,0.9824689209678493,0.94,0.05348078189783955,0.18866389668853195,-0.1351831147906924,False,old_motion_risk_below_threshold
19,23.999976,18.999981,28.999971,True,100.0,99.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.8461470051177857,0.9819924102362939,0.9966666666666667,0.032653519380093636,0.05209524565648931,-0.019441726276395677,False,old_motion_risk_below_threshold
20,24.999975,19.99998,29.999969999999998,True,101.0,100.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.8410303656478157,0.9818939916474345,0.7433333333333333,0.01275820254719433,0.017718572191797028,-0.0049603696446026985,False,old_motion_risk_below_threshold
21,25.999973999999998,20.999979,30.999969,True,102.0,101.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.843236332573551,0.9819365215259527,0.8433333333333334,0.006433300615291082,0.01051973932839124,-0.0040864387131001574,False,old_motion_risk_below_threshold
22,26.999972999999997,21.999978,31.999968,True,102.0,101.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.844689215894345,0.98196445105528,0.9433333333333334,0.004264793617052241,0.007848582701202068,-0.0035837890841498273,False,old_motion_risk_below_threshold
