window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,estimated_bpm,accepted,V25_bpm,V25_accepted,error_bpm,abs_error_bpm,status,common,new,lost
52,56.999943,51.999948,61.999938,95.2,True,67.0,True,98.0,True,-28.200000000000003,28.200000000000003,candidate_only,True,False,False
53,57.999942,52.999947,62.999937,95.3,True,67.0,True,96.0,True,-28.299999999999997,28.299999999999997,candidate_only,True,False,False
54,58.999941,53.999946,63.999936,95.7,True,67.0,True,94.0,True,-28.700000000000003,28.700000000000003,candidate_only,True,False,False
55,59.99994,54.999945,64.999935,96.1,True,68.0,True,93.0,True,-28.099999999999994,28.099999999999994,candidate_only,True,False,False
56,60.999939,55.999944,65.999934,96.6,True,69.0,True,92.0,True,-27.599999999999994,27.599999999999994,candidate_only,True,False,False
57,61.999938,56.999943,66.999933,97.0,True,70.0,True,91.0,True,-27.0,27.0,candidate_only,True,False,False
58,62.999937,57.999942,67.999932,97.2,True,70.0,True,90.0,True,-27.200000000000003,27.200000000000003,candidate_only,True,False,False
59,63.999936,58.999941,68.99993099999999,97.3,True,70.0,True,89.0,True,-27.299999999999997,27.299999999999997,candidate_only,True,False,False
60,64.999935,59.99994,69.99992999999999,97.3,True,69.0,True,89.0,True,-28.299999999999997,28.299999999999997,candidate_only,True,False,False
61,65.999934,60.999939,70.999929,97.2,True,68.0,True,89.0,True,-29.200000000000003,29.200000000000003,candidate_only,True,False,False
62,66.999933,61.999938,71.999928,97.0,True,67.0,True,90.0,True,-30.0,30.0,candidate_only,True,False,False
63,67.999932,62.999937,72.999927,96.7,True,,False,,False,,,gap_or_filter_edge,False,False,False
64,68.99993099999999,63.999936,73.999926,96.4,True,,False,,False,,,gap_or_filter_edge,False,False,False
