profile,case,window_s,Nplanned,Noutput,Nref,Nvalid,Nwithin5,Nwithin10,hr_output_coverage_pct,paired_reference_coverage_pct,MAE_bpm,RMSE_bpm,Bias_bpm,MAPE_pct,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct,P95_abs_error_bpm,Max_abs_error_bpm,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,delta_MAE_bpm,delta_RMSE_bpm,delta_P5_valid_pct,delta_R5_all_reference_pct,delta_hr_output_coverage_pct,common_windows,new_windows,lost_windows,common_MAE_bpm,common_V28_MAE_bpm,new_MAE_bpm,new_Nwithin5,new_P5_valid_pct,lost_V28_MAE_bpm
short6,data1,10,42,35,42,35,0,8,83.33333333333333,83.33333333333333,14.005714285714287,14.55539173541642,-14.005714285714287,12.967579521949554,0.0,22.857142857142858,0.0,19.047619047619047,19.76,20.0,-21.88509537816057,-6.126333193268003,0.9084169884169899,0.8332848922156906,0.0,0.0,-4.761904761904773,35,0,2,14.005714285714287,13.320000000000002,,0,,9.200000000000003
short6,data2,10,37,29,37,29,18,27,78.37837837837837,78.37837837837837,4.1724137931034475,5.447239098213282,-2.758620689655173,5.245061770926631,62.06896551724138,93.10344827586206,48.648648648648646,72.97297297297297,11.95999999999999,14.099999999999994,-12.12782446107272,6.610583081762375,1.1572622779519333,1.6359719105501593,-25.809822361546495,-29.729729729729726,-10.810810810810821,29,0,4,4.1724137931034475,3.09655172413793,,0,,2.4250000000000007
short6,data3,10,65,61,65,61,0,0,93.84615384615384,93.84615384615384,48.29672131147541,48.56912430820196,-48.29672131147541,47.015764489882706,0.0,0.0,0.0,0.0,59.5,60.8,-58.44837143096997,-38.14507119198085,15.425534870797442,8.851216465645209,-18.64406779661017,-16.923076923076923,3.076923076923066,59,2,0,48.3593220338983,32.87118644067797,46.45,0,0.0,
short6,data4,10,50,46,50,46,45,46,92.0,92.0,2.556521739130435,2.891742366298125,-0.09130434782608701,3.318757300560302,97.82608695652173,100.0,90.0,92.0,4.650000000000002,5.799999999999997,-5.818891945319164,5.63628324966699,0.0,0.0,0.0,0.0,0.0,46,0,0,2.556521739130435,2.556521739130435,,0,,
short6,data5,10,53,49,53,49,29,43,92.45283018867924,92.45283018867924,8.951020408163265,15.872733648284651,-2.889795918367348,8.842218721046002,59.183673469387756,87.75510204081633,54.716981132075475,81.13207547169812,43.68,44.8,-33.79742377946339,28.017831942728687,-10.48571428571429,-22.768536453797147,2.04081632653061,1.8867924528301927,0.0,49,0,0,8.951020408163265,19.436734693877554,,0,,
short6,data6,10,62,38,62,38,0,0,61.29032258064516,61.29032258064516,22.626315789473683,23.582654196408185,-22.626315789473683,19.540711374449735,0.0,0.0,0.0,0.0,32.715,34.30000000000001,-35.83063304544347,-9.421998533503894,-3.3764619883040936,-4.198899435853317,0.0,0.0,3.225806451612904,36,2,0,22.224999999999998,26.002777777777776,29.85000000000001,0,0.0,
short6_relaxed,data1,10,42,37,42,37,0,10,88.0952380952381,88.0952380952381,13.90810810810811,14.499729727210855,-13.90810810810811,12.907138619588618,0.0,27.027027027027028,0.0,23.80952380952381,20.359999999999996,20.900000000000006,-22.05415284631553,-5.762063369900686,0.8108108108108123,0.7776228840101265,0.0,0.0,0.0,37,0,0,13.90810810810811,13.097297297297297,,0,,
short6_relaxed,data2,10,37,29,37,29,17,25,78.37837837837837,78.37837837837837,4.896551724137931,6.689415210769096,-3.4827586206896557,6.150188635206911,58.62068965517241,86.20689655172414,45.945945945945944,67.56756756756756,15.559999999999999,16.099999999999994,-14.874999718971381,7.9094824775920705,1.8814002089864164,2.8781480231059735,-29.258098223615463,-32.43243243243243,-10.810810810810821,29,0,4,4.896551724137931,3.09655172413793,,0,,2.4250000000000007
short6_relaxed,data3,10,65,61,65,61,0,0,93.84615384615384,93.84615384615384,48.29672131147541,48.56912430820196,-48.29672131147541,47.015764489882706,0.0,0.0,0.0,0.0,59.5,60.8,-58.44837143096997,-38.14507119198085,15.425534870797442,8.851216465645209,-18.64406779661017,-16.923076923076923,3.076923076923066,59,2,0,48.3593220338983,32.87118644067797,46.45,0,0.0,
short6_relaxed,data4,10,50,46,50,46,45,46,92.0,92.0,2.556521739130435,2.891742366298125,-0.09130434782608701,3.318757300560302,97.82608695652173,100.0,90.0,92.0,4.650000000000002,5.799999999999997,-5.818891945319164,5.63628324966699,0.0,0.0,0.0,0.0,0.0,46,0,0,2.556521739130435,2.556521739130435,,0,,
short6_relaxed,data5,10,53,49,53,49,29,43,92.45283018867924,92.45283018867924,8.951020408163265,15.872733648284651,-2.889795918367348,8.842218721046002,59.183673469387756,87.75510204081633,54.716981132075475,81.13207547169812,43.68,44.8,-33.79742377946339,28.017831942728687,-10.48571428571429,-22.768536453797147,2.04081632653061,1.8867924528301927,0.0,49,0,0,8.951020408163265,19.436734693877554,,0,,
short6_relaxed,data6,10,62,38,62,38,0,0,61.29032258064516,61.29032258064516,22.91578947368421,23.868047348087075,-22.91578947368421,19.79247651107614,0.0,0.0,0.0,0.0,32.715,34.30000000000001,-36.17361233304268,-9.657966614325739,-3.086988304093566,-3.913506284174428,0.0,0.0,3.225806451612904,36,2,0,22.53055555555555,26.002777777777776,29.85000000000001,0,0.0,
