variant,case,shift_s,Nplanned,Noutput,Nref,Nvalid,Nwithin5,Nwithin10,hr_output_coverage_pct,paired_reference_coverage_pct,MAE_bpm,RMSE_bpm,Bias_bpm,MAPE_pct,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct,P95_abs_error_bpm,Max_abs_error_bpm,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm
early_median,data1,-5,42,38,42,38,3,19,90.47619047619048,90.47619047619048,29.144258373205737,44.06567015502426,21.523205741626796,28.00033295710592,7.894736842105263,50.0,7.142857142857143,45.23809523809524,82.77227272727274,84.2,-54.85382979968119,97.9002412829348
early_median,data1,-2,42,38,42,38,6,19,90.47619047619048,90.47619047619048,29.0,43.85862454943635,20.494736842105265,27.71578646412808,15.789473684210526,50.0,14.285714285714286,45.23809523809524,82.615,83.6,-56.52555874152303,97.51503242573357
early_median,data1,-1,42,38,42,38,6,19,90.47619047619048,90.47619047619048,28.984210526315785,43.81894567421722,20.147368421052636,27.660858760228063,15.789473684210526,50.0,14.285714285714286,45.23809523809524,82.615,83.6,-57.144938344301,97.43967518640626
early_median,data1,0,42,38,42,38,6,19,90.47619047619048,90.47619047619048,28.98157894736842,43.7758795637386,19.792105263157897,27.613199541594124,15.789473684210526,50.0,14.285714285714286,45.23809523809524,82.545,83.7,-57.765607685133446,97.34981821144925
early_median,data1,1,42,38,42,38,7,19,90.47619047619048,90.47619047619048,28.984210526315792,43.71065147800452,19.426315789473687,27.55735822097797,18.42105263157895,50.0,16.666666666666668,45.23809523809524,82.375,83.8,-58.3508261137149,97.20345769266228
early_median,data1,2,42,38,42,38,7,19,90.47619047619048,90.47619047619048,28.984210526315785,43.621855941597374,19.04736842105263,27.48598052468988,18.42105263157895,50.0,16.666666666666668,45.23809523809524,82.19,83.8,-58.90268233652886,96.99741917863412
early_median,data1,5,42,38,42,38,9,19,90.47619047619048,90.47619047619048,28.94736842105263,43.2051653831978,17.84736842105263,27.16649153732544,23.68421052631579,50.0,21.428571428571427,45.23809523809524,81.27999999999999,83.5,-60.30724406945853,96.00198091156378
early_median,data2,-5,37,33,37,33,12,17,89.1891891891892,89.1891891891892,18.151515151515152,26.943813592531605,7.103030303030304,23.331881621927792,36.36363636363637,51.51515151515152,32.432432432432435,45.94594594594594,62.92,64.3,-44.62856705410929,58.83462766016989
early_median,data2,-2,37,33,37,33,11,17,89.1891891891892,89.1891891891892,17.89090909090909,26.37650469641495,6.660606060606061,22.78321096256936,33.333333333333336,51.51515151515152,29.72972972972973,45.94594594594594,61.4,63.5,-44.137482412139136,57.45869453335126
early_median,data2,-1,37,33,37,33,12,17,89.1891891891892,89.1891891891892,17.82121212121212,26.204712738302813,6.542424242424242,22.6265022757952,36.36363636363637,51.51515151515152,32.432432432432435,45.94594594594594,60.96,63.2,-43.96343364314757,57.048282127996046
early_median,data2,0,37,33,37,33,13,17,89.1891891891892,89.1891891891892,17.766666666666666,26.038753170354887,6.433333333333334,22.49077098223535,39.39393939393939,51.51515151515152,35.13513513513514,45.94594594594594,60.52,63.0,-43.78718874346976,56.65385541013643
early_median,data2,1,37,33,37,33,14,17,89.1891891891892,89.1891891891892,17.699999999999996,25.89226513728364,6.336363636363636,22.345406197681413,42.42424242424242,51.51515151515152,37.83783783783784,45.94594594594594,60.13999999999999,62.8,-43.63231747945675,56.30504475218402
early_median,data2,2,37,33,37,33,15,17,89.1891891891892,89.1891891891892,17.62727272727273,25.763134337830305,6.25151515151515,22.19772877509794,45.45454545454545,51.51515151515152,40.54054054054054,45.94594594594594,59.84,62.6,-43.49458998275946,55.997620285789765
early_median,data2,5,37,33,37,33,13,17,89.1891891891892,89.1891891891892,17.439393939393938,25.558459430976047,6.1000000000000005,21.83097019055708,39.39393939393939,51.51515151515152,35.13513513513514,45.94594594594594,59.46,61.8,-43.30116234462505,55.50116234462505
early_median,data3,-5,65,61,65,61,3,5,93.84615384615384,93.84615384615384,32.38852459016393,35.433995439223125,-31.81803278688524,31.3076004727061,4.918032786885246,8.19672131147541,4.615384615384615,7.6923076923076925,53.0,62.8,-62.63642834261637,-0.9996372311541109
early_median,data3,-2,65,61,65,61,3,5,93.84615384615384,93.84615384615384,32.19672131147541,35.370006743697125,-31.51475409836065,31.156469864581236,4.918032786885246,8.19672131147541,4.615384615384615,7.6923076923076925,53.7,62.5,-63.249525542469655,0.2200173457483423
early_median,data3,-1,65,61,65,61,3,4,93.84615384615384,93.84615384615384,32.13770491803278,35.333808636869094,-31.41311475409836,31.119065750757503,4.918032786885246,6.557377049180328,4.615384615384615,6.153846153846154,54.1,62.2,-63.38310158307294,0.5568720748762281
early_median,data3,0,65,61,65,61,3,4,93.84615384615384,93.84615384615384,32.07377049180328,35.28696178663087,-31.31311475409836,31.080020607553863,4.918032786885246,6.557377049180328,4.615384615384615,6.153846153846154,54.6,61.900000000000006,-63.46365689122997,0.8374273830332584
early_median,data3,1,65,61,65,61,3,4,93.84615384615384,93.84615384615384,32.014754098360655,35.23591452099899,-31.21475409836065,31.04775037022018,4.918032786885246,6.557377049180328,4.615384615384615,6.153846153846154,55.2,61.5,-63.51982815507559,1.090319958354275
early_median,data3,2,65,61,65,61,2,4,93.84615384615384,93.84615384615384,31.978688524590165,35.19162297861314,-31.119672131147546,31.03637019936962,3.278688524590164,6.557377049180328,3.076923076923077,6.153846153846154,56.0,61.1,-63.59401578503561,1.3546715227405173
early_median,data3,5,65,61,65,61,1,5,93.84615384615384,93.84615384615384,31.83606557377049,35.15957533453608,-30.901639344262296,30.92062298221831,1.639344262295082,8.19672131147541,1.5384615384615383,7.6923076923076925,58.8,59.900000000000006,-64.04665323027274,2.2433745417481497
early_median,data4,-5,50,46,50,46,40,46,92.0,92.0,2.510869565217392,3.2128478495484085,-0.0369565217391308,3.2273994746622443,86.95652173913044,100.0,80.0,92.0,5.650000000000002,7.0,-6.403301322162244,6.329388278683982
early_median,data4,-2,50,46,50,46,40,46,92.0,92.0,2.8565217391304354,3.370782388859222,0.0826086956521738,3.705526432903338,86.95652173913044,100.0,80.0,92.0,5.699999999999999,6.5,-6.5951233339322135,6.760340725236561
early_median,data4,-1,50,46,50,46,40,46,92.0,92.0,2.92608695652174,3.411808139771153,0.126086956521739,3.803509723157292,86.95652173913044,100.0,80.0,92.0,5.800000000000004,6.799999999999997,-6.630331814160768,6.882505727204246
early_median,data4,0,50,46,50,46,41,46,92.0,92.0,2.943478260869565,3.4238930296171444,0.1695652173913042,3.831783611700811,89.1304347826087,100.0,82.0,92.0,5.799999999999997,7.0,-6.607094534096859,6.946224968879468
early_median,data4,1,50,46,50,46,41,46,92.0,92.0,2.917391304347826,3.3926390907374757,0.2130434782608695,3.801739367048858,89.1304347826087,100.0,82.0,92.0,6.0,7.099999999999994,-6.496738673036919,6.922825629558659
early_median,data4,2,50,46,50,46,42,46,92.0,92.0,2.860869565217391,3.313936316986715,0.2521739130434781,3.730424346890015,91.30434782608695,100.0,84.0,92.0,6.024999999999995,7.0,-6.295874096129543,6.800221922216499
early_median,data4,5,50,46,50,46,43,46,92.0,92.0,2.367391304347826,2.7786061566751488,0.3195652173913044,3.085375785453193,93.47826086956522,100.0,86.0,92.0,5.275000000000006,6.0,-5.150145127234477,5.789275562017085
early_median,data5,-5,53,49,53,49,1,3,92.45283018867924,92.45283018867924,82.4387755102041,84.84228705939854,82.4387755102041,86.44760419022697,2.0408163265306123,6.122448979591836,1.8867924528301887,5.660377358490566,95.68,96.1,42.730594900494296,122.1469561199139
early_median,data5,-2,53,49,53,49,2,3,92.45283018867924,92.45283018867924,81.48163265306123,84.0580557394345,81.48163265306123,84.80513800454247,4.081632653061225,6.122448979591836,3.7735849056603774,5.660377358490566,96.1,96.8,40.584472670164295,122.37879263595816
early_median,data5,-1,53,49,53,49,3,3,92.45283018867924,92.45283018867924,81.14081632653063,83.78489099583334,81.14081632653063,84.22453572189872,6.122448979591836,6.122448979591836,5.660377358490566,5.660377358490566,96.1,96.8,39.78710153974676,122.4945311133145
early_median,data5,0,53,49,53,49,3,3,92.45283018867924,92.45283018867924,80.81224489795918,83.49215287580465,80.78367346938775,83.63767954081146,6.122448979591836,6.122448979591836,5.660377358490566,5.660377358490566,95.98,96.8,39.01188290845217,122.55546403032332
early_median,data5,1,53,49,53,49,3,3,92.45283018867924,92.45283018867924,80.47142857142858,83.17120159953326,80.4061224489796,83.01035375731813,6.122448979591836,6.122448979591836,5.660377358490566,5.660377358490566,95.68,96.5,38.28995670865292,122.52228818930628
early_median,data5,2,53,49,53,49,3,3,92.45283018867924,92.45283018867924,80.13673469387756,82.82125207891008,80.01020408163265,82.3611818929052,6.122448979591836,6.122448979591836,5.660377358490566,5.660377358490566,95.22,96.1,37.64231986886288,122.37808829440245
early_median,data5,5,53,49,52,49,3,3,92.45283018867924,94.23076923076924,79.04489795918367,81.61148128511711,78.71836734693878,80.16730869926671,6.122448979591836,6.122448979591836,5.769230769230769,5.769230769230769,93.98,95.8,36.06793354687839,121.36880114699916
early_median,data6,-5,62,38,62,38,0,0,61.29032258064516,61.29032258064516,68.27631578947367,70.22462643471118,60.9657894736842,60.6962420789721,0.0,0.0,0.0,0.0,82.345,82.7,-8.261333081282643,130.19291202865105
early_median,data6,-2,62,38,62,38,0,0,61.29032258064516,61.29032258064516,68.08684210526314,69.96363905253703,60.48684210526314,60.35493314061945,0.0,0.0,0.0,0.0,82.06,82.6,-9.352580143654343,130.32626435418064
early_median,data6,-1,62,38,62,38,0,0,61.29032258064516,61.29032258064516,67.98157894736842,69.82173730293454,60.23421052631578,60.16766991564161,0.0,0.0,0.0,0.0,81.745,82.4,-9.90573299316587,130.3741540457974
early_median,data6,0,62,38,62,38,0,0,61.29032258064516,61.29032258064516,67.85263157894735,69.64790774051708,59.92631578947367,59.9367385181077,0.0,0.0,0.0,0.0,81.43,82.0,-10.57139411108502,130.42402569003235
early_median,data6,1,62,38,62,38,0,0,61.29032258064516,61.29032258064516,67.7,69.44324452764513,59.56842105263157,59.66255614583452,0.0,0.0,0.0,0.0,81.045,81.4,-11.328303170015957,130.4651452752791
early_median,data6,2,62,38,62,38,0,0,61.29032258064516,61.29032258064516,67.52368421052634,69.20733722890796,59.16052631578946,59.34362539582834,0.0,0.0,0.0,0.0,80.4,81.0,-12.172274835032873,130.4933274666118
early_median,data6,5,62,38,61,38,0,0,61.29032258064516,62.29508196721312,66.83684210526314,68.31873057491936,57.71578947368421,58.12585235338926,0.0,0.0,0.0,0.0,80.835,82.3,-14.895631876056548,130.32721082342496
early_psd_cluster,data1,-5,42,17,42,17,0,8,40.47619047619048,40.47619047619048,46.65775401069519,59.71977447459143,39.9048128342246,45.37582374912803,0.0,47.05882352941177,0.0,19.047619047619047,83.9,84.7,-49.85882118012624,129.66844684857546
early_psd_cluster,data1,-2,42,17,42,17,0,8,40.47619047619048,40.47619047619048,46.7764705882353,59.502130461116806,39.4,45.3426529659461,0.0,47.05882352941177,0.0,19.047619047619047,83.78,84.1,-50.68332500524168,129.48332500524168
early_psd_cluster,data1,-1,42,17,42,17,0,8,40.47619047619048,40.47619047619048,46.86470588235294,59.45796834739647,39.21764705882353,45.38926401077286,0.0,47.05882352941177,0.0,19.047619047619047,83.69999999999999,84.1,-51.07121168843473,129.5065058060818
early_psd_cluster,data1,0,42,17,42,17,0,8,40.47619047619048,40.47619047619048,46.94117647058824,59.39143332957352,39.01176470588236,45.41112576231324,0.0,47.05882352941177,0.0,19.047619047619047,83.64,84.2,-51.46221750479975,129.48574691656447
early_psd_cluster,data1,1,42,17,42,17,0,7,40.47619047619048,40.47619047619048,46.98823529411765,59.2853716705702,38.77647058823529,45.38197079681473,0.0,41.1764705882353,0.0,16.666666666666668,83.5,84.3,-51.82635872870875,129.37929990517932
early_psd_cluster,data1,2,42,17,42,17,0,7,40.47619047619048,40.47619047619048,47.00588235294118,59.140018301534894,38.51176470588236,45.30215611719133,0.0,41.1764705882353,0.0,16.666666666666668,83.33999999999999,84.3,-52.164132262710254,129.18766167447495
early_psd_cluster,data1,5,42,17,42,17,0,4,40.47619047619048,40.47619047619048,46.83529411764706,58.47033435854459,37.6,44.73328827045966,0.0,23.529411764705884,0.0,9.523809523809524,82.64,84.0,-52.86485579494393,128.06485579494392
early_psd_cluster,data2,-5,37,13,37,13,11,11,35.13513513513514,35.13513513513514,6.892307692307692,13.704070142170844,0.7538461538461547,8.67606398010964,84.61538461538461,84.61538461538461,29.72972972972973,29.72972972972973,28.159999999999958,45.5,-27.160574422310606,28.66826673000292
early_psd_cluster,data2,-2,37,13,37,13,10,11,35.13513513513514,35.13513513513514,7.115384615384617,13.555441711725958,0.6076923076923071,8.917459170734581,76.92307692307692,84.61538461538461,27.027027027027028,29.72972972972973,27.75999999999996,44.8,-27.01804956005832,28.23343417544293
