variant,Nplanned,Nref,Noutput,Nvalid,Nwithin5,MAE_bpm,RMSE_bpm,Bias_bpm,P5_valid_pct,R5_all_reference_pct,HR_coverage_pct,common_primary_secondary_windows,primary_secondary_mean_abs_difference_bpm
early_median,309,309,265,265,86,24.654716981132076,36.19049338321812,-6.616226415094339,32.45283018867924,27.831715210355988,85.76051779935275,265,29.18867924528302
early_psd_cluster,309,309,233,233,78,31.291416309012874,45.08120522321561,8.108583690987125,33.47639484978541,25.24271844660194,75.40453074433657,174,24.594827586206897
late_median,309,309,265,265,53,32.62603773584905,43.16731074529814,-2.812452830188678,20.0,17.15210355987055,85.76051779935275,265,26.145283018867925
late_psd_cluster,309,309,264,264,50,39.03901515151515,50.30005685580256,10.689772727272727,18.939393939393938,16.181229773462782,85.43689320388349,258,19.00968992248062
fusion_nomotion_local,309,309,264,264,50,39.03901515151515,50.30005685580256,10.689772727272727,18.939393939393938,16.181229773462782,85.43689320388349,264,11.901515151515152
fusion_motion_local,309,309,264,264,50,39.03901515151515,50.30005685580256,10.689772727272727,18.939393939393938,16.181229773462782,85.43689320388349,264,7.954545454545454
fusion_nomotion_dp,309,309,264,264,50,39.03901515151515,50.30005685580256,10.689772727272727,18.939393939393938,16.181229773462782,85.43689320388349,264,15.617424242424242
fusion_motion_dp,309,309,264,264,50,39.03901515151515,50.30005685580256,10.689772727272727,18.939393939393938,16.181229773462782,85.43689320388349,264,0.0
