window_index,time_s,window_start_s,window_end_s,old_accepted,old_bpm,candidate_bpm,candidate_generated,candidate_proposal_supported,contributing_rois,contributing_roi_names,old_window_finite,candidate_window_finite,motion_available,motion_status,motion_speed_face_per_s,motion_strength,motion_reliability,old_motion_risk,old_motion_risk_direct,old_motion_risk_double,old_motion_risk_half,candidate_motion_risk_direct,candidate_motion_risk_double,candidate_motion_risk_half,candidate_motion_risk,motion_risk_decrease,route_eligible,reason
16,20.999979,15.999984,25.999973999999998,True,98.0,95.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.907213494297055,0.9831079406157095,0.74,0.16288356227127357,0.037087167282076616,0.20360445283909195,0.002643226674710058,0.04357460896278413,0.4727198164630463,0.0028439908025173,0.37817585317043706,-0.2152922908991635,False,old_motion_risk_below_threshold
17,21.999978,16.999983,26.999972999999997,True,98.0,96.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.8934532704136093,0.9828657524530463,0.84,0.1333296376408821,0.038849107836699495,0.16666204705110263,0.001418689115773514,0.04523186568950629,0.3760815655970506,0.0015297753818751152,0.3008652524776405,-0.1675356148367584,False,old_motion_risk_below_threshold
18,22.999976999999998,17.999982,27.999972,True,99.0,97.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.8715226838191215,0.9824689209678493,0.94,0.05348078189783955,0.03832708027705799,0.06685097737229943,0.0010687237702823686,0.04809884655638482,0.23582987086066493,0.0011609736316754995,0.18866389668853195,-0.1351831147906924,False,old_motion_risk_below_threshold
19,23.999976,18.999981,28.999971,True,100.0,99.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.8461470051177857,0.9819924102362939,0.9966666666666667,0.032653519380093636,0.032653519380093636,0.03557902105611057,0.0005868737904790242,0.038834435030991286,0.06511905707061164,0.0006153556402339539,0.05209524565648931,-0.019441726276395677,False,old_motion_risk_below_threshold
20,24.999975,19.99998,29.999969999999998,True,101.0,100.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.8410303656478157,0.9818939916474345,0.7433333333333333,0.01275820254719433,0.01275820254719433,0.0010452319679940258,0.00014854361426469274,0.017718572191797028,0.0031354700948335256,0.00015178490057410614,0.017718572191797028,-0.0049603696446026985,False,old_motion_risk_below_threshold
21,25.999973999999998,20.999979,30.999969,True,102.0,101.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.843236332573551,0.9819365215259527,0.8433333333333334,0.006433300615291082,0.006433300615291082,0.00021069539143538264,8.51589974439273e-05,0.01051973932839124,0.00015907798212288628,9.568224918360486e-05,0.01051973932839124,-0.0040864387131001574,False,old_motion_risk_below_threshold
22,26.999972999999997,21.999978,31.999968,True,102.0,101.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.844689215894345,0.98196445105528,0.9433333333333334,0.004264793617052241,0.004264793617052241,0.0004294011283049932,0.00011959696827627119,0.007848582701202068,0.0004676724525898461,0.00013946131125565576,0.007848582701202068,-0.0035837890841498273,False,old_motion_risk_below_threshold
23,27.999972,22.999976999999998,32.999967,True,102.0,102.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.784966071234126,0.9807609661269618,1.0,0.0032137576242531832,0.0032137576242531832,0.00024908294067091114,0.0002403819491071848,0.0032137576242531832,0.00024908294067091114,0.0002403819491071848,0.0032137576242531832,0.0,False,old_motion_risk_below_threshold
24,28.999971,23.999976,33.999966,True,102.0,102.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,1.7561044081286237,0.980136045473782,1.0,0.0028650999707088387,0.0028650999707088387,7.837967850115881e-05,0.00045299380900081193,0.0028650999707088387,7.837967850115881e-05,0.00045299380900081193,0.0028650999707088387,0.0,False,old_motion_risk_below_threshold
25,29.999969999999998,24.999975,34.999964999999996,True,186.0,102.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,1.7174287619544557,0.9792500920339956,1.0,0.9622149307377722,0.9622149307377722,0.00042891107887884906,0.0879430811579983,0.0027827915421668645,0.0002458967525892545,0.0006730682427319751,0.0027827915421668645,0.9594321391956053,True,lower_motion_risk_component
26,30.999969,25.999973999999998,35.999964,True,186.0,103.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,1.6950043102227903,0.9787091954911954,1.0,0.9768364291358476,0.9768364291358476,0.00038217198206804244,0.08652462367405123,0.0021540342734148532,0.00023301414904053596,0.0008050631013788283,0.0021540342734148532,0.9746823948624327,True,lower_motion_risk_component
27,31.999968,26.999972999999997,36.999963,True,186.0,104.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.6691227214246214,0.9780584013394468,1.0,0.9780584013394468,0.9780584013394468,0.0003807579378087984,0.08514172485334635,0.0028347928382970434,0.0008050552597980074,0.0007641101913343117,0.0028347928382970434,0.9752236085011498,True,lower_motion_risk_component
28,32.999967,27.999972,37.999962,True,186.0,104.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.6444097748297368,0.9774089595237911,1.0,0.9751162840678542,0.9751162840678542,0.0004346386093958279,0.08597105471284576,0.003940760407885114,0.001260914908265111,0.0006332849090463367,0.003940760407885114,0.9711755236599691,True,lower_motion_risk_component
29,33.999966,28.999971,38.999961,True,186.0,104.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,1.6329210518568742,0.9770972603195253,1.0,0.9770972603195253,0.9770972603195253,0.0005382821089205043,0.08984553108357969,0.003728139256090828,0.0010333825186498345,0.0005671029271070454,0.003728139256090828,0.9733691210634344,True,lower_motion_risk_component
