time_s,forehead_logpos,forehead_logpos_raw,forehead_logchrom,forehead_logchrom_raw,forehead_observed,forehead_interpolated,left_cheek_logpos,left_cheek_logpos_raw,left_cheek_logchrom,left_cheek_logchrom_raw,left_cheek_observed,left_cheek_interpolated,right_cheek_logpos,right_cheek_logpos_raw,right_cheek_logchrom,right_cheek_logchrom_raw,right_cheek_observed,right_cheek_interpolated
2.6999973,0.4540164760638444,0.006042814780600879,-0.5716749313200162,-0.004190213148905543,True,False,0.6778254236999703,0.004897286104417206,-0.16256839276513885,0.0004421238122927323,True,False,-1.0941448919979897,-0.006782634305932725,0.3820029303905276,0.006165644413136851,True,False
2.7333306,0.9162308702323723,0.006964750578593217,-0.24130704067629527,-0.003120975070923108,True,False,0.5778370818026604,0.003218343494954602,-0.4218850125055433,-0.0011567589648739576,True,False,-0.30578243922346837,-0.0019395490039154702,-0.17852352798799398,0.0004522577234521169,True,False
2.7666639,1.0079542225857419,0.006857798377345846,0.1376872250975562,0.00350453634949664,True,False,0.45260370585949267,0.0028636772440074516,-0.6141215740014518,-0.004677650409212079,True,False,0.3816888988640502,0.0008527144571917855,-0.6553789843170961,-0.003325833751654506,True,False
2.7999972,0.6469054564601158,0.015365877116698939,0.47668654933930166,-0.0005918069933915762,True,False,0.29216856187838297,0.0011170388355934088,-0.6518957986684268,-0.0018837001520131636,True,False,0.795955100726336,0.0014456578596463853,-0.9037370566628886,-0.003542273095485293,True,False
2.8333305,-0.07223853172860004,0.002949565043030877,0.7337088609278059,-0.0017089538278458136,True,False,0.0962579650917824,6.756908304564643e-05,-0.5053407947825564,-0.001760941751571956,True,False,0.8682147914914293,0.001234234674794369,-0.8658098787461211,-0.0025420469300326256,True,False
2.8666638,-0.9182609011530121,-0.0037052612660015854,0.909899056873161,0.003263439027549377,True,False,-0.12430429344420779,-0.0012287006849352408,-0.21646026619238415,-0.0005291233079632464,True,False,0.6568825145891215,0.000716153675990365,-0.5971791456192108,-0.0007086705347478238,True,False
2.8999971,-1.6239004225282,-0.0036031669318727704,1.0205864989127358,0.0006506271912320468,True,False,-0.34937872093189937,-0.0034657657926200234,0.1176713285165909,0.002295670099029711,True,False,0.321220434913522,-0.0007522619216510033,-0.2420599309011529,0.0021333091266825237,True,False
2.9333304,-1.996767503696968,-0.0037047558717962802,1.0659266912044003,0.0023473626194757103,True,False,-0.5532190842055809,-0.0038967731100294505,0.38426576254832806,0.0031626899085321256,True,False,0.056672380856960934,-0.001463399488764795,0.03029577322895763,0.004567004769487662,True,False
2.9666637,-1.9844193387125195,-0.0020920978884476885,1.0186779405649256,-0.00249197832941167,True,False,-0.7089288231553598,-0.0044046715117946715,0.4998069862347088,0.003725628484387284,True,False,0.017134707591228548,-0.0019188384724748728,0.09867579729021418,0.0024468565637177143,True,False
2.999997,-1.6733444145847713,-0.00743408012677573,0.8385661214189833,0.006590169446801168,True,False,-0.793733209090232,-0.005329249422679693,0.442365157336662,0.003692925220093094,True,False,0.25329815308300835,-0.0007943855719309468,-0.059235217805701706,0.0037222583428793117,True,False
3.0333303,-1.2364890164392646,4.0314297615202184e-05,0.5112605405134385,-0.0006397919278842718,True,False,-0.7962138007046525,-0.007794281789068557,0.25910820235024834,0.0021541443009974134,True,False,0.690393283105821,0.0013463227213805396,-0.35790182875132165,0.00016604971865309928,True,False
3.0666636,-0.855571483859417,0.0026760067853485335,0.08926322548487478,0.000782898905428752,True,False,-0.7238863744389168,-0.008495962136039708,0.047241102111820206,0.0049088840820188375,True,False,1.1541642935028835,0.0019288455836600593,-0.6382934202058856,0.00097229919060742,True,False
