case,comparison,before,after,estimator,reference_kind,shift_s,Ncommon_output,Nadded_output,Nlost_output,common_delta_MAE_bpm,own_delta_MAE_bpm,delta_C_out_pct,delta_R5_all_reference_pct,added_Nwithin5,lost_Nwithin5,common_Nwithin5_delta
user0907,trimmed_gap10/fusion/local_peak->trimmed_gap15/fusion/local_peak,trimmed_gap10/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,none,0,13,12,0,,,28.571428571428573,,0,0,0
user0907,trimmed_gap10/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,none,0,13,12,0,,,28.571428571428573,,0,0,0
ubfc,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,paired_UBFC_device_HR,0,40,0,0,0.12130602594247142,0.12130602594247142,0.0,2.2727272727272663,0,0,1
ubfc,v21/fusion/offline_ridge->trimmed_gap10/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,offline_ridge,paired_UBFC_device_HR,0,40,0,0,0.0667372013651879,0.0667372013651879,0.0,-6.818181818181827,0,0,-3
ubfc,v21/fusion/local_peak->trimmed_gap15/fusion/local_peak,v21/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,paired_UBFC_device_HR,0,40,0,0,0.12130602594247142,0.12130602594247142,0.0,2.2727272727272663,0,0,1
ubfc,v21/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,paired_UBFC_device_HR,0,40,0,0,0.0667372013651879,0.0667372013651879,0.0,-6.818181818181827,0,0,-3
ubfc,trimmed_gap10/fusion/local_peak->trimmed_gap15/fusion/local_peak,trimmed_gap10/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,paired_UBFC_device_HR,0,40,0,0,0.0,0.0,0.0,0.0,0,0,0
ubfc,trimmed_gap10/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,paired_UBFC_device_HR,0,40,0,0,0.0,0.0,0.0,0.0,0,0,0
kaggle_full,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,none,0,323,93,0,,,22.195704057279244,,0,0,0
kaggle_full,v21/fusion/offline_ridge->trimmed_gap10/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,offline_ridge,none,0,323,93,0,,,22.195704057279244,,0,0,0
