case,wave,version,scope,shift_s,reference_kind,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_samples,longest_finite_run_s,waveform_generated_count,waveform_generated_planned_pct,waveform_generated_but_HR_rejected_count,neighbor_covered_count,accepted_neighbor_covered_count,proposal_accepted_count,interpolated_samples,interpolated_all_samples_pct,interpolated_covered_samples_pct,snr_mean_db,snr_median_db,r_wave
synthetic72,v21/fusion,v21,own,0,synthetic_72bpm_modulation,11,11,7,7,7,480,80.0,16.0,480,16.0,7,63.63636363636363,0,0,0,7,0,0.0,0.0,9.351497147870862,9.700797827550483,
synthetic72,v21/fusion,v21,strict_common_all3,0,synthetic_72bpm_modulation,11,11,7,7,7,480,80.0,16.0,480,16.0,7,63.63636363636363,0,0,0,7,0,0.0,0.0,9.351497147870862,9.700797827550483,
synthetic72,trimmed_gap10/fusion,trimmed_gap10,own,0,synthetic_72bpm_modulation,11,11,7,7,7,480,80.0,16.0,480,16.0,7,63.63636363636363,0,0,0,7,0,0.0,0.0,9.746257102178982,9.998755176686556,
synthetic72,trimmed_gap10/fusion,trimmed_gap10,strict_common_all3,0,synthetic_72bpm_modulation,11,11,7,7,7,480,80.0,16.0,480,16.0,7,63.63636363636363,0,0,0,7,0,0.0,0.0,9.746257102178982,9.998755176686556,
synthetic72,trimmed_gap15/fusion,trimmed_gap15,own,0,synthetic_72bpm_modulation,11,11,7,7,7,480,80.0,16.0,480,16.0,7,63.63636363636363,0,0,0,7,0,0.0,0.0,9.746257102178982,9.99875517668656,
synthetic72,trimmed_gap15/fusion,trimmed_gap15,strict_common_all3,0,synthetic_72bpm_modulation,11,11,7,7,7,480,80.0,16.0,480,16.0,7,63.63636363636363,0,0,0,7,0,0.0,0.0,9.746257102178982,9.99875517668656,
data1,v21/fusion,v21,own,0,estimated_alignment_Polar_device_HR,42,42,38,38,38,1410,90.67524115755627,46.999953,1410,46.999953,31,73.80952380952381,0,7,7,35,13,0.8360128617363344,0.9219858156028369,-13.375341865976969,-13.173583418588922,
data1,v21/fusion,v21,strict_common_all3,0,estimated_alignment_Polar_device_HR,42,42,38,38,36,1410,90.67524115755627,46.999953,1410,46.999953,31,73.80952380952381,0,7,7,35,13,0.8360128617363344,0.9219858156028369,-13.553084553546078,-13.635342039099637,
data1,trimmed_gap10/fusion,trimmed_gap10,own,0,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,34,80.95238095238095,0,2,2,35,13,0.8360128617363344,0.9629629629629629,-13.24101062566904,-13.92866915049476,
data1,trimmed_gap10/fusion,trimmed_gap10,strict_common_all3,0,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,34,80.95238095238095,0,2,2,35,13,0.8360128617363344,0.9629629629629629,-13.24101062566904,-13.92866915049476,
data1,trimmed_gap15/fusion,trimmed_gap15,own,0,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,34,80.95238095238095,0,2,2,35,13,0.8360128617363344,0.9629629629629629,-13.241010625668961,-13.928669150494652,
data1,trimmed_gap15/fusion,trimmed_gap15,strict_common_all3,0,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,34,80.95238095238095,0,2,2,35,13,0.8360128617363344,0.9629629629629629,-13.241010625668961,-13.928669150494652,
