case,wave,version,scope,shift_s,reference_kind,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_samples,longest_finite_run_s,waveform_generated_count,waveform_generated_planned_pct,waveform_generated_but_HR_rejected_count,neighbor_covered_count,accepted_neighbor_covered_count,proposal_accepted_count,interpolated_samples,interpolated_all_samples_pct,interpolated_covered_samples_pct,snr_mean_db,snr_median_db,r_wave
data1,v21/fusion,v21,own,2,estimated_alignment_Polar_device_HR,42,42,38,38,38,1410,90.67524115755627,46.999953,1410,46.999953,31,73.80952380952381,0,7,7,35,13,0.8360128617363344,0.9219858156028369,-13.85768778679363,-13.805010867834397,
data1,v21/fusion,v21,strict_common_all3,2,estimated_alignment_Polar_device_HR,42,42,38,38,36,1410,90.67524115755627,46.999953,1410,46.999953,31,73.80952380952381,0,7,7,35,13,0.8360128617363344,0.9219858156028369,-14.06223433063402,-13.962654351144941,
data1,trimmed_gap10/fusion,trimmed_gap10,own,2,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,34,80.95238095238095,0,2,2,35,13,0.8360128617363344,0.9629629629629629,-13.796962421412982,-14.738102613054819,
data1,trimmed_gap10/fusion,trimmed_gap10,strict_common_all3,2,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,34,80.95238095238095,0,2,2,35,13,0.8360128617363344,0.9629629629629629,-13.796962421412982,-14.738102613054819,
data1,trimmed_gap15/fusion,trimmed_gap15,own,2,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,34,80.95238095238095,0,2,2,35,13,0.8360128617363344,0.9629629629629629,-13.796962421412893,-14.7381026130547,
data1,trimmed_gap15/fusion,trimmed_gap15,strict_common_all3,2,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,34,80.95238095238095,0,2,2,35,13,0.8360128617363344,0.9629629629629629,-13.796962421412893,-14.7381026130547,
data1,v21/fusion,v21,own,5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1410,90.67524115755627,46.999953,1410,46.999953,31,73.80952380952381,0,7,7,35,13,0.8360128617363344,0.9219858156028369,-14.508658972391704,-13.949035993001832,
data1,v21/fusion,v21,strict_common_all3,5,estimated_alignment_Polar_device_HR,42,42,38,38,36,1410,90.67524115755627,46.999953,1410,46.999953,31,73.80952380952381,0,7,7,35,13,0.8360128617363344,0.9219858156028369,-14.708896330200535,-14.417903811343242,
data1,trimmed_gap10/fusion,trimmed_gap10,own,5,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,34,80.95238095238095,0,2,2,35,13,0.8360128617363344,0.9629629629629629,-14.455597921187142,-15.029509593934815,
data1,trimmed_gap10/fusion,trimmed_gap10,strict_common_all3,5,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,34,80.95238095238095,0,2,2,35,13,0.8360128617363344,0.9629629629629629,-14.455597921187142,-15.029509593934815,
data1,trimmed_gap15/fusion,trimmed_gap15,own,5,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,34,80.95238095238095,0,2,2,35,13,0.8360128617363344,0.9629629629629629,-14.455597921187044,-15.029509593934648,
data1,trimmed_gap15/fusion,trimmed_gap15,strict_common_all3,5,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,34,80.95238095238095,0,2,2,35,13,0.8360128617363344,0.9629629629629629,-14.455597921187044,-15.029509593934648,
