max_abs_difference_time_s,max_abs_difference_spectral_peak_bpm,max_abs_difference_ridge_bpm,Nplanned,accepted_and_status_equal,numeric_atol,all_prediction_numbers_exact,case,source,raw_peak_max_abs_difference,rejected_final_output_fields_all_NaN,observed_policy,interpolated_policy
7.105427357601002e-15,0.0,0.0,39,True,1e-09,True,user0904,Saved fusion_waveform.csv base -> frozen legacy estimate,0.0,True,Saved fusion_waveform.csv observed column replaces trace.rgb_valid for final HR quality gating,"Saved fusion_waveform.csv interpolated column, never an invented all-zero mask"
7.105427357601002e-15,0.0,0.0,42,True,1e-09,True,user0907,Saved fusion_waveform.csv base -> frozen legacy estimate,0.0,True,Saved fusion_waveform.csv observed column replaces trace.rgb_valid for final HR quality gating,"Saved fusion_waveform.csv interpolated column, never an invented all-zero mask"
3.552713678800501e-15,0.0,0.0,44,True,1e-09,True,ubfc,Saved fusion_waveform.csv base -> frozen legacy estimate,0.0,True,Saved fusion_waveform.csv observed column replaces trace.rgb_valid for final HR quality gating,"Saved fusion_waveform.csv interpolated column, never an invented all-zero mask"
5.684341886080802e-14,0.0,0.0,419,True,1e-09,True,kaggle_full,Saved fusion_waveform.csv base -> frozen legacy estimate,0.0,True,Saved fusion_waveform.csv observed column replaces trace.rgb_valid for final HR quality gating,"Saved fusion_waveform.csv interpolated column, never an invented all-zero mask"
0.0,0.0,0.0,11,True,1e-09,True,synthetic72,Saved fusion_waveform.csv base -> frozen legacy estimate,0.0,True,Saved fusion_waveform.csv observed column replaces trace.rgb_valid for final HR quality gating,"Saved fusion_waveform.csv interpolated column, never an invented all-zero mask"
