frame,time_s,patch_id,region,source,face_detected,is_bridge,bridge_age_frames,geometry_valid,geometry_status,anchor_residual_face_fraction,valid,quality,raw_r,raw_g,raw_b,pixel_count,valid_pixels,visible_fraction,valid_pixel_fraction,raw_status,corner0_x,corner0_y,corner1_x,corner1_y,corner2_x,corner2_y,corner3_x,corner3_y,pixel_source,pixel_reset,pixel_tracks,pixel_seeds,pixel_screen_rejected,pixel_color_rejected,pixel_fb_rejected,pixel_geometry_rejected,pixel_fb_error_median,tracked_valid,tracked_r,pixel_log_delta_r,paired_log_delta_r,raw_log_delta_r,tracked_g,pixel_log_delta_g,paired_log_delta_g,raw_log_delta_g,tracked_b,pixel_log_delta_b,paired_log_delta_b,raw_log_delta_b
0,0.0,forehead_0,forehead,mesh,True,False,0,True,anchored,1.2321725586197336e-15,True,0.999999971517385,198.35627753303964,167.06387665198238,159.16795154185021,2268,2268,0.999999971517385,1.0,sampled,1980.8605008522034,265.664715696019,2042.6271552909852,265.6647156960191,2042.6271552909857,301.13511800928717,1980.8605008522038,301.1351180092871,baseline_reset,True,0,0,0,0,0,0,nan,True,198.35627753303964,nan,nan,nan,167.06387665198238,nan,nan,nan,159.16795154185021,nan,nan,nan
0,0.0,forehead_1,forehead,mesh,True,False,0,True,anchored,2.163103303596407e-15,True,1.0,198.5770925110132,167.88711453744494,160.62555066079295,2268,2268,1.0,1.0,sampled,2049.490116895295,265.66471569601913,2111.256771334077,265.66471569601913,2111.256771334077,301.1351180092873,2049.490116895295,301.13511800928734,baseline_reset,True,0,0,0,0,0,0,nan,True,198.5770925110132,nan,nan,nan,167.88711453744494,nan,nan,nan,160.62555066079295,nan,nan,nan
0,0.0,forehead_2,forehead,mesh,True,False,0,True,anchored,1.567571996816822e-15,True,0.9824109824109825,187.86626637554585,161.15447598253274,153.75545851528383,2331,2290,1.0,0.9824109824109825,sampled,1980.8605008522047,305.0762738218728,2042.627155290984,305.07627382187195,2042.6271552909834,340.54667613513993,1980.860500852204,340.5466761351408,baseline_reset,True,0,0,0,0,0,0,nan,True,187.86626637554585,nan,nan,nan,161.15447598253274,nan,nan,nan,153.75545851528383,nan,nan,nan
0,0.0,forehead_3,forehead,mesh,True,False,0,True,anchored,3.129989162120009e-15,True,0.9836979836979837,188.91553133514986,161.79891008174386,155.45776566757493,2331,2293,1.0,0.9836979836979837,sampled,2049.4901168952974,305.07627382187275,2111.2567713340773,305.0762738218728,2111.2567713340763,340.5466761351409,2049.4901168952965,340.54667613514084,baseline_reset,True,0,0,0,0,0,0,nan,True,188.91553133514986,nan,nan,nan,161.79891008174386,nan,nan,nan,155.45776566757493,nan,nan,nan
0,0.0,left_cheek_0,left_cheek,mesh,True,False,0,True,anchored,2.0534594839661537e-15,True,0.9999999752451945,210.74271844660194,176.4884708737864,170.70813106796118,2058,2058,0.9999999752451945,1.0,sampled,1918.7125707687387,415.20968347356353,1959.8903403945922,415.20968347356313,1959.8903403945928,462.5035532245876,1918.7125707687394,462.503553224588,baseline_reset,True,0,0,0,0,0,0,nan,True,210.74271844660194,nan,nan,nan,176.4884708737864,nan,nan,nan,170.70813106796118,nan,nan,nan
0,0.0,left_cheek_1,left_cheek,mesh,True,False,0,True,anchored,1.0995375058998692e-15,True,0.9999999936644649,201.57261410788382,165.43805572021338,159.91701244813277,2107,2107,0.9999999936644649,1.0,sampled,1964.465648130799,415.2096834735636,2005.6434177566528,415.20968347356325,2005.6434177566518,462.5035532245869,1964.4656481307982,462.5035532245872,baseline_reset,True,0,0,0,0,0,0,nan,True,201.57261410788382,nan,nan,nan,165.43805572021338,nan,nan,nan,159.91701244813277,nan,nan,nan
0,0.0,left_cheek_2,left_cheek,mesh,True,False,0,True,anchored,1.8200044200757776e-15,True,1.0,214.86059479553904,176.5297397769517,167.34138785625774,2016,2016,1.0,1.0,sampled,1918.7125707687392,467.75842764136803,1959.8903403945926,467.7584276413681,1959.8903403945915,515.052297392392,1918.712570768738,515.052297392392,baseline_reset,True,0,0,0,0,0,0,nan,True,214.86059479553904,nan,nan,nan,176.5297397769517,nan,nan,nan,167.34138785625774,nan,nan,nan
0,0.0,left_cheek_3,left_cheek,mesh,True,False,0,True,anchored,1.170667013297334e-15,True,0.9999999752087919,197.84200968523,158.18946731234865,153.56476997578693,2064,2064,0.9999999752087919,1.0,sampled,1964.4656481307995,467.75842764136814,2005.6434177566525,467.7584276413675,2005.6434177566523,515.052297392392,1964.4656481307993,515.0522973923926,baseline_reset,True,0,0,0,0,0,0,nan,True,197.84200968523,nan,nan,nan,158.18946731234865,nan,nan,nan,153.56476997578693,nan,nan,nan
0,0.0,right_cheek_0,right_cheek,mesh,True,False,0,True,anchored,1.060534327356768e-15,True,0.9999999936644649,211.61470065204506,176.1748666271488,171.47895672791938,2107,2107,0.9999999936644649,1.0,sampled,2086.473854429627,415.209683473563,2127.6516240554815,415.209683473563,2127.6516240554815,462.50355322458745,2086.473854429627,462.50355322458745,baseline_reset,True,0,0,0,0,0,0,nan,True,211.61470065204506,nan,nan,nan,176.1748666271488,nan,nan,nan,171.47895672791938,nan,nan,nan
0,0.0,right_cheek_1,right_cheek,mesh,True,False,0,True,anchored,1.7318453044865738e-15,True,0.9999999936644649,208.3992718446602,177.75910194174756,172.0364077669903,2058,2058,0.9999999936644649,1.0,sampled,2132.226931791687,415.2096834735632,2173.4047014175426,415.2096834735632,2173.4047014175435,462.5035532245873,2132.226931791688,462.5035532245873,baseline_reset,True,0,0,0,0,0,0,nan,True,208.3992718446602,nan,nan,nan,177.75910194174756,nan,nan,nan,172.0364077669903,nan,nan,nan
0,0.0,right_cheek_2,right_cheek,mesh,True,False,0,True,anchored,3.771492035749955e-15,True,0.9999999752087919,218.6234866828087,177.79297820823246,169.4588377723971,2064,2064,0.9999999752087919,1.0,sampled,2086.4738544296274,467.75842764136814,2127.651624055483,467.75842764136837,2127.651624055484,515.0522973923926,2086.4738544296283,515.0522973923923,baseline_reset,True,0,0,0,0,0,0,nan,True,218.6234866828087,nan,nan,nan,177.79297820823246,nan,nan,nan,169.4588377723971,nan,nan,nan
0,0.0,right_cheek_3,right_cheek,mesh,True,False,0,True,anchored,6.4172608965646515e-15,True,0.9999999752087919,211.79801734820322,176.02168525402726,168.01672862453532,2016,2016,0.9999999752087919,1.0,sampled,2132.22693179169,467.7584276413686,2173.404701417545,467.7584276413686,2173.4047014175444,515.0522973923927,2132.2269317916894,515.0522973923927,baseline_reset,True,0,0,0,0,0,0,nan,True,211.79801734820322,nan,nan,nan,176.02168525402726,nan,nan,nan,168.01672862453532,nan,nan,nan
